class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
mvtec_capsule_k2,capsule-squeeze-000,1,1.748,1.056,0.6924,0.3335,0.265
mvtec_capsule_k2,capsule-squeeze-001,1,1.632,1.01,0.622,0.3494,0.2786
mvtec_capsule_k2,capsule-squeeze-002,1,1.645,0.958,0.6865,0.3347,0.2676
mvtec_capsule_k2,capsule-squeeze-003,1,1.665,0.9424,0.7227,0.327,0.2644
mvtec_capsule_k2,capsule-squeeze-004,1,1.667,0.9414,0.7256,0.3262,0.266
mvtec_capsule_k2,capsule-squeeze-005,1,1.639,0.973,0.6655,0.3396,0.2664
mvtec_capsule_k2,capsule-squeeze-006,1,1.727,1.049,0.6777,0.3367,0.2673
mvtec_capsule_k2,capsule-squeeze-007,1,1.645,1.112,0.532,0.37,0.2788
mvtec_capsule_k2,capsule-squeeze-008,1,1.645,0.974,0.6704,0.3384,0.2654
mvtec_capsule_k2,capsule-squeeze-009,1,1.542,0.9707,0.5713,0.3608,0.2732
mvtec_capsule_k2,capsule-squeeze-010,1,1.6455,0.936,0.7095,0.3298,0.271
mvtec_capsule_k2,capsule-squeeze-011,1,1.705,1.058,0.6475,0.3435,0.269
mvtec_capsule_k2,capsule-squeeze-012,1,1.608,0.9565,0.652,0.3425,0.2659
mvtec_capsule_k2,capsule-squeeze-013,1,1.531,0.9004,0.631,0.3474,0.2705
mvtec_capsule_k2,capsule-squeeze-014,1,1.644,1.0625,0.581,0.3586,0.2764
mvtec_capsule_k2,capsule-squeeze-015,1,1.672,1.026,0.6455,0.344,0.271
mvtec_capsule_k2,capsule-squeeze-016,1,1.697,1.025,0.672,0.3381,0.2651
mvtec_capsule_k2,capsule-squeeze-017,1,1.641,0.92,0.7207,0.3271,0.2664
mvtec_capsule_k2,capsule-squeeze-018,1,1.715,0.9946,0.72,0.3274,0.2656
mvtec_capsule_k2,capsule-squeeze-019,1,1.667,0.923,0.744,0.322,0.2632
mvtec_capsule_k2,capsule-scratch-000,1,1.742,1.037,0.705,0.3306,0.2642
