class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
mvtec_carpet_k2,carpet-color-000,1,2.094,-0.4443,2.54,0.07324,0.1393
mvtec_carpet_k2,carpet-color-001,1,2.354,-0.5767,2.93,0.0507,0.1259
mvtec_carpet_k2,carpet-color-002,1,2.338,-0.563,2.9,0.05212,0.1309
mvtec_carpet_k2,carpet-color-003,1,2.326,-0.5073,2.834,0.05554,0.1267
mvtec_carpet_k2,carpet-color-004,1,2.273,-0.546,2.82,0.05627,0.1271
mvtec_carpet_k2,carpet-color-005,1,2.398,-0.5894,2.988,0.04797,0.1273
mvtec_carpet_k2,carpet-color-006,1,2.309,-0.531,2.84,0.05524,0.1257
mvtec_carpet_k2,carpet-color-007,1,2.305,-0.556,2.861,0.05414,0.1259
mvtec_carpet_k2,carpet-color-008,1,1.988,-0.3357,2.324,0.0892,0.1444
mvtec_carpet_k2,carpet-color-009,1,2.293,-0.4766,2.77,0.059,0.1387
mvtec_carpet_k2,carpet-color-010,1,2.436,-0.5967,3.031,0.046,0.1241
mvtec_carpet_k2,carpet-color-011,1,2.375,-0.533,2.908,0.05176,0.1182
mvtec_carpet_k2,carpet-color-012,1,2.332,-0.494,2.826,0.05594,0.1184
mvtec_carpet_k2,carpet-color-013,1,2.375,-0.5396,2.914,0.05145,0.11755
mvtec_carpet_k2,carpet-color-014,1,2.47,-0.6514,3.121,0.0422,0.11725
mvtec_carpet_k2,carpet-color-015,1,2.42,-0.4912,2.91,0.0516,0.1239
mvtec_carpet_k2,carpet-color-016,1,2.459,-0.5513,3.01,0.04697,0.1304
mvtec_carpet_k2,carpet-color-017,1,2.457,-0.604,3.06,0.04474,0.127
mvtec_carpet_k2,carpet-color-018,1,2.373,-0.4502,2.824,0.0561,0.1262
mvtec_carpet_k2,carpet-metal_contamination-000,1,2.56,-0.639,3.2,0.03918,0.1086
mvtec_carpet_k2,carpet-metal_contamination-001,1,2.525,-0.6147,3.14,0.04147,0.1144
mvtec_carpet_k2,carpet-metal_contamination-002,1,2.482,-0.5845,3.066,0.0445,0.11847
mvtec_carpet_k2,carpet-metal_contamination-003,1,2.484,-0.6494,3.133,0.04175,0.11273
mvtec_carpet_k2,carpet-metal_contamination-004,1,2.416,-0.5547,2.97,0.04877,0.1223
mvtec_carpet_k2,carpet-metal_contamination-005,1,2.504,-0.519,3.023,0.0464,0.1209
mvtec_carpet_k2,carpet-metal_contamination-006,1,2.408,-0.564,2.973,0.0487,0.1187
mvtec_carpet_k2,carpet-metal_contamination-007,1,2.514,-0.587,3.102,0.0431,0.1189
mvtec_carpet_k2,carpet-metal_contamination-008,1,2.43,-0.588,3.018,0.04663,0.12054
mvtec_carpet_k2,carpet-metal_contamination-009,1,2.416,-0.532,2.95,0.0498,0.1227
mvtec_carpet_k2,carpet-metal_contamination-010,1,2.396,-0.4832,2.879,0.05316,0.1181
mvtec_carpet_k2,carpet-metal_contamination-011,1,2.537,-0.6313,3.168,0.04037,0.1157
mvtec_carpet_k2,carpet-metal_contamination-012,1,2.357,-0.536,2.895,0.05246,0.1268
mvtec_carpet_k2,carpet-metal_contamination-013,1,2.434,-0.5415,2.975,0.04855,0.11957
mvtec_carpet_k2,carpet-metal_contamination-014,1,2.52,-0.6235,3.143,0.04135,0.1161
mvtec_carpet_k2,carpet-metal_contamination-015,1,2.39,-0.4553,2.846,0.0549,0.1233
mvtec_carpet_k2,carpet-metal_contamination-016,1,2.527,-0.565,3.092,0.04343,0.12085
mvtec_carpet_k2,carpet-hole-000,1,2.41,-0.5425,2.953,0.04962,0.131
mvtec_carpet_k2,carpet-hole-001,1,2.504,-0.634,3.137,0.04156,0.1147
mvtec_carpet_k2,carpet-hole-002,1,2.287,-0.5063,2.793,0.05768,0.1257
mvtec_carpet_k2,carpet-hole-003,1,2.303,-0.4578,2.76,0.0595,0.1349
mvtec_carpet_k2,carpet-hole-004,1,2.242,-0.478,2.72,0.0618,0.1346
mvtec_carpet_k2,carpet-hole-005,1,2.283,-0.4285,2.71,0.0623,0.1302
mvtec_carpet_k2,carpet-hole-006,1,2.158,-0.2952,2.453,0.07916,0.1311
mvtec_carpet_k2,carpet-hole-007,1,2.266,-0.4526,2.719,0.0619,0.13
mvtec_carpet_k2,carpet-hole-008,1,2.22,-0.4365,2.656,0.06555,0.1362
mvtec_carpet_k2,carpet-hole-009,1,2.262,-0.511,2.773,0.0588,0.1431
mvtec_carpet_k2,carpet-hole-010,1,2.281,-0.4343,2.715,0.06207,0.1442
mvtec_carpet_k2,carpet-hole-011,1,2.246,-0.5,2.746,0.0603,0.1292
mvtec_carpet_k2,carpet-hole-012,1,2.383,-0.546,2.93,0.05075,0.1254
mvtec_carpet_k2,carpet-hole-013,1,2.426,-0.5605,2.986,0.04803,0.12494
mvtec_carpet_k2,carpet-hole-014,1,2.215,-0.516,2.73,0.06116,0.1326
mvtec_carpet_k2,carpet-hole-015,1,2.338,-0.524,2.861,0.05408,0.1272
mvtec_carpet_k2,carpet-hole-016,1,2.447,-0.577,3.023,0.04633,0.1256
mvtec_carpet_k2,carpet-good-019,0,2.55,-0.7017,3.252,0.03723,0.1066
mvtec_carpet_k2,carpet-good-002,0,2.56,-0.679,3.24,0.0377,0.112
mvtec_carpet_k2,carpet-good-005,0,2.582,-0.681,3.264,0.03687,0.1137
mvtec_carpet_k2,carpet-good-025,0,2.533,-0.6514,3.184,0.03976,0.1078
mvtec_carpet_k2,carpet-good-016,0,2.61,-0.7354,3.344,0.03406,0.1059
mvtec_carpet_k2,carpet-good-015,0,2.537,-0.654,3.191,0.03952,0.11945
mvtec_carpet_k2,carpet-good-017,0,2.576,-0.6797,3.256,0.0371,0.10876
mvtec_carpet_k2,carpet-good-014,0,2.564,-0.717,3.281,0.03622,0.1127
mvtec_carpet_k2,carpet-good-024,0,2.592,-0.6836,3.275,0.03644,0.10693
mvtec_carpet_k2,carpet-good-011,0,2.598,-0.7246,3.322,0.03482,0.10583
mvtec_carpet_k2,carpet-good-012,0,2.588,-0.692,3.28,0.0363,0.10974
mvtec_carpet_k2,carpet-good-013,0,2.57,-0.7,3.27,0.0366,0.11255
mvtec_carpet_k2,carpet-good-004,0,2.572,-0.7124,3.285,0.0361,0.1111
mvtec_carpet_k2,carpet-good-008,0,2.572,-0.6875,3.26,0.037,0.1121
mvtec_carpet_k2,carpet-good-020,0,2.553,-0.686,3.238,0.03772,0.1073
mvtec_carpet_k2,carpet-good-009,0,2.53,-0.691,3.22,0.03842,0.11365
mvtec_carpet_k2,carpet-good-007,0,2.58,-0.6685,3.248,0.03738,0.1107
mvtec_carpet_k2,carpet-good-022,0,2.58,-0.71,3.29,0.03592,0.1056
mvtec_carpet_k2,carpet-good-023,0,2.574,-0.68,3.254,0.03717,0.1098
mvtec_carpet_k2,carpet-good-027,0,2.57,-0.741,3.312,0.0352,0.10614
mvtec_carpet_k2,carpet-good-001,0,2.559,-0.7114,3.27,0.03662,0.1086
mvtec_carpet_k2,carpet-good-018,0,2.592,-0.7046,3.297,0.0357,0.10706
mvtec_carpet_k2,carpet-good-026,0,2.57,-0.7153,3.285,0.03607,0.10693
mvtec_carpet_k2,carpet-good-000,0,2.564,-0.706,3.27,0.0366,0.1068
mvtec_carpet_k2,carpet-good-010,0,2.582,-0.7217,3.305,0.03543,0.1084
mvtec_carpet_k2,carpet-good-021,0,2.53,-0.6763,3.205,0.03897,0.1117
mvtec_carpet_k2,carpet-good-003,0,2.535,-0.71,3.246,0.0375,0.11365
mvtec_carpet_k2,carpet-good-006,0,2.568,-0.6953,3.264,0.03683,0.11096
mvtec_carpet_k2,carpet-cut-000,1,2.117,-0.4104,2.527,0.074,0.1426
mvtec_carpet_k2,carpet-cut-001,1,2.312,-0.4727,2.785,0.05814,0.1368
mvtec_carpet_k2,carpet-cut-002,1,2.217,-0.3591,2.576,0.0707,0.1298
mvtec_carpet_k2,carpet-cut-003,1,2.22,-0.384,2.605,0.06885,0.1346
mvtec_carpet_k2,carpet-cut-004,1,2.477,-0.6606,3.137,0.0416,0.12006
mvtec_carpet_k2,carpet-cut-005,1,2.29,-0.5825,2.871,0.0536,0.128
mvtec_carpet_k2,carpet-cut-006,1,2.152,-0.4385,2.59,0.0697,0.1311
mvtec_carpet_k2,carpet-cut-007,1,2.408,-0.5537,2.96,0.04916,0.1301
mvtec_carpet_k2,carpet-cut-008,1,2.459,-0.6064,3.066,0.04456,0.11816
mvtec_carpet_k2,carpet-cut-009,1,2.139,-0.4546,2.594,0.0696,0.1405
mvtec_carpet_k2,carpet-cut-010,1,2.266,-0.4788,2.744,0.0604,0.1396
mvtec_carpet_k2,carpet-cut-011,1,2.236,-0.3784,2.615,0.0682,0.145
mvtec_carpet_k2,carpet-cut-012,1,2.178,-0.408,2.586,0.07007,0.1385
mvtec_carpet_k2,carpet-cut-013,1,2.28,-0.4683,2.748,0.0602,0.1466
mvtec_carpet_k2,carpet-cut-014,1,2.354,-0.4412,2.795,0.05762,0.1306
mvtec_carpet_k2,carpet-cut-015,1,2.18,-0.538,2.719,0.06192,0.1322
mvtec_carpet_k2,carpet-cut-016,1,2.4,-0.536,2.938,0.05038,0.1287
mvtec_carpet_k2,carpet-thread-000,1,2.27,-0.645,2.914,0.05145,0.125
mvtec_carpet_k2,carpet-thread-001,1,2.545,-0.5723,3.117,0.0424,0.1152
mvtec_carpet_k2,carpet-thread-002,1,2.465,-0.605,3.07,0.04437,0.1164
mvtec_carpet_k2,carpet-thread-003,1,2.531,-0.609,3.14,0.04147,0.117
mvtec_carpet_k2,carpet-thread-004,1,2.283,-0.4988,2.781,0.05832,0.1355
mvtec_carpet_k2,carpet-thread-005,1,2.377,-0.609,2.986,0.04807,0.1348
mvtec_carpet_k2,carpet-thread-006,1,2.404,-0.5415,2.945,0.04993,0.1366
