class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
mvtec_leather_k2,leather-color-000,1,2.057,-0.842,2.898,0.05225,0.1111
mvtec_leather_k2,leather-color-001,1,2.277,-0.9497,3.227,0.03815,0.1083
mvtec_leather_k2,leather-color-002,1,2.15,-0.8257,2.977,0.04852,0.11096
mvtec_leather_k2,leather-color-003,1,2.244,-0.994,3.238,0.03775,0.11237
mvtec_leather_k2,leather-color-004,1,2.195,-0.8477,3.043,0.04553,0.11127
mvtec_leather_k2,leather-color-005,1,2.213,-0.865,3.078,0.044,0.1099
mvtec_leather_k2,leather-color-006,1,2.24,-0.884,3.125,0.0421,0.10736
mvtec_leather_k2,leather-color-007,1,2.266,-0.869,3.135,0.0417,0.1105
mvtec_leather_k2,leather-color-008,1,1.955,-0.623,2.578,0.07056,0.11993
mvtec_leather_k2,leather-color-009,1,2.186,-0.895,3.08,0.0439,0.11017
mvtec_leather_k2,leather-color-010,1,2.13,-0.816,2.947,0.0499,0.1069
mvtec_leather_k2,leather-color-011,1,2.139,-0.807,2.945,0.04993,0.1113
mvtec_leather_k2,leather-color-012,1,2.17,-0.859,3.03,0.04614,0.115
mvtec_leather_k2,leather-color-013,1,2.268,-0.9443,3.21,0.03873,0.10974
mvtec_leather_k2,leather-color-014,1,2.16,-0.7935,2.953,0.04956,0.11096
mvtec_leather_k2,leather-color-015,1,2.086,-0.5977,2.684,0.06396,0.12054
mvtec_leather_k2,leather-color-016,1,2.205,-0.7876,2.992,0.04776,0.11505
mvtec_leather_k2,leather-color-017,1,2.098,-0.7485,2.846,0.05487,0.11475
mvtec_leather_k2,leather-color-018,1,2.176,-0.895,3.07,0.04434,0.10956
mvtec_leather_k2,leather-good-019,0,2.293,-1.119,3.412,0.03192,0.10266
mvtec_leather_k2,leather-good-002,0,2.285,-1.132,3.418,0.03177,0.1019
mvtec_leather_k2,leather-good-005,0,2.322,-1.122,3.445,0.03094,0.103
mvtec_leather_k2,leather-good-025,0,2.252,-0.9614,3.213,0.03867,0.1072
mvtec_leather_k2,leather-good-016,0,2.291,-1.098,3.389,0.03265,0.10333
mvtec_leather_k2,leather-good-015,0,2.283,-1.139,3.422,0.03162,0.10236
mvtec_leather_k2,leather-good-017,0,2.303,-1.118,3.422,0.03165,0.1029
mvtec_leather_k2,leather-good-031,0,2.291,-1.09,3.38,0.0329,0.1029
mvtec_leather_k2,leather-good-014,0,2.332,-1.087,3.418,0.0317,0.1033
mvtec_leather_k2,leather-good-024,0,2.24,-1.059,3.299,0.0356,0.10645
mvtec_leather_k2,leather-good-029,0,2.299,-1.161,3.46,0.03047,0.10394
mvtec_leather_k2,leather-good-011,0,2.338,-1.141,3.479,0.02992,0.1065
mvtec_leather_k2,leather-good-012,0,2.32,-1.102,3.422,0.03162,0.104
mvtec_leather_k2,leather-good-013,0,2.277,-1.094,3.371,0.0332,0.1064
mvtec_leather_k2,leather-good-004,0,2.295,-1.164,3.459,0.0305,0.1033
mvtec_leather_k2,leather-good-008,0,2.312,-1.144,3.457,0.0306,0.1046
mvtec_leather_k2,leather-good-020,0,2.285,-1.121,3.406,0.0321,0.1045
mvtec_leather_k2,leather-good-009,0,2.305,-1.162,3.467,0.03027,0.10315
mvtec_leather_k2,leather-good-007,0,2.283,-1.121,3.404,0.03217,0.10297
mvtec_leather_k2,leather-good-022,0,2.266,-1.09,3.355,0.03372,0.103
mvtec_leather_k2,leather-good-023,0,2.293,-1.04,3.332,0.03445,0.1018
mvtec_leather_k2,leather-good-027,0,2.297,-1.154,3.451,0.03073,0.10266
mvtec_leather_k2,leather-good-001,0,2.31,-1.108,3.418,0.0317,0.10547
mvtec_leather_k2,leather-good-018,0,2.305,-1.098,3.402,0.03223,0.1034
mvtec_leather_k2,leather-good-028,0,2.283,-1.105,3.389,0.03265,0.10315
mvtec_leather_k2,leather-good-030,0,2.309,-0.9277,3.236,0.0378,0.10767
mvtec_leather_k2,leather-good-026,0,2.271,-1.133,3.404,0.03217,0.1021
mvtec_leather_k2,leather-good-000,0,2.283,-1.134,3.418,0.03177,0.10535
