class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
visa_pcb2_k2,pcb2-bad-000,1,2.854,-0.6455,3.5,0.02934,0.2186
visa_pcb2_k2,pcb2-bad-001,1,2.807,-0.53,3.336,0.03433,0.2107
visa_pcb2_k2,pcb2-bad-002,1,2.84,-0.582,3.422,0.03162,0.2123
visa_pcb2_k2,pcb2-bad-003,1,2.82,-0.559,3.379,0.03296,0.2214
visa_pcb2_k2,pcb2-bad-004,1,2.764,-0.5,3.264,0.03683,0.2329
visa_pcb2_k2,pcb2-bad-005,1,2.818,-0.605,3.424,0.0316,0.225
visa_pcb2_k2,pcb2-bad-006,1,2.889,-0.4937,3.383,0.03287,0.2213
visa_pcb2_k2,pcb2-bad-007,1,2.707,-0.3013,3.008,0.04706,0.23
visa_pcb2_k2,pcb2-bad-008,1,2.873,-0.4658,3.34,0.03427,0.2274
visa_pcb2_k2,pcb2-bad-009,1,2.803,-0.561,3.363,0.03345,0.2192
visa_pcb2_k2,pcb2-bad-010,1,2.902,-0.6533,3.555,0.02777,0.2168
visa_pcb2_k2,pcb2-bad-011,1,2.785,-0.529,3.314,0.0351,0.2217
visa_pcb2_k2,pcb2-bad-012,1,2.793,-0.5854,3.379,0.033,0.2134
visa_pcb2_k2,pcb2-bad-013,1,2.805,-0.6777,3.482,0.02982,0.2288
visa_pcb2_k2,pcb2-bad-014,1,2.754,-0.529,3.283,0.03616,0.219
visa_pcb2_k2,pcb2-bad-015,1,2.8,-0.641,3.441,0.031,0.2325
visa_pcb2_k2,pcb2-bad-016,1,2.865,-0.5576,3.422,0.0316,0.2275
visa_pcb2_k2,pcb2-bad-017,1,2.84,-0.6406,3.48,0.02988,0.231
visa_pcb2_k2,pcb2-bad-018,1,2.84,-0.717,3.557,0.02774,0.2402
visa_pcb2_k2,pcb2-bad-019,1,2.852,-0.6743,3.525,0.02858,0.2421
visa_pcb2_k2,pcb2-bad-020,1,2.828,-0.6353,3.463,0.03036,0.2268
visa_pcb2_k2,pcb2-bad-021,1,2.775,-0.6724,3.447,0.03084,0.2313
visa_pcb2_k2,pcb2-bad-022,1,2.87,-0.6646,3.533,0.02837,0.2352
visa_pcb2_k2,pcb2-bad-023,1,2.89,-0.6304,3.521,0.02872,0.2274
visa_pcb2_k2,pcb2-bad-024,1,2.936,-0.6265,3.562,0.0276,0.2299
visa_pcb2_k2,pcb2-bad-025,1,2.854,-0.608,3.46,0.03043,0.2335
visa_pcb2_k2,pcb2-bad-026,1,2.79,-0.566,3.355,0.03372,0.2289
visa_pcb2_k2,pcb2-bad-027,1,2.916,-0.633,3.549,0.02795,0.2306
visa_pcb2_k2,pcb2-bad-028,1,2.8,-0.579,3.379,0.03293,0.2306
visa_pcb2_k2,pcb2-bad-029,1,2.844,-0.7417,3.586,0.02698,0.2251
visa_pcb2_k2,pcb2-bad-030,1,2.863,-0.5947,3.457,0.03053,0.2258
visa_pcb2_k2,pcb2-bad-031,1,2.918,-0.715,3.633,0.02576,0.2278
visa_pcb2_k2,pcb2-bad-032,1,2.822,-0.6455,3.469,0.03024,0.2286
visa_pcb2_k2,pcb2-bad-033,1,2.824,-0.517,3.342,0.03418,0.2136
visa_pcb2_k2,pcb2-bad-034,1,2.86,-0.521,3.38,0.03293,0.2352
visa_pcb2_k2,pcb2-bad-035,1,2.895,-0.674,3.568,0.02744,0.2258
visa_pcb2_k2,pcb2-bad-036,1,2.928,-0.644,3.572,0.02734,0.2305
visa_pcb2_k2,pcb2-bad-037,1,2.896,-0.6685,3.564,0.02753,0.2344
visa_pcb2_k2,pcb2-bad-038,1,2.879,-0.658,3.537,0.02827,0.2196
visa_pcb2_k2,pcb2-bad-039,1,2.775,-0.6045,3.379,0.03293,0.2201
visa_pcb2_k2,pcb2-bad-040,1,2.77,-0.7295,3.5,0.02934,0.2389
