class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
visa_pcb2_k2,pcb2-bad-000,1,2.896,-0.945,3.842,0.02101,0.2067
visa_pcb2_k2,pcb2-bad-001,1,2.91,-0.7983,3.709,0.02393,0.1984
visa_pcb2_k2,pcb2-bad-002,1,2.898,-0.893,3.791,0.02206,0.2013
visa_pcb2_k2,pcb2-bad-003,1,2.895,-0.8696,3.764,0.02266,0.21
visa_pcb2_k2,pcb2-bad-004,1,2.854,-0.781,3.635,0.02573,0.2217
visa_pcb2_k2,pcb2-bad-005,1,2.922,-0.8984,3.82,0.02145,0.2113
visa_pcb2_k2,pcb2-bad-006,1,2.943,-0.7764,3.719,0.02367,0.2098
visa_pcb2_k2,pcb2-bad-007,1,2.824,-0.5645,3.389,0.03265,0.2167
visa_pcb2_k2,pcb2-bad-008,1,2.938,-0.761,3.7,0.02415,0.2163
visa_pcb2_k2,pcb2-bad-009,1,2.887,-0.8574,3.744,0.0231,0.2058
visa_pcb2_k2,pcb2-bad-010,1,3.014,-0.9585,3.973,0.01848,0.2028
visa_pcb2_k2,pcb2-bad-011,1,2.893,-0.8,3.691,0.0243,0.2068
visa_pcb2_k2,pcb2-bad-012,1,2.9,-0.898,3.799,0.02191,0.1986
visa_pcb2_k2,pcb2-bad-013,1,2.871,-0.914,3.785,0.0222,0.2137
visa_pcb2_k2,pcb2-bad-014,1,2.875,-0.818,3.693,0.02429,0.2067
visa_pcb2_k2,pcb2-bad-015,1,2.91,-0.8794,3.79,0.02211,0.2189
visa_pcb2_k2,pcb2-bad-016,1,2.965,-0.851,3.816,0.02155,0.2153
visa_pcb2_k2,pcb2-bad-017,1,2.957,-0.9385,3.895,0.01993,0.216
visa_pcb2_k2,pcb2-bad-018,1,2.94,-0.9644,3.904,0.01976,0.2257
visa_pcb2_k2,pcb2-bad-019,1,2.959,-0.96,3.918,0.01947,0.2273
visa_pcb2_k2,pcb2-bad-020,1,2.918,-0.9297,3.848,0.02089,0.2144
visa_pcb2_k2,pcb2-bad-021,1,2.9,-0.9014,3.8,0.02185,0.2163
visa_pcb2_k2,pcb2-bad-022,1,2.945,-0.947,3.893,0.01999,0.2185
visa_pcb2_k2,pcb2-bad-023,1,2.959,-0.937,3.896,0.01991,0.21
visa_pcb2_k2,pcb2-bad-024,1,3.033,-0.898,3.932,0.01924,0.2161
visa_pcb2_k2,pcb2-bad-025,1,2.943,-0.855,3.799,0.02191,0.2208
visa_pcb2_k2,pcb2-bad-026,1,2.92,-0.8516,3.771,0.0225,0.2123
visa_pcb2_k2,pcb2-bad-027,1,3.012,-0.8877,3.898,0.01985,0.2162
visa_pcb2_k2,pcb2-bad-028,1,2.88,-0.8677,3.748,0.02301,0.2158
visa_pcb2_k2,pcb2-bad-029,1,2.959,-0.953,3.912,0.0196,0.2095
visa_pcb2_k2,pcb2-bad-030,1,2.97,-0.8857,3.855,0.0207,0.2134
visa_pcb2_k2,pcb2-bad-031,1,3.016,-0.952,3.969,0.01857,0.2136
visa_pcb2_k2,pcb2-bad-032,1,2.924,-0.9204,3.844,0.02095,0.2148
visa_pcb2_k2,pcb2-bad-033,1,2.926,-0.7983,3.725,0.02356,0.1998
visa_pcb2_k2,pcb2-bad-034,1,2.953,-0.8115,3.766,0.02264,0.2207
visa_pcb2_k2,pcb2-bad-035,1,2.994,-0.94,3.934,0.0192,0.2115
visa_pcb2_k2,pcb2-bad-036,1,3.006,-0.964,3.969,0.01852,0.2133
visa_pcb2_k2,pcb2-bad-037,1,2.98,-0.9463,3.926,0.01933,0.2192
visa_pcb2_k2,pcb2-bad-038,1,2.977,-0.957,3.934,0.0192,0.2045
visa_pcb2_k2,pcb2-bad-039,1,2.896,-0.8633,3.76,0.02277,0.2059
visa_pcb2_k2,pcb2-bad-040,1,2.836,-0.99,3.826,0.02133,0.2257
visa_pcb2_k2,pcb2-bad-041,1,2.883,-1.0,3.883,0.02017,0.2192
visa_pcb2_k2,pcb2-bad-042,1,2.959,-0.913,3.871,0.02039,0.2186
visa_pcb2_k2,pcb2-bad-043,1,2.963,-0.972,3.936,0.01917,0.2114
visa_pcb2_k2,pcb2-bad-044,1,2.941,-0.9346,3.875,0.02031,0.2214
visa_pcb2_k2,pcb2-bad-045,1,2.932,-0.978,3.91,0.01965,0.2202
visa_pcb2_k2,pcb2-bad-046,1,2.873,-0.98,3.854,0.02077,0.2162
visa_pcb2_k2,pcb2-bad-047,1,2.916,-1.012,3.928,0.0193,0.2194
visa_pcb2_k2,pcb2-bad-048,1,2.852,-0.9243,3.775,0.0224,0.2185
visa_pcb2_k2,pcb2-bad-049,1,2.889,-0.841,3.73,0.02344,0.2227
visa_pcb2_k2,pcb2-bad-050,1,3.018,-0.933,3.951,0.01888,0.2213
visa_pcb2_k2,pcb2-bad-051,1,2.963,-0.978,3.941,0.01906,0.2223
visa_pcb2_k2,pcb2-bad-052,1,2.861,-0.843,3.703,0.02403,0.2037
visa_pcb2_k2,pcb2-bad-053,1,2.992,-0.9966,3.988,0.01819,0.2064
visa_pcb2_k2,pcb2-bad-054,1,2.883,-0.734,3.617,0.02617,0.2012
visa_pcb2_k2,pcb2-bad-055,1,2.945,-0.9907,3.936,0.01915,0.2043
visa_pcb2_k2,pcb2-bad-056,1,2.959,-0.9976,3.957,0.01877,0.212
visa_pcb2_k2,pcb2-bad-057,1,2.988,-0.995,3.984,0.01828,0.2018
visa_pcb2_k2,pcb2-bad-058,1,2.906,-0.8613,3.768,0.02258,0.2028
visa_pcb2_k2,pcb2-bad-059,1,2.908,-0.875,3.783,0.02225,0.193
visa_pcb2_k2,pcb2-bad-060,1,2.955,-0.961,3.916,0.01953,0.206
visa_pcb2_k2,pcb2-bad-061,1,2.908,-0.8003,3.709,0.02393,0.2064
visa_pcb2_k2,pcb2-bad-062,1,2.965,-0.8906,3.855,0.02072,0.2064
visa_pcb2_k2,pcb2-bad-063,1,2.95,-0.9087,3.857,0.02068,0.2152
visa_pcb2_k2,pcb2-bad-064,1,2.951,-0.9717,3.922,0.0194,0.2008
visa_pcb2_k2,pcb2-bad-065,1,2.967,-0.9316,3.898,0.01987,0.2046
visa_pcb2_k2,pcb2-bad-066,1,3.004,-0.9863,3.99,0.01816,0.2069
visa_pcb2_k2,pcb2-bad-067,1,2.936,-0.877,3.812,0.02162,0.2067
visa_pcb2_k2,pcb2-bad-068,1,2.984,-0.975,3.959,0.01872,0.202
visa_pcb2_k2,pcb2-bad-069,1,2.979,-0.9585,3.938,0.01913,0.2145
visa_pcb2_k2,pcb2-bad-070,1,2.916,-0.8604,3.777,0.0224,0.2173
visa_pcb2_k2,pcb2-bad-071,1,2.982,-0.9155,3.898,0.01988,0.2089
visa_pcb2_k2,pcb2-bad-072,1,2.965,-1.01,3.975,0.01843,0.216
visa_pcb2_k2,pcb2-bad-073,1,2.986,-0.9536,3.94,0.01907,0.2134
visa_pcb2_k2,pcb2-bad-074,1,2.973,-0.917,3.89,0.02005,0.2129
visa_pcb2_k2,pcb2-bad-075,1,2.914,-0.938,3.852,0.0208,0.2164
visa_pcb2_k2,pcb2-bad-076,1,2.975,-0.8555,3.83,0.02124,0.219
visa_pcb2_k2,pcb2-bad-077,1,2.977,-0.8975,3.875,0.02036,0.2161
visa_pcb2_k2,pcb2-bad-078,1,2.94,-0.916,3.855,0.02072,0.2162
visa_pcb2_k2,pcb2-bad-079,1,2.988,-0.984,3.973,0.01848,0.2046
visa_pcb2_k2,pcb2-bad-080,1,2.96,-0.876,3.836,0.0211,0.2169
visa_pcb2_k2,pcb2-bad-081,1,2.957,-0.9585,3.916,0.01955,0.2153
visa_pcb2_k2,pcb2-bad-082,1,2.863,-0.883,3.746,0.02307,0.2238
visa_pcb2_k2,pcb2-bad-083,1,2.926,-1.052,3.977,0.01839,0.213
visa_pcb2_k2,pcb2-bad-084,1,2.922,-1.06,3.98,0.01831,0.2043
visa_pcb2_k2,pcb2-bad-085,1,2.973,-0.8477,3.82,0.02145,0.2115
visa_pcb2_k2,pcb2-bad-086,1,2.896,-0.8145,3.71,0.02386,0.213
visa_pcb2_k2,pcb2-bad-087,1,2.924,-0.89,3.814,0.02159,0.2087
visa_pcb2_k2,pcb2-bad-088,1,2.959,-0.9653,3.924,0.01938,0.1931
visa_pcb2_k2,pcb2-bad-089,1,2.97,-0.922,3.893,0.01999,0.2056
visa_pcb2_k2,pcb2-bad-090,1,2.967,-0.896,3.863,0.02058,0.2085
visa_pcb2_k2,pcb2-bad-091,1,2.934,-0.9595,3.893,0.01997,0.2241
