class,i_roc_baseline,p_roc_baseline,i_roc_prompt2,p_roc_prompt2,i_roc_v1,p_roc_v1,i_roc_v2,p_roc_v2,prompt2_gain,v1_gain,v2_gain
mvtec-carpet,100.0,99.48,100.0,0.0,99.96,0.0,99.96,0.0,0.0,-0.04000000000000625,-0.04000000000000625
mvtec-grid,99.08,97.81,99.75,0.0,99.83,0.0,99.83,0.0,0.6700000000000017,0.75,0.75
mvtec-leather,100.0,99.42,100.0,0.0,100.0,0.0,99.9,0.0,0.0,0.0,-0.09999999999999432
mvtec-tile,100.0,96.53,99.86,0.0,99.93,0.0,99.96,0.0,-0.14000000000000057,-0.06999999999999318,-0.04000000000000625
mvtec-wood,99.82,95.65,99.74,0.0,99.65,0.0,99.91,0.0,-0.0799999999999983,-0.1699999999999875,0.09000000000000341
mvtec-bottle,100.0,98.73,99.21,0.0,98.97,0.0,100.0,0.0,-0.7900000000000063,-1.0300000000000011,0.0
mvtec-cable,96.38,96.77,89.47,0.0,88.32,0.0,90.1,0.0,-6.909999999999997,-8.060000000000002,-6.280000000000001
mvtec-capsule,79.94,96.13,64.46,0.0,65.12,0.0,65.42,0.0,-15.480000000000004,-14.819999999999993,-14.519999999999996
mvtec-hazelnut,99.93,98.86,87.39,0.0,87.57,0.0,88.29,0.0,-12.540000000000006,-12.360000000000014,-11.64
mvtec-metal_nut,100.0,93.76,95.45,0.0,95.8,0.0,93.96,0.0,-4.549999999999997,-4.200000000000003,-6.040000000000006
mvtec-pill,95.61,95.45,82.73,0.0,87.21,0.0,83.31,0.0,-12.879999999999995,-8.400000000000006,-12.299999999999997
mvtec-screw,58.66,93.12,73.36,0.0,75.32,0.0,75.34,0.0,14.700000000000003,16.659999999999997,16.680000000000007
mvtec-toothbrush,98.89,98.95,86.94,0.0,85.83,0.0,81.39,0.0,-11.950000000000003,-13.060000000000002,-17.5
mvtec-transistor,89.79,88.66,87.42,0.0,87.96,0.0,88.08,0.0,-2.3700000000000045,-1.8300000000000125,-1.710000000000008
mvtec-zipper,96.4,94.46,94.83,0.0,94.93,0.0,93.83,0.0,-1.5700000000000074,-1.4699999999999989,-2.5700000000000074
visa-candle,94.86,96.16,91.11,0.0,91.36,0.0,93.26,0.0,-3.75,-3.5,-1.5999999999999943
visa-capsules,72.8,94.39,69.12,0.0,70.14,0.0,71.07,0.0,-3.6799999999999926,-2.6599999999999966,-1.730000000000004
visa-cashew,90.4,99.43,87.0,0.0,89.26,0.0,84.76,0.0,-3.4000000000000057,-1.1400000000000006,-5.640000000000001
visa-chewinggum,97.19,99.61,92.71,0.0,93.13,0.0,93.57,0.0,-4.480000000000004,-4.060000000000002,-3.6200000000000045
visa-fryum,89.96,96.91,82.36,0.0,83.13,0.0,84.53,0.0,-7.599999999999994,-6.829999999999998,-5.429999999999993
visa-macaroni1,85.75,97.61,79.54,0.0,82.72,0.0,81.26,0.0,-6.209999999999994,-3.030000000000001,-4.489999999999995
visa-macaroni2,74.74,94.61,67.33,0.0,65.44,0.0,62.66,0.0,-7.409999999999997,-9.299999999999997,-12.079999999999998
visa-pcb1,94.15,98.45,92.06,0.0,92.52,0.0,91.11,0.0,-2.0900000000000034,-1.6300000000000097,-3.0400000000000063
visa-pcb2,77.09,0.0,66.71,0.0,70.07,0.0,72.95,0.0,-10.38000000000001,-7.02000000000001,-4.140000000000001
visa-pcb3,79.78,0.0,67.68,0.0,60.83,0.0,61.83,0.0,-12.099999999999994,-18.950000000000003,-17.950000000000003
visa-pcb4,83.45,0.0,84.86,0.0,86.45,0.0,85.79,0.0,1.4099999999999966,3.0,2.3400000000000034
visa-pipe_fryum,98.8,99.61,90.87,0.0,90.29,0.0,89.98,0.0,-7.929999999999993,-8.509999999999991,-8.819999999999993
