class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
mvtec_capsule_k2,capsule-squeeze-000,1,1.914,0.7905,1.123,0.2454,0.2443
mvtec_capsule_k2,capsule-squeeze-001,1,1.783,0.7266,1.057,0.258,0.2573
mvtec_capsule_k2,capsule-squeeze-002,1,1.803,0.6963,1.106,0.2485,0.247
mvtec_capsule_k2,capsule-squeeze-003,1,1.822,0.677,1.1455,0.2413,0.2443
mvtec_capsule_k2,capsule-squeeze-004,1,1.8125,0.699,1.113,0.2473,0.2457
mvtec_capsule_k2,capsule-squeeze-005,1,1.82,0.722,1.098,0.25,0.2452
mvtec_capsule_k2,capsule-squeeze-006,1,1.878,0.779,1.1,0.2499,0.2479
mvtec_capsule_k2,capsule-squeeze-007,1,1.819,0.8696,0.9497,0.279,0.259
mvtec_capsule_k2,capsule-squeeze-008,1,1.809,0.698,1.11,0.2478,0.2448
mvtec_capsule_k2,capsule-squeeze-009,1,1.664,0.745,0.919,0.2852,0.252
mvtec_capsule_k2,capsule-squeeze-010,1,1.79,0.667,1.123,0.2455,0.2524
mvtec_capsule_k2,capsule-squeeze-011,1,1.838,0.7925,1.045,0.26,0.2498
mvtec_capsule_k2,capsule-squeeze-012,1,1.751,0.7188,1.032,0.2627,0.2443
mvtec_capsule_k2,capsule-squeeze-013,1,1.684,0.6675,1.016,0.2659,0.249
mvtec_capsule_k2,capsule-squeeze-014,1,1.837,0.819,1.018,0.2654,0.2554
mvtec_capsule_k2,capsule-squeeze-015,1,1.83,0.763,1.066,0.256,0.2507
mvtec_capsule_k2,capsule-squeeze-016,1,1.826,0.744,1.082,0.2532,0.2449
mvtec_capsule_k2,capsule-squeeze-017,1,1.784,0.6416,1.143,0.2418,0.2458
mvtec_capsule_k2,capsule-squeeze-018,1,1.88,0.742,1.138,0.2428,0.2448
mvtec_capsule_k2,capsule-squeeze-019,1,1.829,0.659,1.17,0.2368,0.2423
mvtec_capsule_k2,capsule-scratch-000,1,1.872,0.7295,1.143,0.2418,0.2435
mvtec_capsule_k2,capsule-scratch-001,1,1.862,0.671,1.191,0.233,0.2426
mvtec_capsule_k2,capsule-scratch-002,1,1.726,0.641,1.084,0.2527,0.2399
mvtec_capsule_k2,capsule-scratch-003,1,1.681,0.672,1.009,0.2673,0.2434
mvtec_capsule_k2,capsule-scratch-004,1,1.774,0.72,1.055,0.2583,0.2408
mvtec_capsule_k2,capsule-scratch-005,1,1.852,0.688,1.164,0.238,0.2341
mvtec_capsule_k2,capsule-scratch-006,1,1.815,0.705,1.11,0.2478,0.2355
mvtec_capsule_k2,capsule-scratch-007,1,1.775,0.6704,1.105,0.2488,0.2418
mvtec_capsule_k2,capsule-scratch-008,1,1.885,0.679,1.205,0.2305,0.2418
mvtec_capsule_k2,capsule-scratch-009,1,1.769,0.676,1.093,0.251,0.2433
mvtec_capsule_k2,capsule-scratch-010,1,1.876,0.6313,1.244,0.2236,0.2399
mvtec_capsule_k2,capsule-scratch-011,1,1.864,0.707,1.157,0.2391,0.2393
mvtec_capsule_k2,capsule-scratch-012,1,1.853,0.697,1.156,0.2394,0.2372
mvtec_capsule_k2,capsule-scratch-013,1,1.833,0.726,1.107,0.2484,0.239
mvtec_capsule_k2,capsule-scratch-014,1,1.959,0.7197,1.239,0.2246,0.2351
mvtec_capsule_k2,capsule-scratch-015,1,1.808,0.717,1.091,0.2515,0.2429
mvtec_capsule_k2,capsule-scratch-016,1,1.911,0.693,1.219,0.2283,0.2402
mvtec_capsule_k2,capsule-scratch-017,1,1.814,0.66,1.154,0.2397,0.2413
mvtec_capsule_k2,capsule-scratch-018,1,1.765,0.7036,1.061,0.257,0.246
mvtec_capsule_k2,capsule-scratch-019,1,1.869,0.664,1.205,0.2306,0.2389
mvtec_capsule_k2,capsule-scratch-020,1,1.861,0.7036,1.158,0.2391,0.246
mvtec_capsule_k2,capsule-scratch-021,1,1.805,0.706,1.099,0.25,0.2407
mvtec_capsule_k2,capsule-scratch-022,1,1.775,0.6514,1.124,0.2452,0.2396
mvtec_capsule_k2,capsule-good-019,0,1.765,0.6665,1.098,0.25,0.243
mvtec_capsule_k2,capsule-good-002,0,1.7,0.6714,1.029,0.2634,0.2408
