class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
mvtec_carpet_k2,carpet-color-000,1,1.884,0.3435,1.54,0.1765,0.2019
mvtec_carpet_k2,carpet-color-001,1,2.086,0.1477,1.938,0.1259,0.1868
mvtec_carpet_k2,carpet-color-002,1,2.053,0.1411,1.912,0.1288,0.1907
mvtec_carpet_k2,carpet-color-003,1,2.027,0.266,1.762,0.1466,0.1896
mvtec_carpet_k2,carpet-color-004,1,2.037,0.1835,1.854,0.1355,0.1912
mvtec_carpet_k2,carpet-color-005,1,2.121,0.2183,1.902,0.1298,0.1902
mvtec_carpet_k2,carpet-color-006,1,2.021,0.2039,1.817,0.1398,0.1857
mvtec_carpet_k2,carpet-color-007,1,2.021,0.2068,1.814,0.14,0.1871
mvtec_carpet_k2,carpet-color-008,1,1.828,0.4495,1.379,0.2012,0.2064
mvtec_carpet_k2,carpet-color-009,1,2.03,0.287,1.742,0.149,0.2008
mvtec_carpet_k2,carpet-color-010,1,2.098,0.0605,2.037,0.11536,0.1891
mvtec_carpet_k2,carpet-color-011,1,2.102,0.1787,1.923,0.1276,0.1809
mvtec_carpet_k2,carpet-color-012,1,2.098,0.2219,1.876,0.1329,0.1826
mvtec_carpet_k2,carpet-color-013,1,2.121,0.2725,1.849,0.136,0.183
mvtec_carpet_k2,carpet-color-014,1,2.123,0.106,2.018,0.11743,0.1788
mvtec_carpet_k2,carpet-color-015,1,2.145,0.282,1.862,0.1344,0.1886
mvtec_carpet_k2,carpet-color-016,1,2.148,0.156,1.992,0.12,0.1962
mvtec_carpet_k2,carpet-color-017,1,2.12,0.09283,2.025,0.11646,0.1898
mvtec_carpet_k2,carpet-color-018,1,2.102,0.3506,1.751,0.148,0.1903
mvtec_carpet_k2,carpet-metal_contamination-000,1,2.207,0.1214,2.086,0.1105,0.1704
mvtec_carpet_k2,carpet-metal_contamination-001,1,2.158,0.1711,1.987,0.12054,0.1783
mvtec_carpet_k2,carpet-metal_contamination-002,1,2.158,0.1652,1.993,0.11993,0.1825
mvtec_carpet_k2,carpet-metal_contamination-003,1,2.137,0.0904,2.047,0.11444,0.174
mvtec_carpet_k2,carpet-metal_contamination-004,1,2.08,0.1791,1.901,0.13,0.186
mvtec_carpet_k2,carpet-metal_contamination-005,1,2.2,0.2323,1.967,0.12274,0.1831
mvtec_carpet_k2,carpet-metal_contamination-006,1,2.123,0.2241,1.898,0.1302,0.1833
mvtec_carpet_k2,carpet-metal_contamination-007,1,2.191,0.2141,1.978,0.1216,0.1809
mvtec_carpet_k2,carpet-metal_contamination-008,1,2.086,0.11066,1.976,0.1218,0.1829
mvtec_carpet_k2,carpet-metal_contamination-009,1,2.092,0.1678,1.924,0.1274,0.1876
mvtec_carpet_k2,carpet-metal_contamination-010,1,2.043,0.1984,1.845,0.1365,0.1844
mvtec_carpet_k2,carpet-metal_contamination-011,1,2.205,0.16,2.045,0.11456,0.1763
mvtec_carpet_k2,carpet-metal_contamination-012,1,2.07,0.3208,1.75,0.1481,0.1935
mvtec_carpet_k2,carpet-metal_contamination-013,1,2.12,0.2241,1.895,0.1306,0.1842
mvtec_carpet_k2,carpet-metal_contamination-014,1,2.164,0.0895,2.074,0.1116,0.177
mvtec_carpet_k2,carpet-metal_contamination-015,1,2.098,0.3186,1.779,0.1444,0.1907
mvtec_carpet_k2,carpet-metal_contamination-016,1,2.16,0.11383,2.047,0.11444,0.1836
mvtec_carpet_k2,carpet-hole-000,1,2.04,0.1263,1.913,0.1287,0.1946
mvtec_carpet_k2,carpet-hole-001,1,2.137,0.06055,2.076,0.11145,0.1757
mvtec_carpet_k2,carpet-hole-002,1,1.964,0.1268,1.837,0.1375,0.1912
mvtec_carpet_k2,carpet-hole-003,1,1.9795,0.1843,1.795,0.1425,0.1967
mvtec_carpet_k2,carpet-hole-004,1,1.905,0.1562,1.749,0.1482,0.1978
mvtec_carpet_k2,carpet-hole-005,1,1.952,0.2247,1.728,0.1509,0.1936
mvtec_carpet_k2,carpet-hole-006,1,1.857,0.311,1.547,0.1757,0.1975
mvtec_carpet_k2,carpet-hole-007,1,1.994,0.1865,1.808,0.1409,0.1942
mvtec_carpet_k2,carpet-hole-008,1,1.928,0.2367,1.691,0.1556,0.2025
mvtec_carpet_k2,carpet-hole-009,1,1.94,0.1803,1.76,0.1467,0.2051
mvtec_carpet_k2,carpet-hole-010,1,1.989,0.2625,1.727,0.151,0.2096
mvtec_carpet_k2,carpet-hole-011,1,1.927,0.1705,1.756,0.1472,0.1923
mvtec_carpet_k2,carpet-hole-012,1,2.057,0.1462,1.91,0.1289,0.1901
mvtec_carpet_k2,carpet-hole-013,1,2.078,0.1631,1.915,0.1284,0.1898
