class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
mvtec_leather_k2,leather-color-000,1,1.914,-0.4885,2.402,0.08295,0.1664
mvtec_leather_k2,leather-color-001,1,2.111,-0.656,2.768,0.05914,0.1595
mvtec_leather_k2,leather-color-002,1,2.014,-0.523,2.537,0.0733,0.1604
mvtec_leather_k2,leather-color-003,1,2.121,-0.609,2.73,0.06122,0.1654
mvtec_leather_k2,leather-color-004,1,2.055,-0.575,2.629,0.06726,0.1624
mvtec_leather_k2,leather-color-005,1,2.09,-0.543,2.633,0.0671,0.163
mvtec_leather_k2,leather-color-006,1,2.14,-0.533,2.674,0.0645,0.159
mvtec_leather_k2,leather-color-007,1,2.127,-0.5557,2.684,0.064,0.1603
mvtec_leather_k2,leather-color-008,1,1.836,-0.3296,2.166,0.1029,0.1718
mvtec_leather_k2,leather-color-009,1,2.045,-0.635,2.68,0.0642,0.1626
mvtec_leather_k2,leather-color-010,1,1.999,-0.499,2.498,0.076,0.159
mvtec_leather_k2,leather-color-011,1,2.0,-0.551,2.55,0.0724,0.1637
mvtec_leather_k2,leather-color-012,1,2.05,-0.4998,2.55,0.0724,0.1665
mvtec_leather_k2,leather-color-013,1,2.115,-0.686,2.8,0.05725,0.1615
mvtec_leather_k2,leather-color-014,1,2.055,-0.459,2.514,0.0749,0.1626
mvtec_leather_k2,leather-color-015,1,1.955,-0.3032,2.258,0.09467,0.1722
mvtec_leather_k2,leather-color-016,1,2.07,-0.4924,2.562,0.0716,0.1676
mvtec_leather_k2,leather-color-017,1,1.987,-0.4124,2.4,0.0832,0.1694
mvtec_leather_k2,leather-color-018,1,2.057,-0.6123,2.668,0.0648,0.1602
mvtec_leather_k2,leather-good-019,0,2.168,-0.7314,2.898,0.0522,0.1561
mvtec_leather_k2,leather-good-002,0,2.152,-0.7393,2.89,0.05258,0.1547
mvtec_leather_k2,leather-good-005,0,2.174,-0.7583,2.932,0.0506,0.154
mvtec_leather_k2,leather-good-025,0,2.148,-0.636,2.785,0.05817,0.1588
mvtec_leather_k2,leather-good-016,0,2.162,-0.7393,2.902,0.0521,0.1554
mvtec_leather_k2,leather-good-015,0,2.152,-0.747,2.898,0.0522,0.155
mvtec_leather_k2,leather-good-017,0,2.162,-0.71,2.871,0.05356,0.156
mvtec_leather_k2,leather-good-031,0,2.168,-0.708,2.875,0.05334,0.1581
mvtec_leather_k2,leather-good-014,0,2.21,-0.7407,2.951,0.04965,0.152
mvtec_leather_k2,leather-good-024,0,2.127,-0.6875,2.814,0.05655,0.1606
mvtec_leather_k2,leather-good-029,0,2.184,-0.7515,2.936,0.05045,0.1587
mvtec_leather_k2,leather-good-011,0,2.205,-0.7397,2.945,0.05,0.1575
mvtec_leather_k2,leather-good-012,0,2.18,-0.7427,2.922,0.05106,0.1561
mvtec_leather_k2,leather-good-013,0,2.13,-0.738,2.87,0.0537,0.1582
mvtec_leather_k2,leather-good-004,0,2.162,-0.729,2.89,0.05258,0.1558
mvtec_leather_k2,leather-good-008,0,2.186,-0.739,2.924,0.05096,0.1567
mvtec_leather_k2,leather-good-020,0,2.166,-0.7427,2.908,0.05173,0.1576
mvtec_leather_k2,leather-good-009,0,2.178,-0.735,2.912,0.05154,0.1545
