class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
mvtec_screw_k2,screw-manipulated_front-000,1,0.557,0.5166,0.04053,0.49,0.3264
mvtec_screw_k2,screw-manipulated_front-001,1,0.577,0.5303,0.04688,0.4883,0.3335
mvtec_screw_k2,screw-manipulated_front-002,1,0.5996,0.527,0.07275,0.482,0.3171
mvtec_screw_k2,screw-manipulated_front-003,1,0.5874,0.5776,0.009766,0.4976,0.3438
mvtec_screw_k2,screw-manipulated_front-004,1,0.4614,0.4695,-0.00806,0.502,0.3323
mvtec_screw_k2,screw-manipulated_front-005,1,0.5723,0.4858,0.0864,0.4785,0.3154
mvtec_screw_k2,screw-manipulated_front-006,1,0.583,0.5415,0.0415,0.4897,0.326
mvtec_screw_k2,screw-manipulated_front-007,1,0.538,0.569,-0.03076,0.508,0.3386
mvtec_screw_k2,screw-manipulated_front-008,1,0.465,0.3928,0.07227,0.482,0.3293
mvtec_screw_k2,screw-manipulated_front-009,1,0.605,0.574,0.03076,0.4924,0.3296
mvtec_screw_k2,screw-manipulated_front-010,1,0.5996,0.525,0.0747,0.4814,0.3123
mvtec_screw_k2,screw-manipulated_front-011,1,0.546,0.5176,0.02832,0.493,0.3423
mvtec_screw_k2,screw-manipulated_front-012,1,0.6333,0.514,0.11914,0.4702,0.3164
mvtec_screw_k2,screw-manipulated_front-013,1,0.5874,0.5396,0.04785,0.488,0.334
mvtec_screw_k2,screw-manipulated_front-014,1,0.525,0.4915,0.03345,0.4917,0.3406
mvtec_screw_k2,screw-manipulated_front-015,1,0.579,0.5703,0.00879,0.4978,0.344
mvtec_screw_k2,screw-manipulated_front-016,1,0.563,0.563,0.0,0.5,0.3164
mvtec_screw_k2,screw-manipulated_front-017,1,0.535,0.5073,0.02783,0.4932,0.3435
mvtec_screw_k2,screw-manipulated_front-018,1,0.521,0.5464,-0.02539,0.5063,0.3516
mvtec_screw_k2,screw-manipulated_front-019,1,0.546,0.4956,0.0503,0.4875,0.348
mvtec_screw_k2,screw-manipulated_front-020,1,0.5635,0.546,0.01758,0.4956,0.327
mvtec_screw_k2,screw-manipulated_front-021,1,0.5215,0.511,0.010254,0.4976,0.3442
mvtec_screw_k2,screw-manipulated_front-022,1,0.507,0.4731,0.0337,0.4917,0.3372
mvtec_screw_k2,screw-manipulated_front-023,1,0.527,0.5254,0.001465,0.4995,0.3442
mvtec_screw_k2,screw-good-019,0,0.6255,0.4978,0.1277,0.468,0.3184
mvtec_screw_k2,screw-good-002,0,0.5464,0.455,0.0913,0.4773,0.3457
mvtec_screw_k2,screw-good-034,0,0.5244,0.492,0.03247,0.492,0.3418
mvtec_screw_k2,screw-good-005,0,0.497,0.4927,0.004395,0.499,0.3398
mvtec_screw_k2,screw-good-025,0,0.5967,0.5273,0.06934,0.4827,0.3313
mvtec_screw_k2,screw-good-016,0,0.5957,0.545,0.05078,0.4873,0.3438
mvtec_screw_k2,screw-good-039,0,0.575,0.4749,0.10034,0.4749,0.3042
mvtec_screw_k2,screw-good-040,0,0.605,0.52,0.08496,0.4788,0.3325
mvtec_screw_k2,screw-good-015,0,0.526,0.477,0.04883,0.4878,0.342
mvtec_screw_k2,screw-good-017,0,0.5493,0.5103,0.03906,0.4902,0.345
mvtec_screw_k2,screw-good-031,0,0.6343,0.5146,0.1196,0.4702,0.3132
mvtec_screw_k2,screw-good-014,0,0.3958,0.3323,0.0635,0.4841,0.3342
mvtec_screw_k2,screw-good-037,0,0.586,0.563,0.02295,0.4944,0.3416
