class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
mvtec_screw_k2,screw-manipulated_front-000,1,0.623,0.5425,0.08057,0.48,0.3235
mvtec_screw_k2,screw-manipulated_front-001,1,0.6455,0.5576,0.0879,0.478,0.33
mvtec_screw_k2,screw-manipulated_front-002,1,0.6733,0.554,0.11914,0.4702,0.3135
mvtec_screw_k2,screw-manipulated_front-003,1,0.655,0.598,0.05664,0.4858,0.3408
mvtec_screw_k2,screw-manipulated_front-004,1,0.5215,0.4893,0.03223,0.492,0.329
mvtec_screw_k2,screw-manipulated_front-005,1,0.6377,0.496,0.1416,0.4646,0.3118
mvtec_screw_k2,screw-manipulated_front-006,1,0.648,0.5635,0.0845,0.479,0.3223
mvtec_screw_k2,screw-manipulated_front-007,1,0.604,0.5947,0.00928,0.4976,0.335
mvtec_screw_k2,screw-manipulated_front-008,1,0.524,0.409,0.115,0.4712,0.3254
mvtec_screw_k2,screw-manipulated_front-009,1,0.6685,0.5923,0.0762,0.481,0.326
mvtec_screw_k2,screw-manipulated_front-010,1,0.675,0.5503,0.1245,0.469,0.3083
mvtec_screw_k2,screw-manipulated_front-011,1,0.6147,0.5415,0.07324,0.4817,0.3384
mvtec_screw_k2,screw-manipulated_front-012,1,0.7085,0.538,0.1704,0.4575,0.3127
mvtec_screw_k2,screw-manipulated_front-013,1,0.655,0.564,0.0908,0.4773,0.3306
mvtec_screw_k2,screw-manipulated_front-014,1,0.587,0.507,0.0801,0.48,0.3372
mvtec_screw_k2,screw-manipulated_front-015,1,0.651,0.5938,0.05713,0.4858,0.34
mvtec_screw_k2,screw-manipulated_front-016,1,0.636,0.5874,0.04883,0.4878,0.3123
mvtec_screw_k2,screw-manipulated_front-017,1,0.601,0.529,0.07227,0.482,0.34
mvtec_screw_k2,screw-manipulated_front-018,1,0.593,0.567,0.02588,0.4937,0.3481
mvtec_screw_k2,screw-manipulated_front-019,1,0.615,0.5186,0.0967,0.4758,0.3442
mvtec_screw_k2,screw-manipulated_front-020,1,0.6294,0.5703,0.05908,0.4854,0.324
mvtec_screw_k2,screw-manipulated_front-021,1,0.588,0.535,0.05273,0.4868,0.3408
mvtec_screw_k2,screw-manipulated_front-022,1,0.574,0.4924,0.0818,0.4795,0.3337
mvtec_screw_k2,screw-manipulated_front-023,1,0.5933,0.5527,0.04053,0.49,0.3408
mvtec_screw_k2,screw-good-019,0,0.69,0.514,0.1758,0.456,0.3147
mvtec_screw_k2,screw-good-002,0,0.6074,0.4656,0.1418,0.4646,0.3423
mvtec_screw_k2,screw-good-034,0,0.583,0.507,0.0762,0.481,0.3386
mvtec_screw_k2,screw-good-005,0,0.564,0.5117,0.05225,0.487,0.337
mvtec_screw_k2,screw-good-025,0,0.658,0.552,0.10645,0.4734,0.3284
mvtec_screw_k2,screw-good-016,0,0.6577,0.5615,0.0962,0.476,0.3403
mvtec_screw_k2,screw-good-039,0,0.645,0.4946,0.1504,0.4624,0.3003
mvtec_screw_k2,screw-good-040,0,0.67,0.537,0.1328,0.4668,0.3289
mvtec_screw_k2,screw-good-015,0,0.585,0.4927,0.0923,0.477,0.3389
mvtec_screw_k2,screw-good-017,0,0.6133,0.532,0.08105,0.4797,0.3408
mvtec_screw_k2,screw-good-031,0,0.7,0.5366,0.1636,0.4592,0.3096
mvtec_screw_k2,screw-good-014,0,0.456,0.3523,0.10376,0.474,0.3308
mvtec_screw_k2,screw-good-037,0,0.649,0.583,0.0659,0.4836,0.338
mvtec_screw_k2,screw-good-035,0,0.5435,0.4973,0.04614,0.4885,0.3313
mvtec_screw_k2,screw-good-024,0,0.6187,0.4888,0.1299,0.4675,0.3438
mvtec_screw_k2,screw-good-029,0,0.5845,0.4417,0.1428,0.4644,0.3293
mvtec_screw_k2,screw-good-011,0,0.584,0.4656,0.1184,0.4705,0.3472
mvtec_screw_k2,screw-good-012,0,0.5977,0.536,0.06152,0.4846,0.3364
mvtec_screw_k2,screw-good-013,0,0.64,0.5654,0.0747,0.4814,0.3328
mvtec_screw_k2,screw-good-004,0,0.5728,0.4856,0.08716,0.4783,0.328
mvtec_screw_k2,screw-good-033,0,0.6304,0.576,0.0542,0.4866,0.334
mvtec_screw_k2,screw-good-008,0,0.68,0.606,0.0742,0.4814,0.3118
mvtec_screw_k2,screw-good-032,0,0.6357,0.5415,0.09424,0.4766,0.3455
mvtec_screw_k2,screw-good-020,0,0.5874,0.5,0.0874,0.4783,0.344
mvtec_screw_k2,screw-good-009,0,0.6543,0.519,0.1353,0.4663,0.3296
mvtec_screw_k2,screw-good-007,0,0.629,0.587,0.042,0.4895,0.3325
mvtec_screw_k2,screw-good-022,0,0.5024,0.442,0.06055,0.4849,0.3328
mvtec_screw_k2,screw-good-023,0,0.5137,0.363,0.1506,0.4624,0.3296
mvtec_screw_k2,screw-good-027,0,0.6504,0.5723,0.0781,0.4805,0.3364
mvtec_screw_k2,screw-good-001,0,0.556,0.4885,0.0676,0.4832,0.3452
mvtec_screw_k2,screw-good-038,0,0.727,0.6304,0.0967,0.4758,0.321
mvtec_screw_k2,screw-good-018,0,0.6753,0.4822,0.1931,0.452,0.3074
mvtec_screw_k2,screw-good-028,0,0.649,0.5537,0.0952,0.4763,0.3416
mvtec_screw_k2,screw-good-030,0,0.635,0.5405,0.09424,0.4766,0.3328
mvtec_screw_k2,screw-good-026,0,0.6753,0.581,0.09424,0.4766,0.3096
mvtec_screw_k2,screw-good-000,0,0.5854,0.4978,0.08765,0.478,0.3342
mvtec_screw_k2,screw-good-010,0,0.72,0.5376,0.1826,0.4546,0.2988
mvtec_screw_k2,screw-good-021,0,0.6123,0.555,0.05713,0.4858,0.3389
