class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
mvtec_toothbrush_k2,toothbrush-defective-000,1,1.615,0.12006,1.495,0.1831,0.2347
mvtec_toothbrush_k2,toothbrush-defective-001,1,1.675,0.0778,1.597,0.1685,0.2261
mvtec_toothbrush_k2,toothbrush-defective-002,1,1.57,0.1462,1.424,0.194,0.233
mvtec_toothbrush_k2,toothbrush-defective-003,1,1.61,0.12286,1.487,0.1843,0.229
mvtec_toothbrush_k2,toothbrush-defective-004,1,1.583,0.0889,1.494,0.1833,0.2313
mvtec_toothbrush_k2,toothbrush-defective-005,1,1.702,0.06866,1.634,0.1633,0.2344
mvtec_toothbrush_k2,toothbrush-defective-006,1,1.688,0.07056,1.618,0.1655,0.2241
mvtec_toothbrush_k2,toothbrush-defective-007,1,1.649,0.0816,1.567,0.1725,0.2246
mvtec_toothbrush_k2,toothbrush-defective-008,1,1.55,0.1292,1.421,0.1946,0.2439
mvtec_toothbrush_k2,toothbrush-defective-009,1,1.415,0.09143,1.323,0.2102,0.2444
mvtec_toothbrush_k2,toothbrush-defective-010,1,1.503,0.1531,1.35,0.2059,0.2394
mvtec_toothbrush_k2,toothbrush-defective-011,1,1.718,0.009254,1.709,0.1533,0.2073
mvtec_toothbrush_k2,toothbrush-defective-012,1,1.748,0.02435,1.724,0.1514,0.226
mvtec_toothbrush_k2,toothbrush-defective-013,1,1.722,0.01616,1.705,0.1537,0.2112
mvtec_toothbrush_k2,toothbrush-defective-014,1,1.709,0.0647,1.645,0.1619,0.2332
mvtec_toothbrush_k2,toothbrush-defective-015,1,1.535,0.12317,1.412,0.1959,0.2308
mvtec_toothbrush_k2,toothbrush-defective-016,1,1.735,0.1035,1.632,0.1636,0.2161
mvtec_toothbrush_k2,toothbrush-defective-017,1,1.562,0.1151,1.446,0.1906,0.2452
mvtec_toothbrush_k2,toothbrush-defective-018,1,1.715,0.004,1.711,0.1531,0.2128
mvtec_toothbrush_k2,toothbrush-defective-019,1,1.802,0.1493,1.652,0.1608,0.2197
mvtec_toothbrush_k2,toothbrush-defective-020,1,1.841,0.0867,1.754,0.1476,0.2108
mvtec_toothbrush_k2,toothbrush-defective-021,1,1.823,-0.007465,1.831,0.1382,0.1956
mvtec_toothbrush_k2,toothbrush-defective-022,1,1.606,0.0797,1.526,0.1785,0.235
mvtec_toothbrush_k2,toothbrush-defective-023,1,1.827,0.1148,1.712,0.1528,0.2062
mvtec_toothbrush_k2,toothbrush-defective-024,1,1.868,0.03882,1.829,0.1383,0.2024
mvtec_toothbrush_k2,toothbrush-defective-025,1,1.773,0.1571,1.616,0.1658,0.2147
mvtec_toothbrush_k2,toothbrush-defective-026,1,1.75,0.1214,1.629,0.1641,0.2134
mvtec_toothbrush_k2,toothbrush-defective-027,1,1.754,-0.03014,1.784,0.1438,0.1969
mvtec_toothbrush_k2,toothbrush-defective-028,1,1.812,0.04465,1.767,0.1459,0.2053
mvtec_toothbrush_k2,toothbrush-defective-029,1,1.7,0.063,1.637,0.1628,0.2263
mvtec_toothbrush_k2,toothbrush-good-002,0,1.625,0.004726,1.62,0.1652,0.2245
mvtec_toothbrush_k2,toothbrush-good-005,0,1.798,0.01906,1.778,0.1444,0.206
mvtec_toothbrush_k2,toothbrush-good-011,0,1.781,-0.01057,1.792,0.1428,0.199
mvtec_toothbrush_k2,toothbrush-good-004,0,1.848,0.0467,1.801,0.1417,0.2091
mvtec_toothbrush_k2,toothbrush-good-008,0,1.838,0.00927,1.829,0.1384,0.1836
mvtec_toothbrush_k2,toothbrush-good-009,0,1.809,-0.01968,1.828,0.1384,0.1927
mvtec_toothbrush_k2,toothbrush-good-007,0,1.73,0.03137,1.699,0.1545,0.221
mvtec_toothbrush_k2,toothbrush-good-001,0,1.659,0.01112,1.648,0.1614,0.2258
mvtec_toothbrush_k2,toothbrush-good-000,0,1.667,0.0422,1.625,0.1646,0.2214
mvtec_toothbrush_k2,toothbrush-good-010,0,1.802,0.000167,1.802,0.1416,0.191
mvtec_toothbrush_k2,toothbrush-good-003,0,1.692,0.00804,1.685,0.1565,0.2281
mvtec_toothbrush_k2,toothbrush-good-006,0,1.818,0.0332,1.785,0.1437,0.2047
