class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
mvtec_toothbrush_k2,toothbrush-defective-000,1,1.704,0.3833,1.32,0.2107,0.252
mvtec_toothbrush_k2,toothbrush-defective-001,1,1.765,0.316,1.449,0.1902,0.2421
mvtec_toothbrush_k2,toothbrush-defective-002,1,1.656,0.3875,1.269,0.2195,0.2495
mvtec_toothbrush_k2,toothbrush-defective-003,1,1.691,0.3733,1.318,0.2112,0.2463
mvtec_toothbrush_k2,toothbrush-defective-004,1,1.649,0.3215,1.328,0.2095,0.248
mvtec_toothbrush_k2,toothbrush-defective-005,1,1.799,0.3699,1.429,0.1932,0.2517
mvtec_toothbrush_k2,toothbrush-defective-006,1,1.783,0.3215,1.462,0.1882,0.2406
mvtec_toothbrush_k2,toothbrush-defective-007,1,1.723,0.3325,1.391,0.1993,0.2412
mvtec_toothbrush_k2,toothbrush-defective-008,1,1.632,0.3586,1.273,0.2188,0.2607
mvtec_toothbrush_k2,toothbrush-defective-009,1,1.503,0.3198,1.184,0.2345,0.2593
mvtec_toothbrush_k2,toothbrush-defective-010,1,1.563,0.4263,1.137,0.2428,0.2588
mvtec_toothbrush_k2,toothbrush-defective-011,1,1.799,0.299,1.5,0.1825,0.2249
mvtec_toothbrush_k2,toothbrush-defective-012,1,1.823,0.3223,1.501,0.1823,0.2448
mvtec_toothbrush_k2,toothbrush-defective-013,1,1.815,0.3057,1.51,0.181,0.2289
mvtec_toothbrush_k2,toothbrush-defective-014,1,1.804,0.3372,1.467,0.1875,0.2507
mvtec_toothbrush_k2,toothbrush-defective-015,1,1.651,0.3787,1.272,0.2188,0.2476
mvtec_toothbrush_k2,toothbrush-defective-016,1,1.803,0.4,1.402,0.1974,0.2351
mvtec_toothbrush_k2,toothbrush-defective-017,1,1.635,0.37,1.265,0.2202,0.2644
mvtec_toothbrush_k2,toothbrush-defective-018,1,1.796,0.2812,1.515,0.1803,0.23
mvtec_toothbrush_k2,toothbrush-defective-019,1,1.896,0.441,1.455,0.1891,0.2367
mvtec_toothbrush_k2,toothbrush-defective-020,1,1.882,0.3352,1.547,0.1755,0.2297
mvtec_toothbrush_k2,toothbrush-defective-021,1,1.889,0.2588,1.63,0.1638,0.2128
mvtec_toothbrush_k2,toothbrush-defective-022,1,1.656,0.3337,1.322,0.2104,0.2524
mvtec_toothbrush_k2,toothbrush-defective-023,1,1.884,0.3845,1.499,0.1825,0.224
mvtec_toothbrush_k2,toothbrush-defective-024,1,1.924,0.317,1.607,0.167,0.2196
mvtec_toothbrush_k2,toothbrush-defective-025,1,1.831,0.402,1.429,0.1932,0.2329
mvtec_toothbrush_k2,toothbrush-defective-026,1,1.815,0.3555,1.46,0.1885,0.2301
mvtec_toothbrush_k2,toothbrush-defective-027,1,1.789,0.2126,1.576,0.1713,0.2133
mvtec_toothbrush_k2,toothbrush-defective-028,1,1.891,0.3262,1.564,0.173,0.2228
mvtec_toothbrush_k2,toothbrush-defective-029,1,1.796,0.3674,1.429,0.1934,0.245
mvtec_toothbrush_k2,toothbrush-good-002,0,1.709,0.2678,1.441,0.1914,0.2411
mvtec_toothbrush_k2,toothbrush-good-005,0,1.876,0.3008,1.575,0.1715,0.2242
mvtec_toothbrush_k2,toothbrush-good-011,0,1.856,0.273,1.584,0.1703,0.2166
mvtec_toothbrush_k2,toothbrush-good-004,0,1.922,0.3047,1.617,0.1656,0.2268
mvtec_toothbrush_k2,toothbrush-good-008,0,1.897,0.2747,1.623,0.1648,0.2009
mvtec_toothbrush_k2,toothbrush-good-009,0,1.838,0.2295,1.608,0.1669,0.2113
mvtec_toothbrush_k2,toothbrush-good-007,0,1.796,0.3223,1.474,0.1864,0.2406
mvtec_toothbrush_k2,toothbrush-good-001,0,1.738,0.2637,1.475,0.1863,0.2424
mvtec_toothbrush_k2,toothbrush-good-000,0,1.756,0.303,1.453,0.1896,0.2374
mvtec_toothbrush_k2,toothbrush-good-010,0,1.853,0.2725,1.58,0.1708,0.2096
mvtec_toothbrush_k2,toothbrush-good-003,0,1.785,0.2507,1.534,0.1774,0.2437
mvtec_toothbrush_k2,toothbrush-good-006,0,1.892,0.3325,1.559,0.1738,0.2241
