class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
mvtec_bottle_v1_k2,bottle-broken_large-000,1,1.683,0.888,0.7944,0.3113,0.29
mvtec_bottle_v1_k2,bottle-broken_large-001,1,1.768,0.9404,0.827,0.3042,0.2817
mvtec_bottle_v1_k2,bottle-broken_large-002,1,1.791,0.9614,0.8296,0.3037,0.2932
mvtec_bottle_v1_k2,bottle-broken_large-003,1,1.572,0.9062,0.666,0.3394,0.3193
mvtec_bottle_v1_k2,bottle-broken_large-004,1,1.788,0.856,0.932,0.2825,0.267
mvtec_bottle_v1_k2,bottle-broken_large-005,1,1.708,0.8115,0.8965,0.2898,0.267
mvtec_bottle_v1_k2,bottle-broken_large-006,1,1.73,0.94,0.7905,0.312,0.2961
mvtec_bottle_v1_k2,bottle-broken_large-007,1,1.764,0.924,0.84,0.3015,0.291
mvtec_bottle_v1_k2,bottle-broken_large-008,1,1.758,0.942,0.816,0.3066,0.29
mvtec_bottle_v1_k2,bottle-broken_large-009,1,1.753,0.8423,0.9106,0.2869,0.2734
mvtec_bottle_v1_k2,bottle-broken_large-010,1,1.791,0.9683,0.8228,0.3052,0.2874
mvtec_bottle_v1_k2,bottle-broken_large-011,1,1.635,0.6997,0.935,0.282,0.2722
mvtec_bottle_v1_k2,bottle-broken_large-012,1,1.805,0.8745,0.93,0.283,0.2712
mvtec_bottle_v1_k2,bottle-broken_large-013,1,1.751,0.822,0.929,0.2832,0.294
mvtec_bottle_v1_k2,bottle-broken_large-014,1,1.638,0.801,0.837,0.3022,0.2693
mvtec_bottle_v1_k2,bottle-broken_large-015,1,1.788,0.8804,0.9077,0.2874,0.2805
mvtec_bottle_v1_k2,bottle-broken_large-016,1,1.699,0.9067,0.7925,0.3115,0.2974
mvtec_bottle_v1_k2,bottle-broken_large-017,1,1.857,1.011,0.8467,0.3,0.285
mvtec_bottle_v1_k2,bottle-broken_large-018,1,1.784,0.9526,0.8315,0.3032,0.295
mvtec_bottle_v1_k2,bottle-broken_large-019,1,1.789,0.946,0.8433,0.3008,0.2986
mvtec_bottle_v1_k2,bottle-good-019,0,1.854,0.7754,1.078,0.254,0.2472
mvtec_bottle_v1_k2,bottle-good-002,0,1.782,0.699,1.083,0.253,0.2474
mvtec_bottle_v1_k2,bottle-good-005,0,1.886,0.8057,1.08,0.2534,0.2443
mvtec_bottle_v1_k2,bottle-good-016,0,1.84,0.772,1.068,0.2559,0.2452
mvtec_bottle_v1_k2,bottle-good-015,0,1.889,0.8027,1.086,0.2524,0.2466
mvtec_bottle_v1_k2,bottle-good-017,0,1.825,0.7324,1.093,0.251,0.2422
mvtec_bottle_v1_k2,bottle-good-014,0,1.793,0.7075,1.086,0.2524,0.2451
mvtec_bottle_v1_k2,bottle-good-011,0,1.769,0.6523,1.116,0.2467,0.2413
mvtec_bottle_v1_k2,bottle-good-012,0,1.859,0.791,1.068,0.2556,0.244
mvtec_bottle_v1_k2,bottle-good-013,0,1.812,0.731,1.08,0.2534,0.2433
mvtec_bottle_v1_k2,bottle-good-004,0,1.876,0.7974,1.078,0.2537,0.241
mvtec_bottle_v1_k2,bottle-good-008,0,1.7,0.5967,1.104,0.249,0.2456
mvtec_bottle_v1_k2,bottle-good-009,0,1.789,0.7573,1.031,0.2627,0.247
mvtec_bottle_v1_k2,bottle-good-007,0,1.812,0.7075,1.104,0.249,0.2435
mvtec_bottle_v1_k2,bottle-good-001,0,1.777,0.701,1.076,0.2542,0.2457
mvtec_bottle_v1_k2,bottle-good-018,0,1.887,0.7812,1.105,0.2487,0.2378
mvtec_bottle_v1_k2,bottle-good-000,0,1.791,0.697,1.094,0.2507,0.2446
mvtec_bottle_v1_k2,bottle-good-010,0,1.808,0.7017,1.105,0.2487,0.2458
mvtec_bottle_v1_k2,bottle-good-003,0,1.809,0.715,1.094,0.251,0.242
mvtec_bottle_v1_k2,bottle-good-006,0,1.773,0.739,1.035,0.2622,0.2449
mvtec_bottle_v1_k2,bottle-contamination-000,1,1.774,0.849,0.9253,0.284,0.2673
mvtec_bottle_v1_k2,bottle-contamination-001,1,1.849,0.8003,1.049,0.2595,0.2537
mvtec_bottle_v1_k2,bottle-contamination-002,1,1.818,0.837,0.9814,0.2727,0.2603
mvtec_bottle_v1_k2,bottle-contamination-003,1,1.775,0.723,1.053,0.2588,0.2563
mvtec_bottle_v1_k2,bottle-contamination-004,1,1.797,0.7334,1.063,0.2566,0.252
mvtec_bottle_v1_k2,bottle-contamination-005,1,1.591,1.175,0.416,0.3975,0.2761
mvtec_bottle_v1_k2,bottle-contamination-006,1,1.738,0.8574,0.881,0.293,0.2683
mvtec_bottle_v1_k2,bottle-contamination-007,1,1.625,0.8726,0.7524,0.3203,0.2825
mvtec_bottle_v1_k2,bottle-contamination-008,1,1.772,0.8267,0.946,0.2798,0.2617
mvtec_bottle_v1_k2,bottle-contamination-009,1,1.738,0.8154,0.923,0.2844,0.259
mvtec_bottle_v1_k2,bottle-contamination-010,1,1.632,0.668,0.964,0.2761,0.2634
mvtec_bottle_v1_k2,bottle-contamination-011,1,1.741,0.88,0.8613,0.297,0.2615
mvtec_bottle_v1_k2,bottle-contamination-012,1,1.691,0.6953,0.996,0.2698,0.2576
mvtec_bottle_v1_k2,bottle-contamination-013,1,1.579,0.748,0.831,0.3035,0.2812
mvtec_bottle_v1_k2,bottle-contamination-014,1,1.605,0.6294,0.976,0.2737,0.261
mvtec_bottle_v1_k2,bottle-contamination-015,1,1.734,0.77,0.9644,0.2761,0.263
mvtec_bottle_v1_k2,bottle-contamination-016,1,1.676,0.6704,1.006,0.2678,0.2588
mvtec_bottle_v1_k2,bottle-contamination-017,1,1.486,0.8477,0.6387,0.3455,0.2932
mvtec_bottle_v1_k2,bottle-contamination-018,1,1.548,0.61,0.938,0.2812,0.2598
mvtec_bottle_v1_k2,bottle-contamination-019,1,1.829,0.7793,1.05,0.2593,0.2507
mvtec_bottle_v1_k2,bottle-contamination-020,1,1.734,0.747,0.9873,0.2715,0.258
mvtec_bottle_v1_k2,bottle-broken_small-000,1,1.714,0.677,1.037,0.2617,0.2485
mvtec_bottle_v1_k2,bottle-broken_small-001,1,1.569,0.73,0.8394,0.3018,0.2666
mvtec_bottle_v1_k2,bottle-broken_small-002,1,1.801,0.8315,0.969,0.2751,0.2617
mvtec_bottle_v1_k2,bottle-broken_small-003,1,1.742,0.7915,0.9507,0.2788,0.2786
mvtec_bottle_v1_k2,bottle-broken_small-004,1,1.662,0.7495,0.9126,0.2864,0.2646
mvtec_bottle_v1_k2,bottle-broken_small-005,1,1.739,0.7773,0.962,0.2766,0.2615
mvtec_bottle_v1_k2,bottle-broken_small-006,1,1.63,0.7095,0.9204,0.285,0.266
mvtec_bottle_v1_k2,bottle-broken_small-007,1,1.732,0.769,0.9634,0.2761,0.256
mvtec_bottle_v1_k2,bottle-broken_small-008,1,1.673,0.7476,0.9253,0.284,0.2705
mvtec_bottle_v1_k2,bottle-broken_small-009,1,1.704,0.8115,0.8926,0.2905,0.2622
mvtec_bottle_v1_k2,bottle-broken_small-010,1,1.766,0.8613,0.9043,0.288,0.2708
mvtec_bottle_v1_k2,bottle-broken_small-011,1,1.732,0.7524,0.98,0.273,0.256
mvtec_bottle_v1_k2,bottle-broken_small-012,1,1.738,0.797,0.9414,0.2805,0.2834
mvtec_bottle_v1_k2,bottle-broken_small-013,1,1.68,0.7056,0.974,0.2742,0.2676
mvtec_bottle_v1_k2,bottle-broken_small-014,1,1.817,0.8037,1.014,0.2664,0.249
mvtec_bottle_v1_k2,bottle-broken_small-015,1,1.701,0.761,0.94,0.281,0.2693
mvtec_bottle_v1_k2,bottle-broken_small-016,1,1.559,0.706,0.8525,0.2988,0.2603
mvtec_bottle_v1_k2,bottle-broken_small-017,1,1.881,0.915,0.966,0.2756,0.2622
mvtec_bottle_v1_k2,bottle-broken_small-018,1,1.669,0.8105,0.8584,0.2976,0.275
mvtec_bottle_v1_k2,bottle-broken_small-019,1,1.79,0.8794,0.9106,0.2869,0.264
mvtec_bottle_v1_k2,bottle-broken_small-020,1,1.744,0.857,0.887,0.2917,0.2725
mvtec_bottle_v1_k2,bottle-broken_small-021,1,1.778,0.8774,0.901,0.2888,0.265
