class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
mvtec_cable_v2_k2,cable-missing_wire-000,1,2.117,-1.798,3.914,0.01955,0.1804
mvtec_cable_v2_k2,cable-missing_wire-001,1,2.09,-1.868,3.957,0.01874,0.1757
mvtec_cable_v2_k2,cable-missing_wire-002,1,2.297,-1.907,4.203,0.01472,0.1687
mvtec_cable_v2_k2,cable-missing_wire-003,1,2.107,-1.762,3.87,0.02045,0.1997
mvtec_cable_v2_k2,cable-missing_wire-004,1,2.178,-1.729,3.906,0.01971,0.1869
mvtec_cable_v2_k2,cable-missing_wire-005,1,2.197,-1.919,4.117,0.01604,0.1749
mvtec_cable_v2_k2,cable-missing_wire-006,1,2.146,-1.787,3.934,0.0192,0.1799
mvtec_cable_v2_k2,cable-missing_wire-007,1,2.246,-1.871,4.117,0.01602,0.1787
mvtec_cable_v2_k2,cable-missing_wire-008,1,2.143,-1.891,4.03,0.01741,0.1765
mvtec_cable_v2_k2,cable-missing_wire-009,1,2.09,-1.78,3.871,0.02043,0.1794
mvtec_cable_v2_k2,cable-poke_insulation-000,1,2.244,-1.834,4.08,0.01666,0.18
mvtec_cable_v2_k2,cable-poke_insulation-001,1,2.191,-1.864,4.055,0.01703,0.1914
mvtec_cable_v2_k2,cable-poke_insulation-002,1,2.229,-1.921,4.15,0.015526,0.1838
mvtec_cable_v2_k2,cable-poke_insulation-003,1,2.168,-1.745,3.914,0.01959,0.1875
mvtec_cable_v2_k2,cable-poke_insulation-004,1,2.238,-1.961,4.2,0.014786,0.1824
mvtec_cable_v2_k2,cable-poke_insulation-005,1,2.166,-1.897,4.062,0.01689,0.1844
mvtec_cable_v2_k2,cable-poke_insulation-006,1,2.303,-1.848,4.15,0.01551,0.1842
mvtec_cable_v2_k2,cable-poke_insulation-007,1,2.178,-1.751,3.93,0.01929,0.186
mvtec_cable_v2_k2,cable-poke_insulation-008,1,2.322,-1.898,4.22,0.01447,0.1921
mvtec_cable_v2_k2,cable-poke_insulation-009,1,2.219,-1.841,4.06,0.01697,0.196
