class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
mvtec_capsule_v2_k2,capsule-squeeze-000,1,1.7,1.059,0.6416,0.345,0.272
mvtec_capsule_v2_k2,capsule-squeeze-001,1,1.58,1.008,0.5723,0.3606,0.2854
mvtec_capsule_v2_k2,capsule-squeeze-002,1,1.61,0.963,0.6475,0.3435,0.274
mvtec_capsule_v2_k2,capsule-squeeze-003,1,1.615,0.9404,0.675,0.3374,0.271
mvtec_capsule_v2_k2,capsule-squeeze-004,1,1.639,1.035,0.6035,0.3535,0.2727
mvtec_capsule_v2_k2,capsule-squeeze-005,1,1.6,0.9966,0.603,0.3538,0.2725
mvtec_capsule_v2_k2,capsule-squeeze-006,1,1.672,1.052,0.62,0.3499,0.2747
mvtec_capsule_v2_k2,capsule-squeeze-007,1,1.621,1.139,0.4824,0.3816,0.2854
mvtec_capsule_v2_k2,capsule-squeeze-008,1,1.601,0.9746,0.626,0.3484,0.2717
mvtec_capsule_v2_k2,capsule-squeeze-009,1,1.521,1.054,0.4678,0.3853,0.2793
mvtec_capsule_v2_k2,capsule-squeeze-010,1,1.604,0.9443,0.659,0.3408,0.2769
mvtec_capsule_v2_k2,capsule-squeeze-011,1,1.655,1.055,0.6006,0.3542,0.2754
mvtec_capsule_v2_k2,capsule-squeeze-012,1,1.586,1.055,0.5312,0.37,0.2732
mvtec_capsule_v2_k2,capsule-squeeze-013,1,1.525,0.966,0.5596,0.3635,0.2766
mvtec_capsule_v2_k2,capsule-squeeze-014,1,1.62,1.087,0.533,0.3699,0.2834
mvtec_capsule_v2_k2,capsule-squeeze-015,1,1.639,1.031,0.6074,0.3525,0.277
mvtec_capsule_v2_k2,capsule-squeeze-016,1,1.658,1.102,0.5566,0.3643,0.273
mvtec_capsule_v2_k2,capsule-squeeze-017,1,1.594,0.921,0.673,0.338,0.2722
mvtec_capsule_v2_k2,capsule-squeeze-018,1,1.687,1.052,0.635,0.3464,0.2717
mvtec_capsule_v2_k2,capsule-squeeze-019,1,1.612,0.9243,0.688,0.3345,0.2698
mvtec_capsule_v2_k2,capsule-scratch-000,1,1.688,1.105,0.583,0.3582,0.2708
mvtec_capsule_v2_k2,capsule-scratch-001,1,1.64,0.9585,0.681,0.336,0.2717
mvtec_capsule_v2_k2,capsule-scratch-002,1,1.5625,1.035,0.5273,0.371,0.2698
mvtec_capsule_v2_k2,capsule-scratch-003,1,1.564,0.97,0.594,0.3557,0.2708
mvtec_capsule_v2_k2,capsule-scratch-004,1,1.614,1.03,0.584,0.358,0.2686
mvtec_capsule_v2_k2,capsule-scratch-005,1,1.638,0.9736,0.664,0.3398,0.2634
mvtec_capsule_v2_k2,capsule-scratch-006,1,1.652,1.016,0.6367,0.346,0.265
mvtec_capsule_v2_k2,capsule-scratch-007,1,1.609,1.025,0.584,0.358,0.27
mvtec_capsule_v2_k2,capsule-scratch-008,1,1.671,1.001,0.67,0.3386,0.2698
mvtec_capsule_v2_k2,capsule-scratch-009,1,1.63,1.069,0.5605,0.3635,0.27
mvtec_capsule_v2_k2,capsule-scratch-010,1,1.658,0.9614,0.697,0.3325,0.269
mvtec_capsule_v2_k2,capsule-scratch-011,1,1.663,0.9653,0.6978,0.3323,0.2659
mvtec_capsule_v2_k2,capsule-scratch-012,1,1.666,1.121,0.545,0.367,0.2659
mvtec_capsule_v2_k2,capsule-scratch-013,1,1.649,1.086,0.5635,0.3628,0.2678
mvtec_capsule_v2_k2,capsule-scratch-014,1,1.729,1.077,0.6514,0.3428,0.264
mvtec_capsule_v2_k2,capsule-scratch-015,1,1.647,1.077,0.5703,0.361,0.2717
mvtec_capsule_v2_k2,capsule-scratch-016,1,1.684,1.055,0.629,0.3477,0.268
mvtec_capsule_v2_k2,capsule-scratch-017,1,1.606,0.919,0.6875,0.3345,0.269
mvtec_capsule_v2_k2,capsule-scratch-018,1,1.602,1.047,0.5547,0.3647,0.274
mvtec_capsule_v2_k2,capsule-scratch-019,1,1.664,0.9805,0.6836,0.3354,0.2668
mvtec_capsule_v2_k2,capsule-scratch-020,1,1.663,0.9976,0.6655,0.3396,0.2737
mvtec_capsule_v2_k2,capsule-scratch-021,1,1.644,1.053,0.591,0.3564,0.2688
mvtec_capsule_v2_k2,capsule-scratch-022,1,1.6,0.9966,0.603,0.3538,0.2668
mvtec_capsule_v2_k2,capsule-good-019,0,1.59,1.02,0.5703,0.361,0.2715
mvtec_capsule_v2_k2,capsule-good-002,0,1.542,0.9893,0.5527,0.3652,0.2683
mvtec_capsule_v2_k2,capsule-good-005,0,1.635,0.9404,0.6943,0.333,0.2668
mvtec_capsule_v2_k2,capsule-good-016,0,1.64,0.958,0.6816,0.336,0.2644
mvtec_capsule_v2_k2,capsule-good-015,0,1.651,0.973,0.678,0.3367,0.2625
mvtec_capsule_v2_k2,capsule-good-017,0,1.592,0.9336,0.658,0.341,0.265
mvtec_capsule_v2_k2,capsule-good-014,0,1.618,1.054,0.5645,0.3625,0.2686
mvtec_capsule_v2_k2,capsule-good-011,0,1.662,0.9805,0.6816,0.336,0.268
mvtec_capsule_v2_k2,capsule-good-012,0,1.656,1.05,0.6064,0.3528,0.2673
mvtec_capsule_v2_k2,capsule-good-013,0,1.613,0.9517,0.6616,0.3403,0.2659
mvtec_capsule_v2_k2,capsule-good-004,0,1.617,0.9443,0.673,0.338,0.2634
mvtec_capsule_v2_k2,capsule-good-008,0,1.624,0.9414,0.6826,0.3357,0.263
mvtec_capsule_v2_k2,capsule-good-020,0,1.561,1.001,0.5596,0.3635,0.269
mvtec_capsule_v2_k2,capsule-good-009,0,1.62,0.955,0.665,0.3396,0.2666
mvtec_capsule_v2_k2,capsule-good-007,0,1.644,1.073,0.5703,0.361,0.2712
mvtec_capsule_v2_k2,capsule-good-022,0,1.643,1.037,0.6055,0.353,0.2642
mvtec_capsule_v2_k2,capsule-good-001,0,1.618,0.924,0.6943,0.333,0.2625
mvtec_capsule_v2_k2,capsule-good-018,0,1.644,0.9453,0.698,0.3323,0.2656
mvtec_capsule_v2_k2,capsule-good-000,0,1.649,0.97,0.679,0.3364,0.2659
mvtec_capsule_v2_k2,capsule-good-010,0,1.613,0.9263,0.687,0.3347,0.2666
