class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
mvtec_carpet_v2_k2,carpet-color-000,1,2.004,-0.02057,2.025,0.11664,0.1715
mvtec_carpet_v2_k2,carpet-color-001,1,2.205,-0.1426,2.348,0.0873,0.1571
mvtec_carpet_v2_k2,carpet-color-002,1,2.172,-0.1048,2.277,0.0931,0.1619
mvtec_carpet_v2_k2,carpet-color-003,1,2.156,-0.07654,2.232,0.09686,0.1586
mvtec_carpet_v2_k2,carpet-color-004,1,2.15,-0.11664,2.268,0.0939,0.1608
mvtec_carpet_v2_k2,carpet-color-005,1,2.242,-0.09796,2.34,0.0878,0.1605
mvtec_carpet_v2_k2,carpet-color-006,1,2.156,-0.10785,2.264,0.0941,0.1561
mvtec_carpet_v2_k2,carpet-color-007,1,2.137,-0.08215,2.219,0.0981,0.1582
mvtec_carpet_v2_k2,carpet-color-008,1,1.926,0.08606,1.84,0.1371,0.1753
mvtec_carpet_v2_k2,carpet-color-009,1,2.158,-0.02058,2.18,0.1017,0.1711
mvtec_carpet_v2_k2,carpet-color-010,1,2.252,-0.1951,2.447,0.07965,0.1575
mvtec_carpet_v2_k2,carpet-color-011,1,2.225,-0.1066,2.332,0.08856,0.1528
mvtec_carpet_v2_k2,carpet-color-012,1,2.205,-0.05316,2.258,0.09467,0.1534
mvtec_carpet_v2_k2,carpet-color-013,1,2.219,-0.0706,2.29,0.092,0.1534
mvtec_carpet_v2_k2,carpet-color-014,1,2.25,-0.174,2.424,0.08136,0.15
mvtec_carpet_v2_k2,carpet-color-015,1,2.264,-0.00315,2.268,0.09393,0.1573
mvtec_carpet_v2_k2,carpet-color-016,1,2.285,-0.10065,2.387,0.0843,0.1652
mvtec_carpet_v2_k2,carpet-color-017,1,2.266,-0.1661,2.432,0.0808,0.1593
mvtec_carpet_v2_k2,carpet-color-018,1,2.219,0.05377,2.164,0.10297,0.1603
mvtec_carpet_v2_k2,carpet-metal_contamination-000,1,2.336,-0.1978,2.533,0.07355,0.1417
mvtec_carpet_v2_k2,carpet-metal_contamination-001,1,2.285,-0.1483,2.434,0.0806,0.1492
mvtec_carpet_v2_k2,carpet-metal_contamination-002,1,2.299,-0.1528,2.451,0.07935,0.1515
mvtec_carpet_v2_k2,carpet-metal_contamination-003,1,2.275,-0.2183,2.494,0.0763,0.1454
mvtec_carpet_v2_k2,carpet-metal_contamination-004,1,2.213,-0.1383,2.352,0.087,0.156
mvtec_carpet_v2_k2,carpet-metal_contamination-005,1,2.35,-0.0844,2.434,0.0806,0.1517
mvtec_carpet_v2_k2,carpet-metal_contamination-006,1,2.258,-0.08984,2.348,0.0873,0.1526
mvtec_carpet_v2_k2,carpet-metal_contamination-007,1,2.3,-0.1678,2.469,0.07806,0.1521
mvtec_carpet_v2_k2,carpet-metal_contamination-008,1,2.236,-0.2065,2.443,0.07996,0.1533
mvtec_carpet_v2_k2,carpet-metal_contamination-009,1,2.23,-0.1493,2.379,0.0847,0.157
mvtec_carpet_v2_k2,carpet-metal_contamination-010,1,2.19,-0.1788,2.37,0.08563,0.1532
mvtec_carpet_v2_k2,carpet-metal_contamination-011,1,2.328,-0.1754,2.504,0.0756,0.1471
mvtec_carpet_v2_k2,carpet-metal_contamination-012,1,2.213,-0.0444,2.258,0.0947,0.1622
mvtec_carpet_v2_k2,carpet-metal_contamination-013,1,2.268,-0.1348,2.402,0.083,0.1539
mvtec_carpet_v2_k2,carpet-metal_contamination-014,1,2.307,-0.2025,2.51,0.0752,0.1483
mvtec_carpet_v2_k2,carpet-metal_contamination-015,1,2.254,-0.04926,2.303,0.0909,0.1577
mvtec_carpet_v2_k2,carpet-metal_contamination-016,1,2.318,-0.1531,2.47,0.0779,0.1533
mvtec_carpet_v2_k2,carpet-hole-000,1,2.172,-0.2018,2.373,0.0852,0.1648
mvtec_carpet_v2_k2,carpet-hole-001,1,2.28,-0.1945,2.475,0.0777,0.1471
