class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
mvtec_grid_v1_k2,grid-broken-000,1,1.459,1.014,0.4453,0.3904,0.2766
mvtec_grid_v1_k2,grid-broken-001,1,1.485,1.054,0.4316,0.3938,0.2695
mvtec_grid_v1_k2,grid-broken-002,1,1.6,1.195,0.4043,0.4004,0.2603
mvtec_grid_v1_k2,grid-broken-003,1,1.753,1.376,0.377,0.407,0.276
mvtec_grid_v1_k2,grid-broken-004,1,1.6045,1.275,0.329,0.4185,0.2798
mvtec_grid_v1_k2,grid-broken-005,1,1.706,1.278,0.4277,0.3948,0.2827
mvtec_grid_v1_k2,grid-broken-006,1,1.644,1.237,0.4062,0.4,0.274
mvtec_grid_v1_k2,grid-broken-007,1,1.588,1.178,0.4102,0.399,0.2725
mvtec_grid_v1_k2,grid-broken-008,1,1.608,1.14,0.4688,0.385,0.272
mvtec_grid_v1_k2,grid-broken-009,1,1.658,1.281,0.377,0.407,0.2786
mvtec_grid_v1_k2,grid-broken-010,1,1.602,1.127,0.4746,0.3835,0.262
mvtec_grid_v1_k2,grid-broken-011,1,1.666,1.229,0.4375,0.3923,0.2515
mvtec_grid_v1_k2,grid-metal_contamination-000,1,1.64,1.134,0.506,0.3762,0.21
mvtec_grid_v1_k2,grid-metal_contamination-001,1,1.536,1.028,0.508,0.3757,0.2358
mvtec_grid_v1_k2,grid-metal_contamination-002,1,1.667,1.265,0.4023,0.4006,0.2632
mvtec_grid_v1_k2,grid-metal_contamination-003,1,1.587,1.119,0.4678,0.3853,0.2323
mvtec_grid_v1_k2,grid-metal_contamination-004,1,1.448,0.967,0.4814,0.3818,0.2625
mvtec_grid_v1_k2,grid-metal_contamination-005,1,1.66,1.246,0.414,0.398,0.2546
mvtec_grid_v1_k2,grid-metal_contamination-006,1,1.623,1.195,0.4277,0.3948,0.2734
mvtec_grid_v1_k2,grid-metal_contamination-007,1,1.68,1.217,0.463,0.3862,0.2695
mvtec_grid_v1_k2,grid-metal_contamination-008,1,1.641,1.201,0.4395,0.3918,0.2297
mvtec_grid_v1_k2,grid-metal_contamination-009,1,1.632,1.075,0.5566,0.3643,0.2578
mvtec_grid_v1_k2,grid-metal_contamination-010,1,1.645,1.096,0.549,0.3662,0.258
mvtec_grid_v1_k2,grid-good-019,0,1.491,0.923,0.5684,0.3616,0.274
mvtec_grid_v1_k2,grid-good-002,0,1.606,1.036,0.5703,0.361,0.262
mvtec_grid_v1_k2,grid-good-005,0,1.578,1.076,0.502,0.3772,0.287
mvtec_grid_v1_k2,grid-good-016,0,1.677,1.07,0.6064,0.3528,0.2262
mvtec_grid_v1_k2,grid-good-015,0,1.52,0.9478,0.572,0.3608,0.2878
mvtec_grid_v1_k2,grid-good-017,0,1.539,1.002,0.537,0.369,0.283
mvtec_grid_v1_k2,grid-good-014,0,1.513,0.936,0.5767,0.3596,0.266
mvtec_grid_v1_k2,grid-good-011,0,1.576,1.0205,0.5557,0.3645,0.273
mvtec_grid_v1_k2,grid-good-012,0,1.439,0.845,0.594,0.3557,0.2717
mvtec_grid_v1_k2,grid-good-013,0,1.636,1.063,0.5723,0.3606,0.2566
mvtec_grid_v1_k2,grid-good-004,0,1.48,0.9346,0.546,0.3667,0.3074
mvtec_grid_v1_k2,grid-good-008,0,1.641,1.046,0.5947,0.3555,0.2206
mvtec_grid_v1_k2,grid-good-020,0,1.542,0.974,0.568,0.3618,0.3066
mvtec_grid_v1_k2,grid-good-009,0,1.474,0.8525,0.621,0.3496,0.2634
mvtec_grid_v1_k2,grid-good-007,0,1.502,0.9233,0.5786,0.3591,0.2676
mvtec_grid_v1_k2,grid-good-001,0,1.653,1.065,0.588,0.3572,0.2776
mvtec_grid_v1_k2,grid-good-018,0,1.487,0.964,0.5234,0.372,0.2363
mvtec_grid_v1_k2,grid-good-000,0,1.621,1.012,0.6094,0.3523,0.27
mvtec_grid_v1_k2,grid-good-010,0,1.405,0.868,0.537,0.369,0.2842
mvtec_grid_v1_k2,grid-good-003,0,1.678,1.066,0.6113,0.3518,0.2637
mvtec_grid_v1_k2,grid-good-006,0,1.565,1.02,0.546,0.3667,0.2864
mvtec_grid_v1_k2,grid-bent-000,1,1.445,0.981,0.4644,0.386,0.2803
mvtec_grid_v1_k2,grid-bent-001,1,1.743,1.26,0.4834,0.3813,0.2246
mvtec_grid_v1_k2,grid-bent-002,1,1.733,1.238,0.495,0.3787,0.2563
mvtec_grid_v1_k2,grid-bent-003,1,1.729,1.337,0.3916,0.4033,0.2778
mvtec_grid_v1_k2,grid-bent-004,1,1.738,1.313,0.4248,0.3953,0.2764
mvtec_grid_v1_k2,grid-bent-005,1,1.658,1.151,0.507,0.376,0.2632
mvtec_grid_v1_k2,grid-bent-006,1,1.713,1.307,0.4062,0.4,0.2808
mvtec_grid_v1_k2,grid-bent-007,1,1.584,1.08,0.504,0.3767,0.266
mvtec_grid_v1_k2,grid-bent-008,1,1.732,1.191,0.541,0.368,0.2119
mvtec_grid_v1_k2,grid-bent-009,1,1.777,1.375,0.4023,0.4006,0.2695
mvtec_grid_v1_k2,grid-bent-010,1,1.695,1.233,0.462,0.3865,0.2603
mvtec_grid_v1_k2,grid-bent-011,1,1.681,1.286,0.3945,0.4026,0.2786
mvtec_grid_v1_k2,grid-glue-000,1,1.589,1.085,0.504,0.3767,0.2747
mvtec_grid_v1_k2,grid-glue-001,1,1.652,1.157,0.495,0.3787,0.2876
mvtec_grid_v1_k2,grid-glue-002,1,1.754,1.346,0.4082,0.3994,0.2747
mvtec_grid_v1_k2,grid-glue-003,1,1.752,1.211,0.541,0.368,0.2391
mvtec_grid_v1_k2,grid-glue-004,1,1.583,1.159,0.4238,0.3955,0.29
mvtec_grid_v1_k2,grid-glue-005,1,1.444,1.073,0.371,0.4082,0.3096
mvtec_grid_v1_k2,grid-glue-006,1,1.599,1.155,0.4434,0.3909,0.2908
mvtec_grid_v1_k2,grid-glue-007,1,1.761,1.258,0.503,0.377,0.2769
mvtec_grid_v1_k2,grid-glue-008,1,1.774,1.242,0.532,0.37,0.26
mvtec_grid_v1_k2,grid-glue-009,1,1.523,1.105,0.418,0.397,0.3103
mvtec_grid_v1_k2,grid-glue-010,1,1.675,1.235,0.4395,0.3918,0.2805
mvtec_grid_v1_k2,grid-thread-000,1,1.583,1.047,0.536,0.3691,0.2698
mvtec_grid_v1_k2,grid-thread-001,1,1.532,1.064,0.4678,0.3853,0.2211
mvtec_grid_v1_k2,grid-thread-002,1,1.768,1.273,0.4941,0.379,0.2751
mvtec_grid_v1_k2,grid-thread-003,1,1.627,1.177,0.4502,0.3894,0.2861
mvtec_grid_v1_k2,grid-thread-004,1,1.417,1.072,0.3447,0.4146,0.289
mvtec_grid_v1_k2,grid-thread-005,1,1.48,1.143,0.338,0.4163,0.2583
mvtec_grid_v1_k2,grid-thread-006,1,1.553,1.161,0.3916,0.4033,0.2825
mvtec_grid_v1_k2,grid-thread-007,1,1.844,1.433,0.4111,0.3987,0.2673
mvtec_grid_v1_k2,grid-thread-008,1,1.707,1.308,0.3994,0.4014,0.252
mvtec_grid_v1_k2,grid-thread-009,1,1.695,1.278,0.417,0.3972,0.2927
mvtec_grid_v1_k2,grid-thread-010,1,1.439,0.993,0.4463,0.3901,0.2976
