class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
mvtec_hazelnut_v1_k2,hazelnut-print-000,1,1.146,0.974,0.1724,0.457,0.324
mvtec_hazelnut_v1_k2,hazelnut-print-001,1,1.133,0.8335,0.2993,0.4258,0.3225
mvtec_hazelnut_v1_k2,hazelnut-print-002,1,1.185,0.9473,0.2373,0.441,0.3225
mvtec_hazelnut_v1_k2,hazelnut-print-003,1,1.042,0.901,0.1411,0.4648,0.3179
mvtec_hazelnut_v1_k2,hazelnut-print-004,1,1.107,0.9067,0.2007,0.45,0.3276
mvtec_hazelnut_v1_k2,hazelnut-print-005,1,1.233,0.9746,0.2588,0.4355,0.319
mvtec_hazelnut_v1_k2,hazelnut-print-006,1,0.949,0.825,0.124,0.469,0.33
mvtec_hazelnut_v1_k2,hazelnut-print-007,1,0.9385,0.8433,0.0952,0.4763,0.3296
mvtec_hazelnut_v1_k2,hazelnut-print-008,1,0.9297,0.649,0.2808,0.4302,0.3218
mvtec_hazelnut_v1_k2,hazelnut-print-009,1,0.984,0.8296,0.1543,0.4614,0.3154
mvtec_hazelnut_v1_k2,hazelnut-print-010,1,1.095,0.9385,0.1562,0.461,0.331
mvtec_hazelnut_v1_k2,hazelnut-print-011,1,0.9277,0.8647,0.063,0.4844,0.3286
mvtec_hazelnut_v1_k2,hazelnut-print-012,1,1.199,1.081,0.11816,0.4705,0.3357
mvtec_hazelnut_v1_k2,hazelnut-print-013,1,1.181,0.8735,0.3071,0.4238,0.312
mvtec_hazelnut_v1_k2,hazelnut-print-014,1,1.109,0.904,0.2056,0.4487,0.3179
mvtec_hazelnut_v1_k2,hazelnut-print-015,1,1.071,0.8486,0.2227,0.4446,0.3142
mvtec_hazelnut_v1_k2,hazelnut-print-016,1,1.102,0.947,0.1548,0.4614,0.3289
mvtec_hazelnut_v1_k2,hazelnut-hole-000,1,1.033,0.9697,0.0635,0.4841,0.3293
mvtec_hazelnut_v1_k2,hazelnut-hole-001,1,1.077,0.929,0.148,0.4631,0.3247
mvtec_hazelnut_v1_k2,hazelnut-hole-002,1,0.9556,0.7974,0.1582,0.4604,0.321
