class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
mvtec_metal_nut_v1_k2,metal_nut-color-000,1,1.95,0.766,1.184,0.2344,0.2805
mvtec_metal_nut_v1_k2,metal_nut-color-001,1,1.77,0.6,1.17,0.2369,0.3015
mvtec_metal_nut_v1_k2,metal_nut-color-002,1,1.6455,0.5923,1.053,0.2585,0.3042
mvtec_metal_nut_v1_k2,metal_nut-color-003,1,1.615,0.607,1.008,0.2673,0.314
mvtec_metal_nut_v1_k2,metal_nut-color-004,1,1.791,0.717,1.074,0.2546,0.2903
mvtec_metal_nut_v1_k2,metal_nut-color-005,1,1.747,0.7,1.047,0.2598,0.2869
mvtec_metal_nut_v1_k2,metal_nut-color-006,1,1.812,0.6606,1.15,0.2404,0.3062
mvtec_metal_nut_v1_k2,metal_nut-color-007,1,1.829,0.6514,1.178,0.2355,0.3005
mvtec_metal_nut_v1_k2,metal_nut-color-008,1,1.685,0.673,1.012,0.2666,0.303
mvtec_metal_nut_v1_k2,metal_nut-color-009,1,1.858,0.779,1.08,0.2537,0.294
mvtec_metal_nut_v1_k2,metal_nut-color-010,1,1.88,0.763,1.117,0.2466,0.3022
mvtec_metal_nut_v1_k2,metal_nut-color-011,1,1.828,0.7627,1.065,0.2563,0.2942
mvtec_metal_nut_v1_k2,metal_nut-color-012,1,1.747,0.7417,1.006,0.2678,0.3103
mvtec_metal_nut_v1_k2,metal_nut-color-013,1,1.706,0.631,1.075,0.2544,0.296
mvtec_metal_nut_v1_k2,metal_nut-color-014,1,1.769,0.676,1.093,0.251,0.308
mvtec_metal_nut_v1_k2,metal_nut-color-015,1,1.824,0.688,1.137,0.243,0.2876
mvtec_metal_nut_v1_k2,metal_nut-color-016,1,1.811,0.6724,1.139,0.2427,0.3052
mvtec_metal_nut_v1_k2,metal_nut-color-017,1,1.85,0.8086,1.041,0.261,0.3066
mvtec_metal_nut_v1_k2,metal_nut-color-018,1,1.72,0.587,1.133,0.2437,0.2832
mvtec_metal_nut_v1_k2,metal_nut-color-019,1,1.722,0.657,1.064,0.2563,0.3005
mvtec_metal_nut_v1_k2,metal_nut-color-020,1,1.726,0.636,1.09,0.2517,0.298
mvtec_metal_nut_v1_k2,metal_nut-color-021,1,1.861,0.7666,1.095,0.2507,0.2903
mvtec_metal_nut_v1_k2,metal_nut-scratch-000,1,1.883,0.765,1.117,0.2465,0.299
mvtec_metal_nut_v1_k2,metal_nut-scratch-001,1,1.837,0.6772,1.16,0.2388,0.3037
mvtec_metal_nut_v1_k2,metal_nut-scratch-002,1,1.829,0.7153,1.113,0.2472,0.3013
mvtec_metal_nut_v1_k2,metal_nut-scratch-003,1,1.833,0.675,1.158,0.239,0.3054
mvtec_metal_nut_v1_k2,metal_nut-scratch-004,1,1.689,0.5728,1.117,0.2466,0.2944
mvtec_metal_nut_v1_k2,metal_nut-scratch-005,1,1.701,0.5547,1.146,0.2411,0.3054
mvtec_metal_nut_v1_k2,metal_nut-scratch-006,1,1.847,0.7544,1.092,0.2512,0.3108
mvtec_metal_nut_v1_k2,metal_nut-scratch-007,1,1.782,0.726,1.057,0.258,0.3108
mvtec_metal_nut_v1_k2,metal_nut-scratch-008,1,1.672,0.6807,0.991,0.2708,0.313
mvtec_metal_nut_v1_k2,metal_nut-scratch-009,1,1.722,0.655,1.066,0.256,0.3076
mvtec_metal_nut_v1_k2,metal_nut-scratch-010,1,1.788,0.7397,1.049,0.2595,0.3157
mvtec_metal_nut_v1_k2,metal_nut-scratch-011,1,1.752,0.733,1.02,0.2651,0.3115
mvtec_metal_nut_v1_k2,metal_nut-scratch-012,1,1.695,0.5947,1.101,0.2496,0.2976
mvtec_metal_nut_v1_k2,metal_nut-scratch-013,1,1.803,0.6787,1.124,0.2452,0.296
mvtec_metal_nut_v1_k2,metal_nut-scratch-014,1,1.899,0.8228,1.076,0.2542,0.3022
mvtec_metal_nut_v1_k2,metal_nut-scratch-015,1,1.686,0.53,1.156,0.2394,0.31
mvtec_metal_nut_v1_k2,metal_nut-scratch-016,1,1.754,0.598,1.156,0.2394,0.3047
mvtec_metal_nut_v1_k2,metal_nut-scratch-017,1,1.796,0.75,1.046,0.26,0.3044
mvtec_metal_nut_v1_k2,metal_nut-scratch-018,1,1.826,0.7964,1.029,0.2632,0.2961
mvtec_metal_nut_v1_k2,metal_nut-scratch-019,1,1.761,0.618,1.143,0.2418,0.3054
mvtec_metal_nut_v1_k2,metal_nut-scratch-020,1,1.84,0.667,1.173,0.2363,0.2925
mvtec_metal_nut_v1_k2,metal_nut-scratch-021,1,1.683,0.574,1.108,0.2482,0.3042
mvtec_metal_nut_v1_k2,metal_nut-scratch-022,1,1.826,0.7144,1.111,0.2476,0.2993
mvtec_metal_nut_v1_k2,metal_nut-good-019,0,1.836,0.6665,1.17,0.2369,0.2778
mvtec_metal_nut_v1_k2,metal_nut-good-002,0,1.776,0.6084,1.168,0.2372,0.3037
mvtec_metal_nut_v1_k2,metal_nut-good-005,0,1.869,0.6963,1.173,0.2363,0.2983
mvtec_metal_nut_v1_k2,metal_nut-good-016,0,1.796,0.662,1.134,0.2434,0.2957
mvtec_metal_nut_v1_k2,metal_nut-good-015,0,1.86,0.7373,1.123,0.2455,0.3
mvtec_metal_nut_v1_k2,metal_nut-good-017,0,1.826,0.6675,1.158,0.2389,0.2905
mvtec_metal_nut_v1_k2,metal_nut-good-014,0,1.934,0.8066,1.127,0.2448,0.283
mvtec_metal_nut_v1_k2,metal_nut-good-011,0,1.907,0.763,1.145,0.2416,0.2856
mvtec_metal_nut_v1_k2,metal_nut-good-012,0,1.872,0.7134,1.158,0.2389,0.3008
mvtec_metal_nut_v1_k2,metal_nut-good-013,0,1.809,0.592,1.217,0.2285,0.2856
mvtec_metal_nut_v1_k2,metal_nut-good-004,0,1.872,0.717,1.155,0.2395,0.2776
mvtec_metal_nut_v1_k2,metal_nut-good-008,0,1.91,0.752,1.158,0.239,0.2842
mvtec_metal_nut_v1_k2,metal_nut-good-020,0,1.801,0.618,1.183,0.2346,0.2778
mvtec_metal_nut_v1_k2,metal_nut-good-009,0,1.892,0.684,1.207,0.2301,0.293
mvtec_metal_nut_v1_k2,metal_nut-good-007,0,1.913,0.7593,1.154,0.2397,0.2952
