class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
mvtec_pill_v2_k2,pill-color-000,1,2.01,0.7446,1.266,0.2201,0.272
mvtec_pill_v2_k2,pill-color-001,1,2.004,0.6904,1.313,0.2119,0.272
mvtec_pill_v2_k2,pill-color-002,1,2.11,0.7163,1.393,0.199,0.2615
mvtec_pill_v2_k2,pill-color-003,1,2.016,0.6816,1.334,0.2085,0.2727
mvtec_pill_v2_k2,pill-color-004,1,1.948,0.6665,1.281,0.2173,0.274
mvtec_pill_v2_k2,pill-color-005,1,2.033,0.6577,1.375,0.2018,0.276
mvtec_pill_v2_k2,pill-color-006,1,1.993,0.7227,1.2705,0.2191,0.273
mvtec_pill_v2_k2,pill-color-007,1,1.986,0.707,1.279,0.2177,0.2734
mvtec_pill_v2_k2,pill-color-008,1,2.088,0.799,1.289,0.2161,0.2761
mvtec_pill_v2_k2,pill-color-009,1,2.17,0.7905,1.379,0.201,0.2688
mvtec_pill_v2_k2,pill-color-010,1,2.098,0.7036,1.395,0.1987,0.2698
mvtec_pill_v2_k2,pill-color-011,1,2.016,0.7715,1.244,0.2238,0.28
mvtec_pill_v2_k2,pill-color-012,1,2.008,0.713,1.295,0.215,0.2678
mvtec_pill_v2_k2,pill-color-013,1,1.992,0.699,1.293,0.2153,0.27
mvtec_pill_v2_k2,pill-color-014,1,1.966,0.7295,1.236,0.2251,0.2734
mvtec_pill_v2_k2,pill-color-015,1,2.08,0.7495,1.33,0.2091,0.2715
mvtec_pill_v2_k2,pill-color-016,1,1.986,0.735,1.252,0.2224,0.275
mvtec_pill_v2_k2,pill-color-017,1,2.035,0.7114,1.324,0.2102,0.2742
mvtec_pill_v2_k2,pill-color-018,1,2.035,0.774,1.262,0.2207,0.2695
mvtec_pill_v2_k2,pill-color-019,1,1.982,0.75,1.232,0.2257,0.2783
mvtec_pill_v2_k2,pill-color-020,1,2.025,0.6816,1.344,0.2069,0.274
mvtec_pill_v2_k2,pill-color-021,1,1.946,0.737,1.209,0.2297,0.283
mvtec_pill_v2_k2,pill-color-022,1,1.979,0.6943,1.284,0.2168,0.2769
mvtec_pill_v2_k2,pill-color-023,1,1.973,0.6675,1.305,0.2133,0.274
mvtec_pill_v2_k2,pill-color-024,1,2.006,0.7573,1.248,0.2229,0.2732
mvtec_pill_v2_k2,pill-scratch-000,1,2.045,0.7266,1.318,0.211,0.2693
mvtec_pill_v2_k2,pill-scratch-001,1,1.988,0.7188,1.27,0.2194,0.2673
mvtec_pill_v2_k2,pill-scratch-002,1,2.098,0.8315,1.266,0.22,0.2678
mvtec_pill_v2_k2,pill-scratch-003,1,2.002,0.752,1.25,0.2227,0.2705
mvtec_pill_v2_k2,pill-scratch-004,1,2.055,0.7515,1.303,0.2136,0.2742
mvtec_pill_v2_k2,pill-scratch-005,1,2.08,0.765,1.314,0.2117,0.2634
mvtec_pill_v2_k2,pill-scratch-006,1,2.035,0.75,1.285,0.2167,0.272
mvtec_pill_v2_k2,pill-scratch-007,1,2.084,0.7944,1.289,0.216,0.2756
mvtec_pill_v2_k2,pill-scratch-008,1,2.025,0.7954,1.23,0.2262,0.2737
mvtec_pill_v2_k2,pill-scratch-009,1,2.035,0.732,1.303,0.2136,0.2769
mvtec_pill_v2_k2,pill-scratch-010,1,1.94,0.7363,1.204,0.2307,0.274
mvtec_pill_v2_k2,pill-scratch-011,1,1.967,0.803,1.164,0.238,0.2742
mvtec_pill_v2_k2,pill-scratch-012,1,2.082,0.8003,1.281,0.2173,0.2668
