class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
mvtec_screw_v1_k2,screw-manipulated_front-000,1,0.5864,0.522,0.06445,0.484,0.3247
mvtec_screw_v1_k2,screw-manipulated_front-001,1,0.6055,0.5356,0.0698,0.4827,0.3315
mvtec_screw_v1_k2,screw-manipulated_front-002,1,0.6323,0.531,0.10156,0.4746,0.3152
mvtec_screw_v1_k2,screw-manipulated_front-003,1,0.615,0.582,0.0332,0.4917,0.3423
mvtec_screw_v1_k2,screw-manipulated_front-004,1,0.488,0.474,0.013916,0.4966,0.3308
mvtec_screw_v1_k2,screw-manipulated_front-005,1,0.601,0.491,0.1101,0.4724,0.3137
mvtec_screw_v1_k2,screw-manipulated_front-006,1,0.61,0.5444,0.0654,0.4836,0.324
mvtec_screw_v1_k2,screw-manipulated_front-007,1,0.566,0.573,-0.007324,0.502,0.337
mvtec_screw_v1_k2,screw-manipulated_front-008,1,0.492,0.3967,0.0952,0.4763,0.3274
mvtec_screw_v1_k2,screw-manipulated_front-009,1,0.6323,0.5767,0.05566,0.486,0.3276
mvtec_screw_v1_k2,screw-manipulated_front-010,1,0.633,0.529,0.104,0.474,0.3103
mvtec_screw_v1_k2,screw-manipulated_front-011,1,0.5737,0.5215,0.05225,0.487,0.3403
mvtec_screw_v1_k2,screw-manipulated_front-012,1,0.6655,0.517,0.1484,0.463,0.3147
mvtec_screw_v1_k2,screw-manipulated_front-013,1,0.615,0.5444,0.0708,0.4824,0.332
mvtec_screw_v1_k2,screw-manipulated_front-014,1,0.5513,0.4941,0.05713,0.4858,0.339
mvtec_screw_v1_k2,screw-manipulated_front-015,1,0.6084,0.575,0.0332,0.4917,0.3423
mvtec_screw_v1_k2,screw-manipulated_front-016,1,0.595,0.568,0.02734,0.4932,0.3145
mvtec_screw_v1_k2,screw-manipulated_front-017,1,0.562,0.51,0.05225,0.487,0.3418
mvtec_screw_v1_k2,screw-manipulated_front-018,1,0.5503,0.5493,0.000977,0.4998,0.3499
mvtec_screw_v1_k2,screw-manipulated_front-019,1,0.5737,0.499,0.0747,0.4814,0.3462
mvtec_screw_v1_k2,screw-manipulated_front-020,1,0.5923,0.5503,0.042,0.4895,0.3254
mvtec_screw_v1_k2,screw-manipulated_front-021,1,0.5483,0.514,0.03418,0.4915,0.3425
mvtec_screw_v1_k2,screw-manipulated_front-022,1,0.5347,0.476,0.0586,0.4854,0.3357
mvtec_screw_v1_k2,screw-manipulated_front-023,1,0.5547,0.5293,0.02539,0.4937,0.3425
mvtec_screw_v1_k2,screw-good-019,0,0.6533,0.4995,0.1538,0.4617,0.3167
mvtec_screw_v1_k2,screw-good-002,0,0.573,0.4568,0.11646,0.471,0.344
mvtec_screw_v1_k2,screw-good-034,0,0.55,0.4937,0.05615,0.486,0.34
mvtec_screw_v1_k2,screw-good-005,0,0.526,0.4958,0.03003,0.4924,0.3384
mvtec_screw_v1_k2,screw-good-025,0,0.623,0.531,0.0923,0.477,0.3296
mvtec_screw_v1_k2,screw-good-016,0,0.622,0.546,0.0762,0.481,0.342
mvtec_screw_v1_k2,screw-good-039,0,0.6055,0.477,0.1284,0.468,0.3022
mvtec_screw_v1_k2,screw-good-040,0,0.6323,0.523,0.1094,0.4727,0.3308
mvtec_screw_v1_k2,screw-good-015,0,0.5527,0.4792,0.0735,0.4817,0.3403
mvtec_screw_v1_k2,screw-good-017,0,0.5757,0.5127,0.063,0.4844,0.343
mvtec_screw_v1_k2,screw-good-031,0,0.6636,0.5156,0.148,0.4631,0.3113
mvtec_screw_v1_k2,screw-good-014,0,0.423,0.335,0.08813,0.478,0.3323
mvtec_screw_v1_k2,screw-good-037,0,0.613,0.566,0.04688,0.4883,0.3398
mvtec_screw_v1_k2,screw-good-035,0,0.5117,0.4832,0.02856,0.493,0.3335
mvtec_screw_v1_k2,screw-good-024,0,0.5845,0.4822,0.1023,0.4744,0.3455
mvtec_screw_v1_k2,screw-good-029,0,0.5503,0.4285,0.1218,0.4695,0.3315
mvtec_screw_v1_k2,screw-good-011,0,0.55,0.4548,0.095,0.4763,0.3489
mvtec_screw_v1_k2,screw-good-012,0,0.57,0.5283,0.0415,0.4897,0.3381
mvtec_screw_v1_k2,screw-good-013,0,0.6084,0.5537,0.0547,0.4863,0.3345
mvtec_screw_v1_k2,screw-good-004,0,0.5366,0.4683,0.06836,0.483,0.3296
mvtec_screw_v1_k2,screw-good-033,0,0.5923,0.5576,0.03467,0.4915,0.336
mvtec_screw_v1_k2,screw-good-008,0,0.6406,0.584,0.05664,0.4858,0.3137
mvtec_screw_v1_k2,screw-good-032,0,0.6016,0.532,0.06934,0.4827,0.3474
mvtec_screw_v1_k2,screw-good-020,0,0.5493,0.4844,0.06494,0.484,0.3457
mvtec_screw_v1_k2,screw-good-009,0,0.621,0.5054,0.1157,0.4712,0.331
mvtec_screw_v1_k2,screw-good-007,0,0.594,0.568,0.02637,0.4934,0.3342
mvtec_screw_v1_k2,screw-good-022,0,0.4683,0.425,0.0432,0.4893,0.3347
mvtec_screw_v1_k2,screw-good-023,0,0.4807,0.3462,0.1345,0.4663,0.3313
mvtec_screw_v1_k2,screw-good-027,0,0.614,0.555,0.0586,0.4854,0.3384
mvtec_screw_v1_k2,screw-good-001,0,0.5156,0.4722,0.04346,0.4893,0.3467
mvtec_screw_v1_k2,screw-good-038,0,0.689,0.6133,0.0757,0.4812,0.3228
mvtec_screw_v1_k2,screw-good-018,0,0.6367,0.4634,0.1733,0.4568,0.309
mvtec_screw_v1_k2,screw-good-028,0,0.613,0.5356,0.07715,0.4807,0.3433
mvtec_screw_v1_k2,screw-good-030,0,0.6074,0.5303,0.07715,0.4807,0.3345
mvtec_screw_v1_k2,screw-good-026,0,0.636,0.557,0.0791,0.4802,0.3113
mvtec_screw_v1_k2,screw-good-000,0,0.55,0.4807,0.0691,0.4827,0.3357
mvtec_screw_v1_k2,screw-good-010,0,0.683,0.5215,0.1616,0.4597,0.3008
mvtec_screw_v1_k2,screw-good-021,0,0.5728,0.534,0.03857,0.4905,0.3403
mvtec_screw_v1_k2,screw-good-003,0,0.56,0.544,0.01611,0.496,0.3364
mvtec_screw_v1_k2,screw-good-036,0,0.595,0.5435,0.05176,0.487,0.3433
mvtec_screw_v1_k2,screw-good-006,0,0.6177,0.538,0.0796,0.4802,0.3462
mvtec_screw_v1_k2,screw-thread_side-000,1,0.4072,0.3982,0.00903,0.4978,0.334
mvtec_screw_v1_k2,screw-thread_side-001,1,0.5483,0.5356,0.012695,0.4968,0.3474
mvtec_screw_v1_k2,screw-thread_side-002,1,0.6016,0.4746,0.127,0.4683,0.3135
mvtec_screw_v1_k2,screw-thread_side-003,1,0.575,0.4717,0.1035,0.474,0.3398
