class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
mvtec_tile_v1_k2,tile-oil-000,1,1.387,0.1398,1.247,0.2233,0.2474
mvtec_tile_v1_k2,tile-oil-001,1,1.395,0.1024,1.292,0.2155,0.247
mvtec_tile_v1_k2,tile-oil-002,1,1.595,0.1166,1.479,0.1857,0.2406
mvtec_tile_v1_k2,tile-oil-003,1,1.416,0.178,1.238,0.2247,0.2429
mvtec_tile_v1_k2,tile-oil-004,1,1.464,-0.02206,1.486,0.1846,0.2317
mvtec_tile_v1_k2,tile-oil-005,1,1.563,0.05673,1.507,0.1814,0.2319
mvtec_tile_v1_k2,tile-oil-006,1,1.648,0.0669,1.582,0.1705,0.2345
mvtec_tile_v1_k2,tile-oil-007,1,1.447,0.04874,1.398,0.198,0.236
mvtec_tile_v1_k2,tile-oil-008,1,1.519,-0.05496,1.573,0.1718,0.2285
mvtec_tile_v1_k2,tile-oil-009,1,1.504,0.2008,1.303,0.2136,0.2375
mvtec_tile_v1_k2,tile-oil-010,1,1.404,0.0734,1.331,0.209,0.2339
mvtec_tile_v1_k2,tile-oil-011,1,1.349,-0.00883,1.357,0.2047,0.2432
mvtec_tile_v1_k2,tile-oil-012,1,1.577,0.007835,1.569,0.1724,0.2395
mvtec_tile_v1_k2,tile-oil-013,1,1.35,0.1687,1.181,0.2349,0.2407
mvtec_tile_v1_k2,tile-oil-014,1,1.601,0.0635,1.537,0.177,0.2404
mvtec_tile_v1_k2,tile-oil-015,1,1.547,0.09424,1.453,0.1896,0.2452
mvtec_tile_v1_k2,tile-oil-016,1,1.799,0.04266,1.756,0.1472,0.2346
mvtec_tile_v1_k2,tile-oil-017,1,1.664,0.0781,1.586,0.1699,0.2456
mvtec_tile_v1_k2,tile-good-019,0,1.878,-0.4004,2.277,0.09296,0.191
mvtec_tile_v1_k2,tile-good-002,0,1.967,-0.473,2.44,0.0802,0.1831
mvtec_tile_v1_k2,tile-good-005,0,1.962,-0.4792,2.441,0.0801,0.1869
mvtec_tile_v1_k2,tile-good-025,0,2.031,-0.4382,2.469,0.078,0.1931
mvtec_tile_v1_k2,tile-good-016,0,2.031,-0.4849,2.516,0.0747,0.1888
mvtec_tile_v1_k2,tile-good-015,0,1.994,-0.453,2.447,0.07965,0.1877
mvtec_tile_v1_k2,tile-good-017,0,1.988,-0.4512,2.44,0.0802,0.193
mvtec_tile_v1_k2,tile-good-031,0,2.057,-0.508,2.564,0.0715,0.183
mvtec_tile_v1_k2,tile-good-014,0,1.968,-0.5024,2.47,0.078,0.1846
mvtec_tile_v1_k2,tile-good-024,0,2.004,-0.4834,2.488,0.0768,0.1838
mvtec_tile_v1_k2,tile-good-029,0,2.035,-0.438,2.473,0.07776,0.1917
mvtec_tile_v1_k2,tile-good-011,0,2.012,-0.5166,2.527,0.0739,0.183
mvtec_tile_v1_k2,tile-good-012,0,2.053,-0.4558,2.508,0.07526,0.1869
mvtec_tile_v1_k2,tile-good-013,0,1.953,-0.516,2.469,0.07806,0.188
mvtec_tile_v1_k2,tile-good-004,0,1.912,-0.507,2.418,0.0817,0.1859
mvtec_tile_v1_k2,tile-good-008,0,2.002,-0.451,2.453,0.0792,0.1926
mvtec_tile_v1_k2,tile-good-032,0,1.935,-0.4836,2.418,0.0818,0.1874
mvtec_tile_v1_k2,tile-good-020,0,1.99,-0.4026,2.393,0.08374,0.189
mvtec_tile_v1_k2,tile-good-009,0,1.893,-0.4958,2.389,0.08405,0.1913
mvtec_tile_v1_k2,tile-good-007,0,2.043,-0.4497,2.492,0.07635,0.1914
mvtec_tile_v1_k2,tile-good-022,0,1.993,-0.4556,2.45,0.0795,0.1853
mvtec_tile_v1_k2,tile-good-023,0,2.016,-0.441,2.457,0.079,0.1841
mvtec_tile_v1_k2,tile-good-027,0,1.97,-0.4475,2.418,0.08185,0.194
mvtec_tile_v1_k2,tile-good-001,0,1.991,-0.4395,2.43,0.0809,0.1906
mvtec_tile_v1_k2,tile-good-018,0,1.974,-0.4612,2.436,0.08057,0.1876
mvtec_tile_v1_k2,tile-good-028,0,1.953,-0.3875,2.34,0.0878,0.2014
mvtec_tile_v1_k2,tile-good-030,0,1.88,-0.4607,2.34,0.0878,0.1987
mvtec_tile_v1_k2,tile-good-026,0,1.997,-0.4849,2.482,0.07715,0.185
mvtec_tile_v1_k2,tile-good-000,0,1.973,-0.4907,2.463,0.0785,0.1876
mvtec_tile_v1_k2,tile-good-010,0,1.967,-0.5054,2.473,0.0778,0.1869
mvtec_tile_v1_k2,tile-good-021,0,1.996,-0.4788,2.475,0.07764,0.1836
mvtec_tile_v1_k2,tile-good-003,0,1.996,-0.483,2.479,0.07733,0.1858
mvtec_tile_v1_k2,tile-good-006,0,2.031,-0.4563,2.488,0.0767,0.1868
mvtec_tile_v1_k2,tile-crack-000,1,1.888,0.0299,1.857,0.135,0.2368
mvtec_tile_v1_k2,tile-crack-001,1,1.721,0.0405,1.681,0.1571,0.2368
mvtec_tile_v1_k2,tile-crack-002,1,1.685,-0.01971,1.704,0.1539,0.2429
mvtec_tile_v1_k2,tile-crack-003,1,1.692,0.1257,1.566,0.1727,0.2432
mvtec_tile_v1_k2,tile-crack-004,1,1.451,0.0197,1.432,0.1929,0.2299
mvtec_tile_v1_k2,tile-crack-005,1,1.743,-0.0686,1.812,0.1404,0.2085
mvtec_tile_v1_k2,tile-crack-006,1,1.581,-0.014854,1.596,0.1686,0.2339
mvtec_tile_v1_k2,tile-crack-007,1,1.678,0.1351,1.543,0.1761,0.2408
mvtec_tile_v1_k2,tile-crack-008,1,1.599,-0.01018,1.608,0.1667,0.2402
mvtec_tile_v1_k2,tile-crack-009,1,1.808,-0.0225,1.83,0.1382,0.2296
mvtec_tile_v1_k2,tile-crack-010,1,1.314,0.03558,1.279,0.2178,0.2477
mvtec_tile_v1_k2,tile-crack-011,1,1.723,0.05667,1.666,0.1589,0.2366
mvtec_tile_v1_k2,tile-crack-012,1,1.845,0.08484,1.76,0.1469,0.2379
mvtec_tile_v1_k2,tile-crack-013,1,1.766,0.01541,1.75,0.1481,0.2378
mvtec_tile_v1_k2,tile-crack-014,1,1.167,-0.06726,1.234,0.2255,0.2386
mvtec_tile_v1_k2,tile-crack-015,1,1.466,0.1399,1.326,0.2098,0.2168
mvtec_tile_v1_k2,tile-crack-016,1,1.673,-0.03384,1.707,0.1536,0.2367
mvtec_tile_v1_k2,tile-gray_stroke-000,1,1.893,-0.298,2.191,0.1006,0.2031
mvtec_tile_v1_k2,tile-gray_stroke-001,1,1.93,-0.3088,2.238,0.0963,0.2058
mvtec_tile_v1_k2,tile-gray_stroke-002,1,1.878,-0.353,2.23,0.097,0.202
mvtec_tile_v1_k2,tile-gray_stroke-003,1,1.683,-0.04922,1.731,0.1504,0.2194
mvtec_tile_v1_k2,tile-gray_stroke-004,1,1.877,-0.1711,2.049,0.11426,0.2174
mvtec_tile_v1_k2,tile-gray_stroke-005,1,1.905,-0.3271,2.232,0.09686,0.2096
mvtec_tile_v1_k2,tile-gray_stroke-006,1,1.842,-0.3008,2.143,0.10504,0.2098
mvtec_tile_v1_k2,tile-gray_stroke-007,1,1.765,0.001315,1.764,0.1464,0.2212
mvtec_tile_v1_k2,tile-gray_stroke-008,1,1.807,-0.246,2.053,0.1138,0.2118
mvtec_tile_v1_k2,tile-gray_stroke-009,1,1.904,-0.281,2.186,0.1011,0.2032
mvtec_tile_v1_k2,tile-gray_stroke-010,1,1.86,-0.155,2.016,0.1176,0.2231
