class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
mvtec_toothbrush_v2_k2,toothbrush-defective-000,1,2.271,-0.7773,3.049,0.04526,0.191
mvtec_toothbrush_v2_k2,toothbrush-defective-001,1,2.283,-0.88,3.164,0.0406,0.1798
mvtec_toothbrush_v2_k2,toothbrush-defective-002,1,2.143,-0.6943,2.836,0.05536,0.1917
mvtec_toothbrush_v2_k2,toothbrush-defective-003,1,2.223,-0.807,3.03,0.0461,0.1855
mvtec_toothbrush_v2_k2,toothbrush-defective-004,1,2.17,-0.834,3.004,0.04724,0.1896
mvtec_toothbrush_v2_k2,toothbrush-defective-005,1,2.26,-0.7827,3.043,0.04553,0.1947
mvtec_toothbrush_v2_k2,toothbrush-defective-006,1,2.268,-0.8877,3.156,0.0409,0.1816
mvtec_toothbrush_v2_k2,toothbrush-defective-007,1,2.232,-0.8467,3.078,0.04398,0.1818
mvtec_toothbrush_v2_k2,toothbrush-defective-008,1,2.146,-0.712,2.86,0.05426,0.2018
mvtec_toothbrush_v2_k2,toothbrush-defective-009,1,1.962,-0.7256,2.688,0.0637,0.1998
mvtec_toothbrush_v2_k2,toothbrush-defective-010,1,2.088,-0.4827,2.57,0.07104,0.2042
mvtec_toothbrush_v2_k2,toothbrush-defective-011,1,2.227,-0.806,3.033,0.04596,0.1727
mvtec_toothbrush_v2_k2,toothbrush-defective-012,1,2.26,-0.6953,2.955,0.0495,0.1924
mvtec_toothbrush_v2_k2,toothbrush-defective-013,1,2.238,-0.7593,2.998,0.04755,0.1765
mvtec_toothbrush_v2_k2,toothbrush-defective-014,1,2.184,-0.707,2.89,0.0526,0.1996
mvtec_toothbrush_v2_k2,toothbrush-defective-015,1,2.033,-0.697,2.73,0.06122,0.1935
mvtec_toothbrush_v2_k2,toothbrush-defective-016,1,2.268,-0.7017,2.969,0.04883,0.1815
mvtec_toothbrush_v2_k2,toothbrush-defective-017,1,2.074,-0.5586,2.633,0.0671,0.2131
mvtec_toothbrush_v2_k2,toothbrush-defective-018,1,2.24,-0.8193,3.059,0.0448,0.1791
mvtec_toothbrush_v2_k2,toothbrush-defective-019,1,2.305,-0.6636,2.969,0.0489,0.1835
mvtec_toothbrush_v2_k2,toothbrush-defective-020,1,2.266,-0.782,3.047,0.04532,0.177
mvtec_toothbrush_v2_k2,toothbrush-defective-021,1,2.31,-0.8813,3.191,0.03946,0.1576
mvtec_toothbrush_v2_k2,toothbrush-defective-022,1,2.129,-0.658,2.787,0.058,0.2035
mvtec_toothbrush_v2_k2,toothbrush-defective-023,1,2.314,-0.7476,3.062,0.0447,0.1693
mvtec_toothbrush_v2_k2,toothbrush-defective-024,1,2.338,-0.869,3.207,0.0389,0.1635
mvtec_toothbrush_v2_k2,toothbrush-defective-025,1,2.314,-0.6704,2.984,0.04813,0.1779
mvtec_toothbrush_v2_k2,toothbrush-defective-026,1,2.254,-0.7427,2.996,0.04758,0.1757
mvtec_toothbrush_v2_k2,toothbrush-defective-027,1,2.291,-0.86,3.15,0.04105,0.16
mvtec_toothbrush_v2_k2,toothbrush-defective-028,1,2.316,-0.843,3.16,0.04074,0.1676
mvtec_toothbrush_v2_k2,toothbrush-defective-029,1,2.1,-0.6826,2.781,0.0583,0.1943
mvtec_toothbrush_v2_k2,toothbrush-good-002,0,2.197,-0.917,3.113,0.0425,0.1797
mvtec_toothbrush_v2_k2,toothbrush-good-005,0,2.268,-0.8013,3.068,0.0444,0.1716
mvtec_toothbrush_v2_k2,toothbrush-good-011,0,2.271,-0.893,3.164,0.04053,0.1615
mvtec_toothbrush_v2_k2,toothbrush-good-004,0,2.3,-0.784,3.086,0.04373,0.1768
mvtec_toothbrush_v2_k2,toothbrush-good-008,0,2.33,-0.866,3.195,0.0393,0.1472
mvtec_toothbrush_v2_k2,toothbrush-good-009,0,2.287,-0.833,3.121,0.0423,0.1584
mvtec_toothbrush_v2_k2,toothbrush-good-007,0,2.219,-0.7485,2.967,0.04892,0.1874
mvtec_toothbrush_v2_k2,toothbrush-good-001,0,2.266,-0.933,3.2,0.0392,0.1812
mvtec_toothbrush_v2_k2,toothbrush-good-000,0,2.297,-0.906,3.203,0.03906,0.1758
mvtec_toothbrush_v2_k2,toothbrush-good-010,0,2.29,-0.8696,3.158,0.04074,0.1536
mvtec_toothbrush_v2_k2,toothbrush-good-003,0,2.324,-0.923,3.246,0.03745,0.1865
mvtec_toothbrush_v2_k2,toothbrush-good-006,0,2.316,-0.7827,3.1,0.04315,0.1702
