class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
mvtec_transistor_v2_k2,transistor-good-019,0,1.633,0.9434,0.6895,0.3342,0.2673
mvtec_transistor_v2_k2,transistor-good-002,0,1.619,0.9023,0.717,0.3281,0.2676
mvtec_transistor_v2_k2,transistor-good-045,0,1.63,0.852,0.778,0.3147,0.2788
mvtec_transistor_v2_k2,transistor-good-034,0,1.622,0.81,0.812,0.3074,0.257
mvtec_transistor_v2_k2,transistor-good-005,0,1.675,0.9863,0.6885,0.3345,0.261
mvtec_transistor_v2_k2,transistor-good-025,0,1.646,0.8545,0.792,0.3118,0.2668
mvtec_transistor_v2_k2,transistor-good-016,0,1.616,0.865,0.751,0.3206,0.2656
mvtec_transistor_v2_k2,transistor-good-042,0,1.59,0.832,0.758,0.319,0.2622
mvtec_transistor_v2_k2,transistor-good-039,0,1.543,0.7744,0.7686,0.317,0.2644
mvtec_transistor_v2_k2,transistor-good-056,0,1.589,0.815,0.774,0.3157,0.2688
mvtec_transistor_v2_k2,transistor-good-040,0,1.698,0.9204,0.778,0.3147,0.27
mvtec_transistor_v2_k2,transistor-good-015,0,1.539,0.848,0.691,0.3337,0.269
mvtec_transistor_v2_k2,transistor-good-043,0,1.55,0.7773,0.7725,0.316,0.264
mvtec_transistor_v2_k2,transistor-good-017,0,1.671,0.9653,0.7056,0.3306,0.2651
mvtec_transistor_v2_k2,transistor-good-031,0,1.647,0.8726,0.775,0.3154,0.2646
mvtec_transistor_v2_k2,transistor-good-014,0,1.688,0.9644,0.724,0.3264,0.271
mvtec_transistor_v2_k2,transistor-good-050,0,1.615,0.856,0.7593,0.3188,0.2644
mvtec_transistor_v2_k2,transistor-good-054,0,1.671,0.9033,0.7676,0.317,0.2769
mvtec_transistor_v2_k2,transistor-good-041,0,1.6455,0.9395,0.706,0.3306,0.265
mvtec_transistor_v2_k2,transistor-good-037,0,1.47,0.7446,0.725,0.3262,0.2817
mvtec_transistor_v2_k2,transistor-good-035,0,1.557,0.7563,0.8003,0.31,0.2598
mvtec_transistor_v2_k2,transistor-good-024,0,1.602,0.8774,0.724,0.3264,0.267
mvtec_transistor_v2_k2,transistor-good-029,0,1.745,1.028,0.717,0.3281,0.2761
mvtec_transistor_v2_k2,transistor-good-011,0,1.629,0.8677,0.761,0.3184,0.2598
mvtec_transistor_v2_k2,transistor-good-012,0,1.65,0.899,0.7515,0.3206,0.2627
mvtec_transistor_v2_k2,transistor-good-059,0,1.639,0.901,0.738,0.3235,0.2712
mvtec_transistor_v2_k2,transistor-good-013,0,1.683,0.919,0.7637,0.3179,0.2603
mvtec_transistor_v2_k2,transistor-good-052,0,1.627,0.972,0.655,0.3418,0.2666
mvtec_transistor_v2_k2,transistor-good-004,0,1.668,0.9536,0.7144,0.3286,0.2703
mvtec_transistor_v2_k2,transistor-good-033,0,1.626,0.835,0.791,0.312,0.26
mvtec_transistor_v2_k2,transistor-good-058,0,1.789,1.016,0.7734,0.3157,0.2744
mvtec_transistor_v2_k2,transistor-good-057,0,1.532,0.796,0.7363,0.3237,0.2688
mvtec_transistor_v2_k2,transistor-good-047,0,1.695,0.8975,0.798,0.3105,0.2717
mvtec_transistor_v2_k2,transistor-good-008,0,1.678,0.9727,0.705,0.3306,0.2625
mvtec_transistor_v2_k2,transistor-good-032,0,1.623,0.844,0.779,0.3147,0.2644
mvtec_transistor_v2_k2,transistor-good-020,0,1.621,0.9116,0.7095,0.3298,0.2805
mvtec_transistor_v2_k2,transistor-good-009,0,1.648,0.989,0.6597,0.3408,0.2703
mvtec_transistor_v2_k2,transistor-good-007,0,1.545,0.8086,0.7363,0.3237,0.2617
mvtec_transistor_v2_k2,transistor-good-022,0,1.669,0.909,0.76,0.3186,0.2656
mvtec_transistor_v2_k2,transistor-good-049,0,1.6,0.8525,0.747,0.3215,0.2634
mvtec_transistor_v2_k2,transistor-good-023,0,1.678,0.9106,0.767,0.3171,0.2644
mvtec_transistor_v2_k2,transistor-good-027,0,1.554,0.826,0.7275,0.3257,0.2554
mvtec_transistor_v2_k2,transistor-good-001,0,1.636,0.986,0.65,0.343,0.2734
mvtec_transistor_v2_k2,transistor-good-038,0,1.758,0.9443,0.8135,0.3071,0.2651
mvtec_transistor_v2_k2,transistor-good-018,0,1.628,0.9097,0.7183,0.328,0.2705
mvtec_transistor_v2_k2,transistor-good-028,0,1.707,0.9375,0.7695,0.3167,0.2808
mvtec_transistor_v2_k2,transistor-good-053,0,1.676,0.9253,0.7505,0.3208,0.2742
mvtec_transistor_v2_k2,transistor-good-030,0,1.653,0.856,0.7974,0.3105,0.2651
mvtec_transistor_v2_k2,transistor-good-026,0,1.638,0.937,0.7007,0.3315,0.2593
mvtec_transistor_v2_k2,transistor-good-000,0,1.671,0.907,0.7637,0.3179,0.2676
mvtec_transistor_v2_k2,transistor-good-010,0,1.784,1.073,0.711,0.3293,0.2722
mvtec_transistor_v2_k2,transistor-good-044,0,1.544,0.8105,0.7334,0.3245,0.2786
mvtec_transistor_v2_k2,transistor-good-021,0,1.6045,0.849,0.7554,0.3196,0.2712
mvtec_transistor_v2_k2,transistor-good-046,0,1.706,0.985,0.721,0.3271,0.2642
mvtec_transistor_v2_k2,transistor-good-051,0,1.614,0.8525,0.7617,0.3184,0.2656
mvtec_transistor_v2_k2,transistor-good-055,0,1.63,0.945,0.685,0.3352,0.2705
mvtec_transistor_v2_k2,transistor-good-048,0,1.631,0.9385,0.6924,0.3335,0.2673
mvtec_transistor_v2_k2,transistor-good-003,0,1.721,1.001,0.7197,0.3274,0.2725
mvtec_transistor_v2_k2,transistor-good-036,0,1.553,0.804,0.7485,0.321,0.2625
mvtec_transistor_v2_k2,transistor-good-006,0,1.626,0.9424,0.6836,0.3354,0.2686
mvtec_transistor_v2_k2,transistor-damaged_case-000,1,1.653,0.9224,0.731,0.325,0.2686
mvtec_transistor_v2_k2,transistor-damaged_case-001,1,1.667,1.024,0.6426,0.3447,0.2854
mvtec_transistor_v2_k2,transistor-damaged_case-002,1,1.612,0.9155,0.697,0.3325,0.2607
mvtec_transistor_v2_k2,transistor-damaged_case-003,1,1.388,0.763,0.6245,0.3489,0.2708
mvtec_transistor_v2_k2,transistor-damaged_case-004,1,1.663,1.083,0.58,0.359,0.281
mvtec_transistor_v2_k2,transistor-damaged_case-005,1,1.625,0.8457,0.7793,0.3145,0.2664
mvtec_transistor_v2_k2,transistor-damaged_case-006,1,1.685,0.9614,0.723,0.3267,0.2634
mvtec_transistor_v2_k2,transistor-damaged_case-007,1,1.659,1.019,0.6406,0.3452,0.2634
mvtec_transistor_v2_k2,transistor-damaged_case-008,1,1.574,0.903,0.6714,0.3381,0.2737
mvtec_transistor_v2_k2,transistor-damaged_case-009,1,1.64,0.9434,0.6963,0.3325,0.2773
mvtec_transistor_v2_k2,transistor-bent_lead-000,1,1.743,1.032,0.711,0.3293,0.2717
mvtec_transistor_v2_k2,transistor-bent_lead-001,1,1.642,0.857,0.7847,0.3132,0.2788
mvtec_transistor_v2_k2,transistor-bent_lead-002,1,1.644,0.911,0.7324,0.3247,0.2737
mvtec_transistor_v2_k2,transistor-bent_lead-003,1,1.684,0.9683,0.7153,0.3284,0.2727
