class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
mvtec_wood_v2_k2,wood-color-000,1,1.475,1.325,0.1494,0.4626,0.3438
mvtec_wood_v2_k2,wood-color-001,1,1.141,1.067,0.07324,0.4817,0.3557
mvtec_wood_v2_k2,wood-color-002,1,1.397,1.412,-0.01465,0.5034,0.3552
mvtec_wood_v2_k2,wood-color-003,1,1.234,1.076,0.1582,0.4604,0.352
mvtec_wood_v2_k2,wood-color-004,1,1.301,1.274,0.02637,0.4934,0.3538
mvtec_wood_v2_k2,wood-color-005,1,1.507,1.389,0.11816,0.4705,0.3564
mvtec_wood_v2_k2,wood-color-006,1,1.16,1.11,0.0498,0.4875,0.3606
mvtec_wood_v2_k2,wood-color-007,1,1.198,1.159,0.03906,0.4902,0.3503
mvtec_wood_v2_k2,wood-scratch-000,1,1.371,1.313,0.05762,0.4856,0.3547
mvtec_wood_v2_k2,wood-scratch-001,1,1.594,1.316,0.2773,0.4312,0.3413
mvtec_wood_v2_k2,wood-scratch-002,1,1.242,1.168,0.0742,0.4814,0.3555
mvtec_wood_v2_k2,wood-scratch-003,1,1.254,1.097,0.1572,0.4607,0.3398
mvtec_wood_v2_k2,wood-scratch-004,1,1.228,1.077,0.1504,0.4624,0.3513
mvtec_wood_v2_k2,wood-scratch-005,1,1.32,1.3125,0.007812,0.498,0.3713
mvtec_wood_v2_k2,wood-scratch-006,1,1.545,1.485,0.05957,0.485,0.3672
mvtec_wood_v2_k2,wood-scratch-007,1,1.06,1.144,-0.084,0.521,0.3975
mvtec_wood_v2_k2,wood-scratch-008,1,1.429,1.249,0.1797,0.455,0.3567
mvtec_wood_v2_k2,wood-scratch-009,1,1.43,1.375,0.0547,0.4863,0.3682
mvtec_wood_v2_k2,wood-scratch-010,1,1.433,1.295,0.1377,0.4656,0.3594
mvtec_wood_v2_k2,wood-scratch-011,1,1.397,1.194,0.2031,0.4495,0.3604
mvtec_wood_v2_k2,wood-scratch-012,1,1.362,1.253,0.1094,0.4727,0.361
mvtec_wood_v2_k2,wood-scratch-013,1,1.314,1.14,0.1748,0.4563,0.3499
mvtec_wood_v2_k2,wood-scratch-014,1,1.266,1.232,0.0332,0.4917,0.3555
mvtec_wood_v2_k2,wood-scratch-015,1,1.198,1.073,0.125,0.4688,0.3584
mvtec_wood_v2_k2,wood-scratch-016,1,1.46,1.241,0.2188,0.4456,0.354
mvtec_wood_v2_k2,wood-scratch-017,1,1.441,1.253,0.1885,0.4531,0.3447
mvtec_wood_v2_k2,wood-scratch-018,1,1.602,1.37,0.2314,0.4424,0.349
mvtec_wood_v2_k2,wood-scratch-019,1,1.264,1.1455,0.11816,0.4705,0.3552
mvtec_wood_v2_k2,wood-scratch-020,1,1.419,1.334,0.08496,0.4788,0.3516
mvtec_wood_v2_k2,wood-hole-000,1,1.226,1.108,0.1172,0.4707,0.3608
mvtec_wood_v2_k2,wood-hole-001,1,1.305,1.259,0.0459,0.4885,0.3481
mvtec_wood_v2_k2,wood-hole-002,1,1.434,1.559,-0.125,0.5312,0.358
mvtec_wood_v2_k2,wood-hole-003,1,1.322,1.131,0.1914,0.4524,0.343
mvtec_wood_v2_k2,wood-hole-004,1,1.451,1.332,0.11914,0.4702,0.3606
mvtec_wood_v2_k2,wood-hole-005,1,1.499,1.375,0.124,0.469,0.3596
mvtec_wood_v2_k2,wood-hole-006,1,1.483,1.199,0.2842,0.4294,0.3447
mvtec_wood_v2_k2,wood-hole-007,1,1.371,1.372,-0.000977,0.5,0.3518
mvtec_wood_v2_k2,wood-hole-008,1,1.504,1.379,0.125,0.4688,0.346
mvtec_wood_v2_k2,wood-hole-009,1,1.351,1.2705,0.0801,0.48,0.3472
mvtec_wood_v2_k2,wood-good-002,0,1.578,1.346,0.2324,0.4421,0.3313
mvtec_wood_v2_k2,wood-good-005,0,1.487,1.232,0.255,0.4365,0.3315
mvtec_wood_v2_k2,wood-good-016,0,1.6045,1.407,0.1973,0.451,0.3481
mvtec_wood_v2_k2,wood-good-015,0,1.617,1.325,0.292,0.4275,0.3381
mvtec_wood_v2_k2,wood-good-017,0,1.57,1.318,0.252,0.4373,0.3457
mvtec_wood_v2_k2,wood-good-014,0,1.655,1.472,0.1836,0.4543,0.3477
mvtec_wood_v2_k2,wood-good-011,0,1.489,1.202,0.287,0.4287,0.336
mvtec_wood_v2_k2,wood-good-012,0,1.425,1.163,0.2617,0.435,0.339
mvtec_wood_v2_k2,wood-good-013,0,1.453,1.13,0.3232,0.42,0.3376
mvtec_wood_v2_k2,wood-good-004,0,1.561,1.236,0.3242,0.4197,0.3257
mvtec_wood_v2_k2,wood-good-008,0,1.51,1.239,0.2705,0.4329,0.343
mvtec_wood_v2_k2,wood-good-009,0,1.439,1.226,0.2139,0.4468,0.3462
mvtec_wood_v2_k2,wood-good-007,0,1.616,1.289,0.3271,0.419,0.338
mvtec_wood_v2_k2,wood-good-001,0,1.537,1.323,0.2139,0.4468,0.3296
mvtec_wood_v2_k2,wood-good-018,0,1.559,1.297,0.2617,0.435,0.3433
mvtec_wood_v2_k2,wood-good-000,0,1.502,1.242,0.2598,0.4353,0.3303
mvtec_wood_v2_k2,wood-good-010,0,1.393,1.149,0.2432,0.4395,0.3403
mvtec_wood_v2_k2,wood-good-003,0,1.54,1.256,0.2842,0.4294,0.3293
mvtec_wood_v2_k2,wood-good-006,0,1.482,1.252,0.2305,0.4426,0.3335
mvtec_wood_v2_k2,wood-liquid-000,1,1.3,1.267,0.0332,0.4917,0.366
mvtec_wood_v2_k2,wood-liquid-001,1,0.9937,1.13,-0.1362,0.534,0.361
mvtec_wood_v2_k2,wood-liquid-002,1,1.339,1.312,0.02734,0.4932,0.3596
mvtec_wood_v2_k2,wood-liquid-003,1,1.326,1.254,0.07227,0.482,0.3467
mvtec_wood_v2_k2,wood-liquid-004,1,1.319,1.273,0.0459,0.4885,0.349
mvtec_wood_v2_k2,wood-liquid-005,1,1.126,1.01,0.1162,0.471,0.3555
mvtec_wood_v2_k2,wood-liquid-006,1,1.384,1.289,0.0947,0.4763,0.3494
mvtec_wood_v2_k2,wood-liquid-007,1,1.062,1.119,-0.05762,0.514,0.3613
mvtec_wood_v2_k2,wood-liquid-008,1,1.098,1.19,-0.0928,0.523,0.3757
mvtec_wood_v2_k2,wood-liquid-009,1,1.053,1.191,-0.1387,0.5347,0.3616
mvtec_wood_v2_k2,wood-combined-000,1,1.257,1.329,-0.07227,0.518,0.38
mvtec_wood_v2_k2,wood-combined-001,1,1.294,1.366,-0.07227,0.518,0.3555
mvtec_wood_v2_k2,wood-combined-002,1,1.391,1.231,0.1592,0.4602,0.3552
mvtec_wood_v2_k2,wood-combined-003,1,0.9014,0.8394,0.062,0.4846,0.3696
mvtec_wood_v2_k2,wood-combined-004,1,1.399,1.268,0.1318,0.467,0.3696
mvtec_wood_v2_k2,wood-combined-005,1,1.409,1.232,0.1768,0.4558,0.346
mvtec_wood_v2_k2,wood-combined-006,1,1.273,1.183,0.0908,0.4773,0.3896
mvtec_wood_v2_k2,wood-combined-007,1,1.252,1.283,-0.03125,0.508,0.3662
mvtec_wood_v2_k2,wood-combined-008,1,1.261,1.206,0.0547,0.4863,0.3672
mvtec_wood_v2_k2,wood-combined-009,1,1.452,1.31,0.1426,0.4644,0.3564
mvtec_wood_v2_k2,wood-combined-010,1,1.092,1.201,-0.1094,0.5273,0.3704
