class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
mvtec_zipper_v1_k2,zipper-fabric_border-000,1,2.775,-1.355,4.133,0.01581,0.1268
mvtec_zipper_v1_k2,zipper-fabric_border-001,1,2.799,-1.305,4.1,0.01625,0.1287
mvtec_zipper_v1_k2,zipper-fabric_border-002,1,2.877,-1.391,4.266,0.013824,0.1211
mvtec_zipper_v1_k2,zipper-fabric_border-003,1,2.666,-1.3,3.965,0.0186,0.1405
mvtec_zipper_v1_k2,zipper-fabric_border-004,1,2.787,-1.239,4.027,0.01753,0.1451
mvtec_zipper_v1_k2,zipper-fabric_border-005,1,2.572,-1.204,3.777,0.0224,0.147
mvtec_zipper_v1_k2,zipper-fabric_border-006,1,2.824,-1.386,4.21,0.01463,0.1227
mvtec_zipper_v1_k2,zipper-fabric_border-007,1,2.81,-1.355,4.164,0.015274,0.1289
mvtec_zipper_v1_k2,zipper-fabric_border-008,1,2.865,-1.295,4.16,0.015366,0.1328
mvtec_zipper_v1_k2,zipper-fabric_border-009,1,2.775,-1.27,4.047,0.01721,0.1271
mvtec_zipper_v1_k2,zipper-fabric_border-010,1,2.736,-1.314,4.05,0.0171,0.1235
mvtec_zipper_v1_k2,zipper-fabric_border-011,1,2.846,-1.209,4.055,0.01704,0.1431
mvtec_zipper_v1_k2,zipper-fabric_border-012,1,2.771,-1.332,4.1,0.01625,0.1231
mvtec_zipper_v1_k2,zipper-fabric_border-013,1,2.797,-1.316,4.113,0.0161,0.1274
mvtec_zipper_v1_k2,zipper-fabric_border-014,1,2.754,-1.456,4.21,0.01463,0.1231
mvtec_zipper_v1_k2,zipper-fabric_border-015,1,2.805,-1.35,4.156,0.01546,0.1393
mvtec_zipper_v1_k2,zipper-fabric_border-016,1,2.734,-1.312,4.047,0.0172,0.1573
mvtec_zipper_v1_k2,zipper-good-019,0,3.02,-1.483,4.504,0.010956,0.1067
mvtec_zipper_v1_k2,zipper-good-002,0,2.998,-1.519,4.516,0.01081,0.10895
mvtec_zipper_v1_k2,zipper-good-005,0,3.012,-1.56,4.57,0.01024,0.1013
mvtec_zipper_v1_k2,zipper-good-025,0,2.965,-1.5,4.465,0.011375,0.1068
mvtec_zipper_v1_k2,zipper-good-016,0,2.928,-1.485,4.414,0.01197,0.1105
mvtec_zipper_v1_k2,zipper-good-015,0,2.926,-1.492,4.418,0.01192,0.111
mvtec_zipper_v1_k2,zipper-good-017,0,2.953,-1.479,4.43,0.01176,0.10846
mvtec_zipper_v1_k2,zipper-good-031,0,2.98,-1.519,4.5,0.010994,0.10046
mvtec_zipper_v1_k2,zipper-good-014,0,2.977,-1.511,4.49,0.01112,0.1092
mvtec_zipper_v1_k2,zipper-good-024,0,2.932,-1.532,4.465,0.01138,0.11194
mvtec_zipper_v1_k2,zipper-good-029,0,2.984,-1.514,4.5,0.01101,0.1056
mvtec_zipper_v1_k2,zipper-good-011,0,3.006,-1.496,4.5,0.01096,0.1088
mvtec_zipper_v1_k2,zipper-good-012,0,2.957,-1.539,4.496,0.01103,0.1028
mvtec_zipper_v1_k2,zipper-good-013,0,2.959,-1.515,4.473,0.01128,0.11017
mvtec_zipper_v1_k2,zipper-good-004,0,2.984,-1.484,4.47,0.01133,0.11127
mvtec_zipper_v1_k2,zipper-good-008,0,2.988,-1.458,4.445,0.01159,0.1057
mvtec_zipper_v1_k2,zipper-good-020,0,2.98,-1.497,4.477,0.01123,0.1072
mvtec_zipper_v1_k2,zipper-good-009,0,2.96,-1.44,4.402,0.012115,0.1076
