class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
visa_candle_v1_k2,candle-bad-000,1,2.195,0.688,1.508,0.1814,0.1921
visa_candle_v1_k2,candle-bad-001,1,2.176,0.8193,1.356,0.2048,0.2003
visa_candle_v1_k2,candle-bad-002,1,2.143,0.7456,1.396,0.1982,0.1974
visa_candle_v1_k2,candle-bad-003,1,2.135,0.747,1.388,0.1998,0.1946
visa_candle_v1_k2,candle-bad-004,1,2.186,0.799,1.387,0.2,0.202
visa_candle_v1_k2,candle-bad-005,1,2.117,0.7266,1.391,0.1993,0.2085
visa_candle_v1_k2,candle-bad-006,1,2.156,0.731,1.426,0.1938,0.1963
visa_candle_v1_k2,candle-bad-007,1,2.16,0.674,1.486,0.1844,0.1995
visa_candle_v1_k2,candle-bad-008,1,2.156,0.7114,1.445,0.1908,0.2021
visa_candle_v1_k2,candle-bad-009,1,2.074,0.6797,1.395,0.1987,0.2045
visa_candle_v1_k2,candle-bad-010,1,2.12,0.692,1.428,0.1935,0.1952
visa_candle_v1_k2,candle-bad-011,1,2.21,0.689,1.521,0.1792,0.1884
visa_candle_v1_k2,candle-bad-012,1,2.145,0.6587,1.486,0.1846,0.197
visa_candle_v1_k2,candle-bad-013,1,2.197,0.7593,1.4375,0.1919,0.1979
visa_candle_v1_k2,candle-bad-014,1,2.19,0.688,1.502,0.1823,0.1927
visa_candle_v1_k2,candle-bad-015,1,2.139,0.6377,1.501,0.1823,0.1914
visa_candle_v1_k2,candle-bad-016,1,2.137,0.641,1.496,0.1831,0.1923
visa_candle_v1_k2,candle-bad-017,1,2.186,0.6685,1.518,0.1799,0.1906
visa_candle_v1_k2,candle-bad-018,1,2.176,0.67,1.506,0.1815,0.1934
visa_candle_v1_k2,candle-bad-019,1,2.193,0.665,1.528,0.1782,0.1975
visa_candle_v1_k2,candle-bad-020,1,2.145,0.6963,1.448,0.1903,0.1903
visa_candle_v1_k2,candle-bad-021,1,2.178,0.703,1.475,0.1863,0.1934
visa_candle_v1_k2,candle-bad-022,1,2.137,0.7036,1.434,0.1926,0.1929
visa_candle_v1_k2,candle-bad-023,1,2.146,0.766,1.381,0.2009,0.1936
visa_candle_v1_k2,candle-bad-024,1,2.209,0.718,1.491,0.1837,0.1874
visa_candle_v1_k2,candle-bad-025,1,2.2,0.7764,1.423,0.1942,0.1927
visa_candle_v1_k2,candle-bad-026,1,2.209,0.7773,1.432,0.1929,0.1926
