class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
visa_capsules_v1_k2,capsules-bad-000,1,2.312,-0.8843,3.197,0.03928,0.1934
visa_capsules_v1_k2,capsules-bad-001,1,2.31,-0.9385,3.25,0.03735,0.193
visa_capsules_v1_k2,capsules-bad-002,1,2.35,-0.8794,3.229,0.0381,0.1947
visa_capsules_v1_k2,capsules-bad-003,1,2.354,-0.9336,3.287,0.036,0.1897
visa_capsules_v1_k2,capsules-bad-004,1,2.28,-0.9404,3.219,0.03842,0.181
visa_capsules_v1_k2,capsules-bad-005,1,2.314,-0.904,3.219,0.03848,0.194
visa_capsules_v1_k2,capsules-bad-006,1,2.324,-0.925,3.25,0.03735,0.1935
visa_capsules_v1_k2,capsules-bad-007,1,2.361,-0.881,3.242,0.0376,0.1816
visa_capsules_v1_k2,capsules-bad-008,1,2.352,-0.913,3.266,0.0368,0.1836
visa_capsules_v1_k2,capsules-bad-009,1,2.363,-0.949,3.312,0.03516,0.2018
visa_capsules_v1_k2,capsules-bad-010,1,2.324,-0.9077,3.232,0.038,0.1915
visa_capsules_v1_k2,capsules-bad-011,1,2.309,-0.945,3.254,0.0372,0.1946
visa_capsules_v1_k2,capsules-bad-012,1,2.33,-0.893,3.223,0.0383,0.1866
visa_capsules_v1_k2,capsules-bad-013,1,2.322,-0.901,3.223,0.0383,0.1903
visa_capsules_v1_k2,capsules-bad-014,1,2.324,-0.9116,3.236,0.03784,0.2006
visa_capsules_v1_k2,capsules-bad-015,1,2.328,-0.9346,3.262,0.03687,0.1952
visa_capsules_v1_k2,capsules-bad-016,1,2.31,-0.8823,3.193,0.03943,0.2
visa_capsules_v1_k2,capsules-bad-017,1,2.318,-0.911,3.23,0.0381,0.195
visa_capsules_v1_k2,capsules-bad-018,1,2.365,-0.8574,3.223,0.03833,0.189
visa_capsules_v1_k2,capsules-bad-019,1,2.281,-0.9565,3.238,0.03778,0.1884
visa_capsules_v1_k2,capsules-bad-020,1,2.379,-0.8887,3.268,0.0367,0.1827
visa_capsules_v1_k2,capsules-bad-021,1,2.303,-0.8735,3.176,0.04007,0.1875
visa_capsules_v1_k2,capsules-bad-022,1,2.328,-0.9736,3.3,0.03552,0.1864
visa_capsules_v1_k2,capsules-bad-023,1,2.32,-0.8877,3.207,0.03888,0.1901
visa_capsules_v1_k2,capsules-bad-024,1,2.31,-0.9346,3.246,0.0375,0.1963
visa_capsules_v1_k2,capsules-bad-025,1,2.312,-0.897,3.209,0.03882,0.199
visa_capsules_v1_k2,capsules-bad-026,1,2.26,-0.7793,3.04,0.0457,0.1985
visa_capsules_v1_k2,capsules-bad-027,1,2.318,-0.952,3.27,0.0366,0.1786
visa_capsules_v1_k2,capsules-bad-028,1,2.385,-0.951,3.336,0.03436,0.2023
visa_capsules_v1_k2,capsules-bad-029,1,2.371,-0.8857,3.258,0.03708,0.1809
visa_capsules_v1_k2,capsules-bad-030,1,2.312,-0.909,3.223,0.03836,0.1978
visa_capsules_v1_k2,capsules-bad-031,1,2.332,-0.889,3.22,0.0384,0.1919
visa_capsules_v1_k2,capsules-bad-032,1,2.297,-0.974,3.271,0.0366,0.1836
visa_capsules_v1_k2,capsules-bad-033,1,2.283,-0.8657,3.148,0.04114,0.1908
visa_capsules_v1_k2,capsules-bad-034,1,2.287,-0.904,3.191,0.03952,0.1892
visa_capsules_v1_k2,capsules-bad-035,1,2.332,-0.898,3.23,0.03806,0.1794
visa_capsules_v1_k2,capsules-bad-036,1,2.35,-0.8965,3.246,0.03748,0.1967
visa_capsules_v1_k2,capsules-bad-037,1,2.307,-0.888,3.195,0.03937,0.188
visa_capsules_v1_k2,capsules-bad-038,1,2.307,-0.9185,3.225,0.03824,0.1917
visa_capsules_v1_k2,capsules-bad-039,1,2.33,-0.9077,3.238,0.03778,0.1781
visa_capsules_v1_k2,capsules-bad-040,1,2.31,-0.912,3.223,0.03833,0.1895
visa_capsules_v1_k2,capsules-bad-041,1,2.293,-0.9004,3.193,0.03943,0.19
visa_capsules_v1_k2,capsules-bad-042,1,2.33,-0.871,3.201,0.03912,0.1864
visa_capsules_v1_k2,capsules-bad-043,1,2.312,-0.9277,3.24,0.0377,0.1842
visa_capsules_v1_k2,capsules-bad-044,1,2.277,-0.8755,3.152,0.041,0.1938
visa_capsules_v1_k2,capsules-bad-045,1,2.36,-0.9326,3.293,0.03586,0.19
visa_capsules_v1_k2,capsules-bad-046,1,2.336,-0.9307,3.266,0.03674,0.1942
visa_capsules_v1_k2,capsules-bad-047,1,2.334,-0.928,3.262,0.0369,0.199
visa_capsules_v1_k2,capsules-bad-048,1,2.342,-0.904,3.246,0.03748,0.1852
visa_capsules_v1_k2,capsules-bad-049,1,2.297,-0.9214,3.219,0.03848,0.1865
visa_capsules_v1_k2,capsules-bad-050,1,2.268,-0.949,3.217,0.03854,0.1974
visa_capsules_v1_k2,capsules-bad-051,1,2.328,-0.8853,3.213,0.03867,0.1936
visa_capsules_v1_k2,capsules-bad-052,1,2.297,-0.8984,3.195,0.03934,0.1926
visa_capsules_v1_k2,capsules-bad-053,1,2.287,-0.8257,3.113,0.04257,0.21
visa_capsules_v1_k2,capsules-bad-054,1,2.266,-0.843,3.11,0.04276,0.1942
visa_capsules_v1_k2,capsules-bad-055,1,2.322,-0.8833,3.205,0.03897,0.2021
visa_capsules_v1_k2,capsules-bad-056,1,2.293,-0.9473,3.24,0.0377,0.1884
visa_capsules_v1_k2,capsules-bad-057,1,2.174,-0.766,2.94,0.0502,0.2114
visa_capsules_v1_k2,capsules-bad-058,1,2.299,-0.851,3.15,0.0411,0.1873
visa_capsules_v1_k2,capsules-bad-059,1,2.334,-0.8667,3.201,0.03915,0.1842
visa_capsules_v1_k2,capsules-bad-060,1,2.254,-0.814,3.068,0.04446,0.196
visa_capsules_v1_k2,capsules-bad-061,1,2.318,-0.898,3.217,0.03854,0.1975
visa_capsules_v1_k2,capsules-bad-062,1,2.305,-0.9155,3.22,0.03842,0.1919
visa_capsules_v1_k2,capsules-bad-063,1,2.273,-0.8584,3.133,0.0418,0.2024
visa_capsules_v1_k2,capsules-bad-064,1,2.281,-0.8774,3.158,0.04074,0.2001
visa_capsules_v1_k2,capsules-bad-065,1,2.344,-0.8936,3.238,0.03778,0.1864
visa_capsules_v1_k2,capsules-bad-066,1,2.31,-0.914,3.225,0.03824,0.1962
visa_capsules_v1_k2,capsules-bad-067,1,2.314,-0.88,3.195,0.03937,0.1875
visa_capsules_v1_k2,capsules-bad-068,1,2.252,-0.915,3.168,0.04044,0.2021
visa_capsules_v1_k2,capsules-bad-069,1,2.252,-0.8735,3.125,0.04205,0.1995
visa_capsules_v1_k2,capsules-bad-070,1,2.271,-0.874,3.145,0.04126,0.1924
visa_capsules_v1_k2,capsules-bad-071,1,2.287,-0.8647,3.152,0.04102,0.1893
visa_capsules_v1_k2,capsules-bad-072,1,2.256,-0.8896,3.145,0.04126,0.1986
visa_capsules_v1_k2,capsules-bad-073,1,2.266,-0.8594,3.125,0.04208,0.1991
visa_capsules_v1_k2,capsules-bad-074,1,2.312,-0.907,3.219,0.03842,0.1964
visa_capsules_v1_k2,capsules-bad-075,1,2.3,-0.938,3.238,0.03772,0.1942
visa_capsules_v1_k2,capsules-bad-076,1,2.309,-0.87,3.18,0.03998,0.1857
visa_capsules_v1_k2,capsules-bad-077,1,2.291,-0.908,3.2,0.03918,0.1918
visa_capsules_v1_k2,capsules-bad-078,1,2.336,-0.906,3.242,0.03763,0.1862
visa_capsules_v1_k2,capsules-bad-079,1,2.283,-0.8945,3.178,0.04,0.1898
visa_capsules_v1_k2,capsules-bad-080,1,2.3,-0.918,3.219,0.03845,0.2052
visa_capsules_v1_k2,capsules-bad-081,1,2.34,-0.8945,3.234,0.0379,0.1901
visa_capsules_v1_k2,capsules-bad-082,1,2.305,-0.9146,3.219,0.03845,0.213
visa_capsules_v1_k2,capsules-bad-083,1,2.168,-0.8647,3.033,0.04596,0.2207
visa_capsules_v1_k2,capsules-bad-084,1,2.334,-0.883,3.217,0.03854,0.1927
visa_capsules_v1_k2,capsules-bad-085,1,2.334,-0.9106,3.244,0.0375,0.1968
visa_capsules_v1_k2,capsules-bad-086,1,2.34,-0.906,3.246,0.03748,0.1926
visa_capsules_v1_k2,capsules-bad-087,1,2.293,-0.946,3.238,0.03772,0.1825
visa_capsules_v1_k2,capsules-bad-088,1,2.328,-0.942,3.27,0.03662,0.1996
visa_capsules_v1_k2,capsules-bad-089,1,2.29,-0.8945,3.184,0.0398,0.1979
visa_capsules_v1_k2,capsules-bad-090,1,2.254,-0.9204,3.174,0.04013,0.1885
visa_capsules_v1_k2,capsules-bad-091,1,2.33,-0.9385,3.27,0.03665,0.1807
visa_capsules_v1_k2,capsules-bad-092,1,2.316,-0.8545,3.172,0.04028,0.204
visa_capsules_v1_k2,capsules-bad-093,1,2.271,-0.986,3.258,0.03708,0.198
visa_capsules_v1_k2,capsules-bad-094,1,2.318,-0.922,3.24,0.0377,0.1895
visa_capsules_v1_k2,capsules-bad-095,1,2.309,-0.949,3.258,0.03705,0.2032
visa_capsules_v1_k2,capsules-bad-096,1,2.322,-0.931,3.254,0.0372,0.189
visa_capsules_v1_k2,capsules-bad-097,1,2.314,-0.9097,3.225,0.03827,0.1931
visa_capsules_v1_k2,capsules-bad-098,1,2.355,-0.9126,3.268,0.03668,0.1808
visa_capsules_v1_k2,capsules-bad-099,1,2.334,-0.9033,3.238,0.03778,0.187
visa_capsules_v1_k2,capsules-good-122,0,2.355,-0.8896,3.246,0.0375,0.1914
visa_capsules_v1_k2,capsules-good-250,0,2.342,-0.8965,3.238,0.03775,0.1915
visa_capsules_v1_k2,capsules-good-562,0,2.332,-0.927,3.258,0.03702,0.1877
visa_capsules_v1_k2,capsules-good-557,0,2.285,-0.915,3.2,0.03915,0.2023
visa_capsules_v1_k2,capsules-good-195,0,2.396,-0.937,3.334,0.03445,0.1984
visa_capsules_v1_k2,capsules-good-354,0,2.371,-0.9087,3.28,0.0363,0.1865
visa_capsules_v1_k2,capsules-good-365,0,2.342,-0.9346,3.277,0.03638,0.1968
visa_capsules_v1_k2,capsules-good-242,0,2.334,-0.978,3.312,0.03516,0.196
visa_capsules_v1_k2,capsules-good-207,0,2.34,-0.8867,3.227,0.03818,0.1862
visa_capsules_v1_k2,capsules-good-404,0,2.342,-0.956,3.297,0.03564,0.186
visa_capsules_v1_k2,capsules-good-064,0,2.324,-0.884,3.207,0.03888,0.1974
visa_capsules_v1_k2,capsules-good-108,0,2.37,-0.9023,3.271,0.03656,0.189
visa_capsules_v1_k2,capsules-good-020,0,2.299,-0.897,3.195,0.03934,0.2052
visa_capsules_v1_k2,capsules-good-319,0,2.375,-0.886,3.262,0.03693,0.181
visa_capsules_v1_k2,capsules-good-282,0,2.379,-0.9385,3.316,0.03497,0.1935
visa_capsules_v1_k2,capsules-good-478,0,2.338,-0.9033,3.242,0.03766,0.1786
visa_capsules_v1_k2,capsules-good-185,0,2.303,-0.874,3.176,0.04004,0.1976
visa_capsules_v1_k2,capsules-good-159,0,2.371,-0.9355,3.307,0.03534,0.1893
visa_capsules_v1_k2,capsules-good-471,0,2.324,-0.892,3.217,0.03854,0.1854
visa_capsules_v1_k2,capsules-good-388,0,2.338,-0.957,3.295,0.03574,0.1937
visa_capsules_v1_k2,capsules-good-002,0,2.363,-0.915,3.277,0.03632,0.1981
visa_capsules_v1_k2,capsules-good-596,0,2.32,-0.9077,3.229,0.03812,0.2056
visa_capsules_v1_k2,capsules-good-236,0,2.291,-0.9097,3.201,0.03915,0.1989
visa_capsules_v1_k2,capsules-good-276,0,2.268,-0.861,3.129,0.04196,0.1846
visa_capsules_v1_k2,capsules-good-331,0,2.32,-0.953,3.273,0.0365,0.1877
visa_capsules_v1_k2,capsules-good-055,0,2.303,-0.9204,3.223,0.0383,0.2036
visa_capsules_v1_k2,capsules-good-530,0,2.32,-0.9805,3.3,0.03555,0.1908
visa_capsules_v1_k2,capsules-good-221,0,2.336,-0.8677,3.203,0.03903,0.1874
visa_capsules_v1_k2,capsules-good-323,0,2.371,-0.9146,3.285,0.03607,0.1862
visa_capsules_v1_k2,capsules-good-219,0,2.352,-0.842,3.193,0.03943,0.1906
visa_capsules_v1_k2,capsules-good-470,0,2.367,-0.897,3.264,0.03683,0.1855
visa_capsules_v1_k2,capsules-good-102,0,2.379,-0.8423,3.22,0.0384,0.1882
visa_capsules_v1_k2,capsules-good-105,0,2.361,-0.8765,3.238,0.03778,0.1995
visa_capsules_v1_k2,capsules-good-370,0,2.32,-0.9336,3.254,0.0372,0.2004
visa_capsules_v1_k2,capsules-good-364,0,2.383,-0.91,3.293,0.03583,0.1874
visa_capsules_v1_k2,capsules-good-556,0,2.37,-0.892,3.262,0.03693,0.1874
visa_capsules_v1_k2,capsules-good-524,0,2.305,-0.9224,3.227,0.03815,0.1907
visa_capsules_v1_k2,capsules-good-570,0,2.348,-0.875,3.223,0.03833,0.1804
visa_capsules_v1_k2,capsules-good-316,0,2.354,-0.939,3.293,0.03583,0.1897
visa_capsules_v1_k2,capsules-good-164,0,2.328,-0.8643,3.191,0.03946,0.1915
visa_capsules_v1_k2,capsules-good-208,0,2.355,-0.9077,3.264,0.03687,0.1971
visa_capsules_v1_k2,capsules-good-228,0,2.344,-0.941,3.285,0.0361,0.1897
visa_capsules_v1_k2,capsules-good-111,0,2.338,-0.8755,3.213,0.03867,0.1818
visa_capsules_v1_k2,capsules-good-593,0,2.287,-0.9307,3.219,0.0385,0.1898
visa_capsules_v1_k2,capsules-good-283,0,2.312,-0.889,3.201,0.0391,0.1891
visa_capsules_v1_k2,capsules-good-184,0,2.316,-0.9277,3.244,0.03754,0.1893
visa_capsules_v1_k2,capsules-good-203,0,2.287,-0.8564,3.145,0.04135,0.2029
visa_capsules_v1_k2,capsules-good-245,0,2.346,-0.9165,3.262,0.0369,0.1943
visa_capsules_v1_k2,capsules-good-085,0,2.312,-0.906,3.219,0.03848,0.1956
visa_capsules_v1_k2,capsules-good-063,0,2.332,-0.9277,3.26,0.037,0.1897
visa_capsules_v1_k2,capsules-good-468,0,2.326,-0.9175,3.244,0.03757,0.1854
visa_capsules_v1_k2,capsules-good-210,0,2.346,-0.8813,3.227,0.03815,0.1926
visa_capsules_v1_k2,capsules-good-009,0,2.389,-0.9473,3.336,0.03436,0.1873
visa_capsules_v1_k2,capsules-good-118,0,2.33,-0.9155,3.246,0.03748,0.1904
visa_capsules_v1_k2,capsules-good-180,0,2.32,-0.9233,3.244,0.03757,0.1989
visa_capsules_v1_k2,capsules-good-274,0,2.332,-0.906,3.238,0.03778,0.186
visa_capsules_v1_k2,capsules-good-563,0,2.297,-0.88,3.176,0.04004,0.1788
visa_capsules_v1_k2,capsules-good-598,0,2.332,-0.886,3.219,0.03848,0.1873
visa_capsules_v1_k2,capsules-good-303,0,2.404,-0.885,3.29,0.03595,0.1765
visa_capsules_v1_k2,capsules-good-372,0,2.354,-0.9434,3.297,0.03568,0.191
visa_capsules_v1_k2,capsules-good-429,0,2.35,-0.9795,3.328,0.03458,0.1877
visa_capsules_v1_k2,capsules-good-407,0,2.324,-0.892,3.217,0.03854,0.1886
visa_capsules_v1_k2,capsules-good-328,0,2.361,-0.9043,3.266,0.03677,0.1815
visa_capsules_v1_k2,capsules-good-123,0,2.334,-0.903,3.236,0.0378,0.1835
visa_capsules_v1_k2,capsules-good-465,0,2.346,-0.8877,3.234,0.03793,0.1871
visa_capsules_v1_k2,capsules-good-351,0,2.36,-0.9307,3.29,0.03592,0.1885
visa_capsules_v1_k2,capsules-good-050,0,2.33,-0.922,3.252,0.03726,0.2059
visa_capsules_v1_k2,capsules-good-594,0,2.33,-0.914,3.244,0.03754,0.1823
visa_capsules_v1_k2,capsules-good-544,0,2.316,-0.931,3.248,0.0374,0.1821
visa_capsules_v1_k2,capsules-good-380,0,2.318,-0.9194,3.238,0.03778,0.1807
visa_capsules_v1_k2,capsules-good-342,0,2.354,-0.9346,3.29,0.03598,0.1924
visa_capsules_v1_k2,capsules-good-269,0,2.26,-0.817,3.076,0.04407,0.2028
visa_capsules_v1_k2,capsules-good-306,0,2.395,-0.959,3.354,0.03378,0.1887
visa_capsules_v1_k2,capsules-good-521,0,2.33,-0.9014,3.23,0.038,0.1943
visa_capsules_v1_k2,capsules-good-241,0,2.342,-0.944,3.285,0.03607,0.1907
visa_capsules_v1_k2,capsules-good-286,0,2.35,-0.963,3.312,0.03516,0.1897
visa_capsules_v1_k2,capsules-good-235,0,2.389,-0.946,3.334,0.0344,0.1888
visa_capsules_v1_k2,capsules-good-592,0,2.32,-0.913,3.234,0.03793,0.19
visa_capsules_v1_k2,capsules-good-442,0,2.352,-0.9556,3.307,0.03534,0.192
visa_capsules_v1_k2,capsules-good-132,0,2.348,-0.9263,3.273,0.03647,0.1963
visa_capsules_v1_k2,capsules-good-493,0,2.352,-0.9824,3.334,0.03442,0.1992
