class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
visa_cashew_v2_k2,cashew-bad-000,1,1.007,1.074,-0.0674,0.5166,0.3462
visa_cashew_v2_k2,cashew-bad-001,1,1.038,1.043,-0.004883,0.501,0.3428
visa_cashew_v2_k2,cashew-bad-002,1,0.978,0.9985,-0.02051,0.505,0.3416
visa_cashew_v2_k2,cashew-bad-003,1,1.057,1.058,-0.000977,0.5,0.3403
visa_cashew_v2_k2,cashew-bad-004,1,1.12,1.141,-0.02051,0.505,0.344
visa_cashew_v2_k2,cashew-bad-005,1,1.0625,1.063,-0.000977,0.5,0.346
visa_cashew_v2_k2,cashew-bad-006,1,1.119,1.224,-0.1045,0.526,0.3438
visa_cashew_v2_k2,cashew-bad-007,1,1.081,1.089,-0.007812,0.502,0.341
visa_cashew_v2_k2,cashew-bad-008,1,1.089,1.085,0.003906,0.499,0.3445
visa_cashew_v2_k2,cashew-bad-009,1,1.044,1.047,-0.00293,0.501,0.3442
visa_cashew_v2_k2,cashew-bad-010,1,1.012,1.028,-0.0166,0.504,0.3447
visa_cashew_v2_k2,cashew-bad-011,1,1.096,1.079,0.0166,0.4958,0.3425
visa_cashew_v2_k2,cashew-bad-012,1,1.05,1.101,-0.05078,0.5127,0.3433
visa_cashew_v2_k2,cashew-bad-013,1,1.015,1.029,-0.01465,0.5034,0.342
visa_cashew_v2_k2,cashew-bad-014,1,1.067,1.063,0.003906,0.499,0.3457
visa_cashew_v2_k2,cashew-bad-015,1,0.9385,0.974,-0.03564,0.509,0.3423
visa_cashew_v2_k2,cashew-bad-016,1,1.076,1.121,-0.04492,0.511,0.343
visa_cashew_v2_k2,cashew-bad-017,1,1.042,1.083,-0.04102,0.5103,0.3425
visa_cashew_v2_k2,cashew-bad-018,1,1.018,1.061,-0.04297,0.5107,0.3464
visa_cashew_v2_k2,cashew-bad-019,1,0.934,1.019,-0.0845,0.521,0.3413
visa_cashew_v2_k2,cashew-bad-020,1,1.094,1.139,-0.04492,0.511,0.3433
visa_cashew_v2_k2,cashew-bad-021,1,1.014,1.036,-0.02246,0.5054,0.3398
visa_cashew_v2_k2,cashew-bad-022,1,0.9424,1.058,-0.11523,0.529,0.3486
visa_cashew_v2_k2,cashew-bad-023,1,1.066,1.068,-0.001953,0.5005,0.341
visa_cashew_v2_k2,cashew-bad-024,1,1.035,1.095,-0.05957,0.5146,0.34
visa_cashew_v2_k2,cashew-bad-025,1,0.955,1.042,-0.0869,0.5215,0.345
visa_cashew_v2_k2,cashew-bad-026,1,1.067,1.123,-0.05566,0.5137,0.3457
visa_cashew_v2_k2,cashew-bad-027,1,1.009,1.088,-0.0791,0.5195,0.3455
visa_cashew_v2_k2,cashew-bad-028,1,1.065,1.091,-0.02539,0.5063,0.3435
visa_cashew_v2_k2,cashew-bad-029,1,0.96,1.074,-0.11426,0.5283,0.346
visa_cashew_v2_k2,cashew-bad-030,1,0.9077,1.061,-0.1528,0.538,0.3438
visa_cashew_v2_k2,cashew-bad-031,1,1.064,1.202,-0.1377,0.534,0.3467
visa_cashew_v2_k2,cashew-bad-032,1,1.1045,1.14,-0.03516,0.509,0.3442
visa_cashew_v2_k2,cashew-bad-033,1,0.9854,1.0205,-0.03516,0.509,0.3445
visa_cashew_v2_k2,cashew-bad-034,1,1.064,1.085,-0.02051,0.505,0.342
visa_cashew_v2_k2,cashew-bad-035,1,1.155,1.203,-0.04785,0.5117,0.3472
