class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
visa_chewinggum_v1_k2,chewinggum-bad-000,1,1.886,-1.096,2.98,0.04828,0.1876
visa_chewinggum_v1_k2,chewinggum-bad-001,1,2.037,-1.085,3.121,0.0422,0.1765
visa_chewinggum_v1_k2,chewinggum-bad-002,1,1.93,-1.078,3.008,0.0471,0.1726
visa_chewinggum_v1_k2,chewinggum-bad-003,1,1.904,-1.108,3.012,0.04684,0.1803
visa_chewinggum_v1_k2,chewinggum-bad-004,1,1.943,-1.034,2.977,0.04846,0.1881
visa_chewinggum_v1_k2,chewinggum-bad-005,1,2.025,-1.019,3.043,0.04547,0.1803
visa_chewinggum_v1_k2,chewinggum-bad-006,1,1.864,-1.013,2.877,0.0533,0.181
visa_chewinggum_v1_k2,chewinggum-bad-007,1,2.0,-1.069,3.07,0.0444,0.1738
visa_chewinggum_v1_k2,chewinggum-bad-008,1,2.031,-1.044,3.074,0.04413,0.1693
visa_chewinggum_v1_k2,chewinggum-bad-009,1,1.738,-0.9575,2.695,0.06323,0.1818
visa_chewinggum_v1_k2,chewinggum-bad-010,1,1.985,-1.107,3.094,0.0434,0.1733
visa_chewinggum_v1_k2,chewinggum-bad-011,1,1.687,-0.823,2.51,0.0752,0.1934
visa_chewinggum_v1_k2,chewinggum-bad-012,1,1.918,-1.136,3.055,0.04504,0.1714
visa_chewinggum_v1_k2,chewinggum-bad-013,1,2.023,-1.118,3.14,0.0414,0.1786
visa_chewinggum_v1_k2,chewinggum-bad-014,1,1.971,-1.062,3.031,0.046,0.18
visa_chewinggum_v1_k2,chewinggum-bad-015,1,2.059,-0.927,2.984,0.0481,0.1866
visa_chewinggum_v1_k2,chewinggum-bad-016,1,2.035,-1.077,3.113,0.0426,0.1743
visa_chewinggum_v1_k2,chewinggum-bad-017,1,1.984,-0.952,2.938,0.05038,0.1882
visa_chewinggum_v1_k2,chewinggum-bad-018,1,1.976,-0.9624,2.938,0.0503,0.182
visa_chewinggum_v1_k2,chewinggum-bad-019,1,1.954,-1.086,3.04,0.04565,0.1788
visa_chewinggum_v1_k2,chewinggum-bad-020,1,2.12,-0.9707,3.09,0.04352,0.1779
visa_chewinggum_v1_k2,chewinggum-bad-021,1,2.033,-0.9917,3.025,0.04633,0.1843
visa_chewinggum_v1_k2,chewinggum-bad-022,1,1.914,-1.107,3.021,0.04648,0.167
visa_chewinggum_v1_k2,chewinggum-bad-023,1,1.886,-1.135,3.02,0.0465,0.1748
visa_chewinggum_v1_k2,chewinggum-bad-024,1,1.995,-1.042,3.037,0.04578,0.1814
visa_chewinggum_v1_k2,chewinggum-bad-025,1,2.152,-1.097,3.25,0.03735,0.1658
visa_chewinggum_v1_k2,chewinggum-bad-026,1,1.9795,-1.181,3.16,0.04068,0.1648
visa_chewinggum_v1_k2,chewinggum-bad-027,1,2.135,-1.043,3.178,0.04,0.1857
visa_chewinggum_v1_k2,chewinggum-bad-028,1,2.154,-1.138,3.293,0.03586,0.1671
visa_chewinggum_v1_k2,chewinggum-bad-029,1,2.094,-1.044,3.137,0.04156,0.1709
visa_chewinggum_v1_k2,chewinggum-bad-030,1,2.002,-1.101,3.102,0.043,0.1749
visa_chewinggum_v1_k2,chewinggum-bad-031,1,2.129,-1.102,3.23,0.03802,0.1694
visa_chewinggum_v1_k2,chewinggum-bad-032,1,2.139,-1.049,3.188,0.03964,0.172
visa_chewinggum_v1_k2,chewinggum-bad-033,1,2.092,-1.117,3.209,0.03882,0.1658
visa_chewinggum_v1_k2,chewinggum-bad-034,1,2.13,-1.026,3.156,0.0408,0.1694
visa_chewinggum_v1_k2,chewinggum-bad-035,1,2.082,-0.953,3.035,0.04587,0.1733
visa_chewinggum_v1_k2,chewinggum-bad-036,1,2.146,-1.093,3.238,0.03772,0.173
visa_chewinggum_v1_k2,chewinggum-bad-037,1,2.098,-1.134,3.23,0.038,0.166
visa_chewinggum_v1_k2,chewinggum-bad-038,1,2.025,-0.946,2.97,0.04874,0.1777
visa_chewinggum_v1_k2,chewinggum-bad-039,1,2.133,-1.069,3.203,0.0391,0.1716
visa_chewinggum_v1_k2,chewinggum-bad-040,1,2.004,-1.041,3.045,0.04544,0.1808
visa_chewinggum_v1_k2,chewinggum-bad-041,1,2.152,-1.133,3.285,0.03607,0.1772
visa_chewinggum_v1_k2,chewinggum-bad-042,1,2.143,-1.022,3.164,0.0405,0.1814
visa_chewinggum_v1_k2,chewinggum-bad-043,1,2.074,-1.053,3.127,0.04202,0.1782
visa_chewinggum_v1_k2,chewinggum-bad-044,1,2.076,-1.212,3.29,0.03598,0.1729
visa_chewinggum_v1_k2,chewinggum-bad-045,1,1.923,-1.038,2.96,0.04922,0.1821
visa_chewinggum_v1_k2,chewinggum-bad-046,1,2.04,-0.9556,2.994,0.04767,0.1929
visa_chewinggum_v1_k2,chewinggum-bad-047,1,1.96,-1.11,3.07,0.04434,0.1754
visa_chewinggum_v1_k2,chewinggum-bad-048,1,1.964,-0.904,2.867,0.05377,0.1935
visa_chewinggum_v1_k2,chewinggum-bad-049,1,2.02,-1.128,3.148,0.0412,0.1827
visa_chewinggum_v1_k2,chewinggum-bad-050,1,1.973,-1.024,2.996,0.04755,0.1823
visa_chewinggum_v1_k2,chewinggum-bad-051,1,2.033,-1.124,3.156,0.0408,0.1818
visa_chewinggum_v1_k2,chewinggum-bad-052,1,1.988,-1.023,3.012,0.0469,0.19
visa_chewinggum_v1_k2,chewinggum-bad-053,1,2.107,-0.8687,2.977,0.04852,0.1903
visa_chewinggum_v1_k2,chewinggum-bad-054,1,1.936,-1.085,3.02,0.0465,0.1777
visa_chewinggum_v1_k2,chewinggum-bad-055,1,2.025,-1.051,3.076,0.0441,0.1696
visa_chewinggum_v1_k2,chewinggum-bad-056,1,2.025,-1.089,3.113,0.0425,0.1748
visa_chewinggum_v1_k2,chewinggum-bad-057,1,1.992,-1.102,3.094,0.04337,0.1774
visa_chewinggum_v1_k2,chewinggum-bad-058,1,2.117,-1.111,3.229,0.03812,0.1785
