class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
visa_fryum_v2_k2,fryum-bad-000,1,1.136,0.903,0.2329,0.4421,0.2935
visa_fryum_v2_k2,fryum-bad-001,1,1.044,0.828,0.2158,0.4463,0.2952
visa_fryum_v2_k2,fryum-bad-002,1,1.117,0.8794,0.2378,0.441,0.2942
visa_fryum_v2_k2,fryum-bad-003,1,1.172,0.947,0.2251,0.4438,0.2915
visa_fryum_v2_k2,fryum-bad-004,1,1.164,0.961,0.2031,0.4495,0.2869
visa_fryum_v2_k2,fryum-bad-005,1,1.1,0.8706,0.229,0.443,0.2927
visa_fryum_v2_k2,fryum-bad-006,1,1.107,0.8604,0.2471,0.4385,0.2898
visa_fryum_v2_k2,fryum-bad-007,1,1.119,0.923,0.1963,0.4512,0.2893
visa_fryum_v2_k2,fryum-bad-008,1,1.081,0.842,0.2393,0.4404,0.2952
visa_fryum_v2_k2,fryum-bad-009,1,1.206,0.967,0.2393,0.4404,0.291
visa_fryum_v2_k2,fryum-bad-010,1,1.153,0.9316,0.2217,0.4448,0.2937
visa_fryum_v2_k2,fryum-bad-011,1,1.213,0.995,0.2178,0.4458,0.2969
visa_fryum_v2_k2,fryum-bad-012,1,1.179,0.953,0.2256,0.4438,0.295
visa_fryum_v2_k2,fryum-bad-013,1,1.168,0.9575,0.2104,0.4475,0.2861
visa_fryum_v2_k2,fryum-bad-014,1,1.2,0.9854,0.2148,0.4465,0.2893
visa_fryum_v2_k2,fryum-bad-015,1,1.163,0.949,0.2139,0.4468,0.2896
visa_fryum_v2_k2,fryum-bad-016,1,1.166,0.94,0.2261,0.4436,0.29
visa_fryum_v2_k2,fryum-bad-017,1,1.202,0.9717,0.2305,0.4426,0.2908
visa_fryum_v2_k2,fryum-bad-018,1,1.209,0.9907,0.2183,0.4456,0.2883
visa_fryum_v2_k2,fryum-bad-019,1,1.173,0.9463,0.2266,0.4436,0.289
visa_fryum_v2_k2,fryum-bad-020,1,1.164,0.9375,0.2266,0.4436,0.289
visa_fryum_v2_k2,fryum-bad-021,1,1.177,0.925,0.252,0.4373,0.2888
visa_fryum_v2_k2,fryum-bad-022,1,1.213,0.9697,0.2432,0.4395,0.286
visa_fryum_v2_k2,fryum-bad-023,1,1.186,0.952,0.2334,0.442,0.2886
visa_fryum_v2_k2,fryum-bad-024,1,1.217,1.002,0.2148,0.4465,0.2886
visa_fryum_v2_k2,fryum-bad-025,1,1.172,0.9316,0.2402,0.4402,0.289
visa_fryum_v2_k2,fryum-bad-026,1,1.205,0.98,0.2251,0.4438,0.282
visa_fryum_v2_k2,fryum-bad-027,1,1.237,1.001,0.2363,0.4412,0.2903
visa_fryum_v2_k2,fryum-bad-028,1,1.253,1.023,0.2295,0.4429,0.2878
visa_fryum_v2_k2,fryum-bad-029,1,1.17,0.917,0.253,0.437,0.2856
visa_fryum_v2_k2,fryum-bad-030,1,1.202,0.96,0.2422,0.4397,0.2883
visa_fryum_v2_k2,fryum-bad-031,1,1.209,0.9707,0.2383,0.4407,0.2908
visa_fryum_v2_k2,fryum-bad-032,1,1.135,0.922,0.2129,0.447,0.2913
visa_fryum_v2_k2,fryum-bad-033,1,1.226,1.005,0.2207,0.445,0.2886
visa_fryum_v2_k2,fryum-bad-034,1,1.208,0.9727,0.2354,0.4414,0.288
visa_fryum_v2_k2,fryum-bad-035,1,1.155,0.907,0.248,0.4382,0.2869
visa_fryum_v2_k2,fryum-bad-036,1,1.266,1.037,0.2285,0.443,0.2878
visa_fryum_v2_k2,fryum-bad-037,1,1.14,0.9053,0.2344,0.4417,0.2893
visa_fryum_v2_k2,fryum-bad-038,1,1.121,0.903,0.2183,0.4456,0.2844
visa_fryum_v2_k2,fryum-bad-039,1,1.217,1.009,0.208,0.4482,0.2922
visa_fryum_v2_k2,fryum-bad-040,1,1.197,0.976,0.2212,0.4448,0.2917
visa_fryum_v2_k2,fryum-bad-041,1,1.06,0.819,0.2407,0.4402,0.3013
visa_fryum_v2_k2,fryum-bad-042,1,1.097,0.883,0.2139,0.4468,0.2986
visa_fryum_v2_k2,fryum-bad-043,1,1.128,0.916,0.2119,0.4473,0.2964
visa_fryum_v2_k2,fryum-bad-044,1,1.127,0.946,0.1812,0.4548,0.316
visa_fryum_v2_k2,fryum-bad-045,1,1.1455,0.93,0.2153,0.4463,0.2993
visa_fryum_v2_k2,fryum-bad-046,1,1.153,0.9453,0.208,0.4482,0.2944
visa_fryum_v2_k2,fryum-bad-047,1,1.1455,0.926,0.2197,0.4453,0.2966
visa_fryum_v2_k2,fryum-bad-048,1,1.082,0.8677,0.2144,0.4465,0.2917
visa_fryum_v2_k2,fryum-bad-049,1,1.107,0.9185,0.189,0.453,0.2961
visa_fryum_v2_k2,fryum-bad-050,1,1.134,0.926,0.208,0.4482,0.2979
visa_fryum_v2_k2,fryum-bad-051,1,1.197,0.992,0.2051,0.449,0.2988
visa_fryum_v2_k2,fryum-bad-052,1,1.178,0.9683,0.2095,0.4478,0.2998
visa_fryum_v2_k2,fryum-bad-053,1,1.048,0.886,0.1616,0.4597,0.3076
visa_fryum_v2_k2,fryum-bad-054,1,1.133,0.9136,0.2192,0.4453,0.296
visa_fryum_v2_k2,fryum-bad-055,1,1.168,0.9263,0.2417,0.44,0.2937
visa_fryum_v2_k2,fryum-bad-056,1,1.122,0.923,0.1992,0.4504,0.2966
visa_fryum_v2_k2,fryum-bad-057,1,1.107,0.928,0.1792,0.4553,0.298
visa_fryum_v2_k2,fryum-bad-058,1,1.196,0.9814,0.2148,0.4465,0.2983
visa_fryum_v2_k2,fryum-bad-059,1,1.146,0.93,0.2163,0.446,0.2986
visa_fryum_v2_k2,fryum-bad-060,1,1.203,0.994,0.209,0.448,0.2896
visa_fryum_v2_k2,fryum-bad-061,1,1.208,1.008,0.2002,0.4502,0.2942
visa_fryum_v2_k2,fryum-bad-062,1,1.121,0.924,0.1973,0.451,0.2927
visa_fryum_v2_k2,fryum-bad-063,1,1.167,0.9053,0.2617,0.435,0.292
visa_fryum_v2_k2,fryum-bad-064,1,1.12,0.9106,0.2095,0.4478,0.2974
visa_fryum_v2_k2,fryum-bad-065,1,1.161,0.929,0.2319,0.4424,0.2954
visa_fryum_v2_k2,fryum-bad-066,1,1.18,0.9507,0.229,0.443,0.2927
visa_fryum_v2_k2,fryum-bad-067,1,1.099,0.8887,0.21,0.4478,0.292
visa_fryum_v2_k2,fryum-bad-068,1,1.19,0.9473,0.2432,0.4395,0.2905
visa_fryum_v2_k2,fryum-bad-069,1,1.203,0.9873,0.2158,0.4463,0.2861
visa_fryum_v2_k2,fryum-bad-070,1,1.115,0.9214,0.1938,0.4517,0.2908
visa_fryum_v2_k2,fryum-bad-071,1,1.251,1.014,0.2373,0.441,0.2927
visa_fryum_v2_k2,fryum-bad-072,1,1.26,1.039,0.2207,0.445,0.2915
visa_fryum_v2_k2,fryum-bad-073,1,1.134,0.9478,0.186,0.4536,0.2893
visa_fryum_v2_k2,fryum-bad-074,1,1.197,0.983,0.2144,0.4465,0.291
visa_fryum_v2_k2,fryum-bad-075,1,1.183,0.953,0.2295,0.4429,0.2898
visa_fryum_v2_k2,fryum-bad-076,1,1.188,0.9644,0.2241,0.444,0.2886
visa_fryum_v2_k2,fryum-bad-077,1,1.201,1.002,0.1992,0.4504,0.2905
visa_fryum_v2_k2,fryum-bad-078,1,1.214,0.988,0.2261,0.4436,0.2915
visa_fryum_v2_k2,fryum-bad-079,1,1.227,0.979,0.2476,0.4385,0.292
visa_fryum_v2_k2,fryum-bad-080,1,1.14,0.9097,0.23,0.4429,0.29
visa_fryum_v2_k2,fryum-bad-081,1,1.159,0.9224,0.2368,0.4412,0.2927
visa_fryum_v2_k2,fryum-bad-082,1,1.208,0.9766,0.2314,0.4424,0.2893
visa_fryum_v2_k2,fryum-bad-083,1,1.154,0.9214,0.2329,0.4421,0.2913
visa_fryum_v2_k2,fryum-bad-084,1,1.091,0.8267,0.2642,0.4343,0.2915
visa_fryum_v2_k2,fryum-bad-085,1,1.204,0.9805,0.2236,0.4443,0.2886
visa_fryum_v2_k2,fryum-bad-086,1,1.104,0.8735,0.23,0.4429,0.292
visa_fryum_v2_k2,fryum-bad-087,1,1.201,0.9595,0.2417,0.44,0.2888
visa_fryum_v2_k2,fryum-bad-088,1,1.174,0.933,0.2407,0.4402,0.2876
visa_fryum_v2_k2,fryum-bad-089,1,1.172,0.9146,0.2573,0.436,0.2878
visa_fryum_v2_k2,fryum-bad-090,1,1.205,0.9897,0.2153,0.4463,0.2913
visa_fryum_v2_k2,fryum-bad-091,1,1.183,0.945,0.2378,0.441,0.2896
visa_fryum_v2_k2,fryum-bad-092,1,1.243,0.998,0.2451,0.439,0.2866
visa_fryum_v2_k2,fryum-bad-093,1,1.172,0.961,0.2109,0.4475,0.289
visa_fryum_v2_k2,fryum-bad-094,1,1.161,0.969,0.1919,0.4521,0.2888
visa_fryum_v2_k2,fryum-bad-095,1,1.143,0.928,0.2144,0.4465,0.2898
visa_fryum_v2_k2,fryum-bad-096,1,1.193,0.982,0.2114,0.4473,0.2903
visa_fryum_v2_k2,fryum-bad-097,1,1.183,0.9775,0.2051,0.449,0.2905
visa_fryum_v2_k2,fryum-bad-098,1,1.202,0.966,0.2363,0.4412,0.2878
visa_fryum_v2_k2,fryum-bad-099,1,1.213,0.987,0.2261,0.4436,0.2866
visa_fryum_v2_k2,fryum-good-122,0,1.188,0.9487,0.2397,0.4404,0.2832
visa_fryum_v2_k2,fryum-good-250,0,1.213,0.974,0.2388,0.4407,0.2866
visa_fryum_v2_k2,fryum-good-195,0,1.211,0.967,0.2441,0.4392,0.2834
visa_fryum_v2_k2,fryum-good-354,0,1.282,1.039,0.2432,0.4395,0.2837
visa_fryum_v2_k2,fryum-good-365,0,1.223,0.967,0.2559,0.4363,0.285
visa_fryum_v2_k2,fryum-good-242,0,1.258,1.033,0.2246,0.444,0.281
visa_fryum_v2_k2,fryum-good-207,0,1.195,0.9795,0.2158,0.4463,0.287
visa_fryum_v2_k2,fryum-good-404,0,1.192,0.9585,0.2339,0.442,0.2883
visa_fryum_v2_k2,fryum-good-064,0,1.187,0.9453,0.2412,0.44,0.2832
visa_fryum_v2_k2,fryum-good-108,0,1.209,0.9736,0.2354,0.4414,0.2842
visa_fryum_v2_k2,fryum-good-020,0,1.2295,0.991,0.2383,0.4407,0.2856
visa_fryum_v2_k2,fryum-good-319,0,1.258,1.01,0.248,0.4382,0.2852
visa_fryum_v2_k2,fryum-good-282,0,1.217,0.9805,0.2363,0.4412,0.2913
visa_fryum_v2_k2,fryum-good-478,0,1.208,0.9717,0.2363,0.4412,0.2886
visa_fryum_v2_k2,fryum-good-185,0,1.231,1.003,0.2285,0.443,0.2874
visa_fryum_v2_k2,fryum-good-159,0,1.1875,0.935,0.2524,0.4373,0.285
visa_fryum_v2_k2,fryum-good-471,0,1.161,0.934,0.227,0.4434,0.2866
visa_fryum_v2_k2,fryum-good-388,0,1.274,1.067,0.207,0.4485,0.2893
visa_fryum_v2_k2,fryum-good-002,0,1.244,0.9995,0.2446,0.4392,0.2847
visa_fryum_v2_k2,fryum-good-236,0,1.174,0.9556,0.2183,0.4456,0.2893
visa_fryum_v2_k2,fryum-good-276,0,1.204,0.9546,0.2495,0.438,0.283
visa_fryum_v2_k2,fryum-good-331,0,1.24,1.029,0.2109,0.4475,0.2837
visa_fryum_v2_k2,fryum-good-055,0,1.192,0.9507,0.2417,0.44,0.282
visa_fryum_v2_k2,fryum-good-221,0,1.209,0.9707,0.2383,0.4407,0.2798
visa_fryum_v2_k2,fryum-good-323,0,1.231,1.008,0.2236,0.4443,0.2808
visa_fryum_v2_k2,fryum-good-219,0,1.253,1.023,0.2295,0.4429,0.2876
visa_fryum_v2_k2,fryum-good-470,0,1.178,0.966,0.2119,0.4473,0.288
visa_fryum_v2_k2,fryum-good-102,0,1.194,0.967,0.2275,0.4434,0.285
visa_fryum_v2_k2,fryum-good-105,0,1.2,0.958,0.2422,0.4397,0.286
visa_fryum_v2_k2,fryum-good-370,0,1.262,1.023,0.2383,0.4407,0.2866
visa_fryum_v2_k2,fryum-good-364,0,1.152,0.908,0.2441,0.4392,0.282
visa_fryum_v2_k2,fryum-good-316,0,1.247,1.025,0.2217,0.4448,0.2886
visa_fryum_v2_k2,fryum-good-164,0,1.268,1.039,0.2285,0.443,0.2837
visa_fryum_v2_k2,fryum-good-208,0,1.224,0.988,0.2358,0.4414,0.2866
visa_fryum_v2_k2,fryum-good-228,0,1.245,1.012,0.2334,0.442,0.2852
visa_fryum_v2_k2,fryum-good-111,0,1.173,0.9536,0.2192,0.4453,0.2822
visa_fryum_v2_k2,fryum-good-283,0,1.285,1.036,0.249,0.438,0.2869
visa_fryum_v2_k2,fryum-good-184,0,1.277,1.04,0.2373,0.441,0.2861
