class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
visa_macaroni2_v1_k2,macaroni2-bad-000,1,1.11,-0.1313,1.242,0.2241,0.2795
visa_macaroni2_v1_k2,macaroni2-bad-001,1,1.139,-0.06793,1.207,0.2303,0.2754
visa_macaroni2_v1_k2,macaroni2-bad-002,1,1.102,-0.0356,1.137,0.2428,0.2925
visa_macaroni2_v1_k2,macaroni2-bad-003,1,1.147,-0.1627,1.311,0.2124,0.2715
visa_macaroni2_v1_k2,macaroni2-bad-004,1,1.243,0.00537,1.238,0.2249,0.2764
visa_macaroni2_v1_k2,macaroni2-bad-005,1,1.16,-0.1152,1.275,0.2184,0.2778
visa_macaroni2_v1_k2,macaroni2-bad-006,1,1.112,-0.1026,1.215,0.2289,0.281
visa_macaroni2_v1_k2,macaroni2-bad-007,1,1.1045,-0.1528,1.258,0.2214,0.2896
visa_macaroni2_v1_k2,macaroni2-bad-008,1,1.132,-0.1095,1.241,0.2242,0.2795
visa_macaroni2_v1_k2,macaroni2-bad-009,1,1.134,-0.1164,1.25,0.2227,0.2795
visa_macaroni2_v1_k2,macaroni2-bad-010,1,1.019,-0.2223,1.241,0.2242,0.2825
visa_macaroni2_v1_k2,macaroni2-bad-011,1,1.148,-0.0978,1.246,0.2234,0.28
visa_macaroni2_v1_k2,macaroni2-bad-012,1,1.06,-0.1558,1.215,0.2288,0.2808
visa_macaroni2_v1_k2,macaroni2-bad-013,1,1.111,-0.11475,1.227,0.2269,0.2815
visa_macaroni2_v1_k2,macaroni2-bad-014,1,1.129,-0.1746,1.304,0.2136,0.2798
visa_macaroni2_v1_k2,macaroni2-bad-015,1,1.133,-0.142,1.274,0.2184,0.2737
visa_macaroni2_v1_k2,macaroni2-bad-016,1,1.124,-0.1016,1.226,0.2269,0.2852
visa_macaroni2_v1_k2,macaroni2-bad-017,1,1.154,-0.1432,1.298,0.2146,0.272
visa_macaroni2_v1_k2,macaroni2-bad-018,1,1.077,-0.1259,1.203,0.231,0.286
visa_macaroni2_v1_k2,macaroni2-bad-019,1,1.115,-0.1241,1.239,0.2246,0.2825
visa_macaroni2_v1_k2,macaroni2-bad-020,1,1.194,-0.1262,1.32,0.2107,0.2812
visa_macaroni2_v1_k2,macaroni2-bad-021,1,1.202,-0.1132,1.315,0.2115,0.2817
visa_macaroni2_v1_k2,macaroni2-bad-022,1,1.229,-0.166,1.395,0.1987,0.281
visa_macaroni2_v1_k2,macaroni2-bad-023,1,1.09,-0.1475,1.237,0.2249,0.2864
visa_macaroni2_v1_k2,macaroni2-bad-024,1,1.119,-0.1691,1.288,0.2162,0.2825
visa_macaroni2_v1_k2,macaroni2-bad-025,1,1.105,-0.1349,1.24,0.2244,0.2788
visa_macaroni2_v1_k2,macaroni2-bad-026,1,1.06,-0.1523,1.212,0.2294,0.2856
visa_macaroni2_v1_k2,macaroni2-bad-027,1,1.116,-0.1322,1.248,0.223,0.2874
visa_macaroni2_v1_k2,macaroni2-bad-028,1,1.175,-0.173,1.348,0.2062,0.2751
visa_macaroni2_v1_k2,macaroni2-bad-029,1,1.181,-0.03162,1.212,0.2292,0.2817
visa_macaroni2_v1_k2,macaroni2-bad-030,1,1.031,-0.1204,1.151,0.2402,0.2847
visa_macaroni2_v1_k2,macaroni2-bad-031,1,1.13,-0.1346,1.265,0.2202,0.2842
visa_macaroni2_v1_k2,macaroni2-bad-032,1,1.186,-0.0625,1.248,0.223,0.2852
visa_macaroni2_v1_k2,macaroni2-bad-033,1,1.107,-0.05753,1.165,0.2378,0.2869
visa_macaroni2_v1_k2,macaroni2-bad-034,1,1.109,-0.1056,1.215,0.2289,0.275
visa_macaroni2_v1_k2,macaroni2-bad-035,1,1.12,-0.04877,1.169,0.237,0.2803
visa_macaroni2_v1_k2,macaroni2-bad-036,1,1.105,-0.138,1.243,0.2239,0.2869
visa_macaroni2_v1_k2,macaroni2-bad-037,1,1.215,0.07446,1.141,0.2423,0.2834
visa_macaroni2_v1_k2,macaroni2-bad-038,1,1.186,-0.06097,1.246,0.2233,0.281
visa_macaroni2_v1_k2,macaroni2-bad-039,1,1.18,-0.15,1.33,0.2092,0.2864
visa_macaroni2_v1_k2,macaroni2-bad-040,1,1.045,-0.0779,1.123,0.2455,0.2876
visa_macaroni2_v1_k2,macaroni2-bad-041,1,1.127,-0.1893,1.316,0.2114,0.2808
visa_macaroni2_v1_k2,macaroni2-bad-042,1,1.098,-0.1129,1.211,0.2296,0.2827
visa_macaroni2_v1_k2,macaroni2-bad-043,1,1.055,-0.03418,1.089,0.252,0.2944
visa_macaroni2_v1_k2,macaroni2-bad-044,1,1.059,-0.1376,1.196,0.2322,0.2888
visa_macaroni2_v1_k2,macaroni2-bad-045,1,1.142,-0.0999,1.241,0.2241,0.2837
visa_macaroni2_v1_k2,macaroni2-bad-046,1,1.143,-0.0871,1.2295,0.2262,0.2913
visa_macaroni2_v1_k2,macaroni2-bad-047,1,1.173,-0.2026,1.375,0.2018,0.2808
visa_macaroni2_v1_k2,macaroni2-bad-048,1,1.128,-0.1356,1.264,0.2203,0.2866
visa_macaroni2_v1_k2,macaroni2-bad-049,1,1.16,-0.1603,1.32,0.2107,0.2761
visa_macaroni2_v1_k2,macaroni2-bad-050,1,1.206,-0.0881,1.294,0.2152,0.289
visa_macaroni2_v1_k2,macaroni2-bad-051,1,1.162,-0.1458,1.308,0.2129,0.2864
visa_macaroni2_v1_k2,macaroni2-bad-052,1,1.089,-0.1956,1.284,0.2168,0.2852
visa_macaroni2_v1_k2,macaroni2-bad-053,1,1.128,-0.2249,1.353,0.2054,0.2783
visa_macaroni2_v1_k2,macaroni2-bad-054,1,1.132,-0.1624,1.294,0.2151,0.2825
visa_macaroni2_v1_k2,macaroni2-bad-055,1,1.054,-0.1121,1.166,0.2375,0.289
visa_macaroni2_v1_k2,macaroni2-bad-056,1,1.148,-0.1031,1.252,0.2224,0.275
visa_macaroni2_v1_k2,macaroni2-bad-057,1,1.192,-0.1542,1.347,0.2064,0.2764
visa_macaroni2_v1_k2,macaroni2-bad-058,1,1.157,-0.1094,1.267,0.2198,0.2776
visa_macaroni2_v1_k2,macaroni2-bad-059,1,1.1455,-0.1556,1.301,0.214,0.272
visa_macaroni2_v1_k2,macaroni2-bad-060,1,1.13,-0.1194,1.249,0.2228,0.2783
visa_macaroni2_v1_k2,macaroni2-bad-061,1,1.172,-0.1774,1.35,0.206,0.2815
visa_macaroni2_v1_k2,macaroni2-bad-062,1,1.096,-0.1012,1.197,0.232,0.291
visa_macaroni2_v1_k2,macaroni2-bad-063,1,1.129,-0.163,1.292,0.2156,0.2842
visa_macaroni2_v1_k2,macaroni2-bad-064,1,1.131,-0.1376,1.269,0.2195,0.2776
visa_macaroni2_v1_k2,macaroni2-bad-065,1,1.112,-0.1764,1.289,0.2161,0.2856
visa_macaroni2_v1_k2,macaroni2-bad-066,1,1.18,-0.1549,1.335,0.2084,0.2742
visa_macaroni2_v1_k2,macaroni2-bad-067,1,1.111,-0.1475,1.259,0.2212,0.279
visa_macaroni2_v1_k2,macaroni2-bad-068,1,1.142,-0.1477,1.289,0.216,0.2788
visa_macaroni2_v1_k2,macaroni2-bad-069,1,1.169,0.00914,1.16,0.2386,0.2761
visa_macaroni2_v1_k2,macaroni2-bad-070,1,1.197,-0.08826,1.285,0.2166,0.2683
visa_macaroni2_v1_k2,macaroni2-bad-071,1,1.153,-0.05444,1.208,0.2301,0.2751
visa_macaroni2_v1_k2,macaroni2-bad-072,1,1.2295,-0.0625,1.292,0.2156,0.269
