class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
visa_pcb3_v2_k2,pcb3-bad-000,1,2.486,-0.8887,3.375,0.03308,0.2028
visa_pcb3_v2_k2,pcb3-bad-001,1,2.428,-0.8525,3.281,0.03625,0.2107
visa_pcb3_v2_k2,pcb3-bad-002,1,2.479,-0.893,3.371,0.0332,0.1936
visa_pcb3_v2_k2,pcb3-bad-003,1,2.498,-0.921,3.418,0.0317,0.2081
visa_pcb3_v2_k2,pcb3-bad-004,1,2.469,-0.9136,3.383,0.03287,0.2069
visa_pcb3_v2_k2,pcb3-bad-005,1,2.426,-0.873,3.299,0.0356,0.2095
visa_pcb3_v2_k2,pcb3-bad-006,1,2.482,-0.865,3.348,0.03397,0.2024
visa_pcb3_v2_k2,pcb3-bad-007,1,2.428,-0.9346,3.363,0.0335,0.1918
visa_pcb3_v2_k2,pcb3-bad-008,1,2.377,-0.855,3.232,0.038,0.2164
visa_pcb3_v2_k2,pcb3-bad-009,1,2.457,-0.9023,3.36,0.0336,0.2114
visa_pcb3_v2_k2,pcb3-bad-010,1,2.46,-0.8755,3.336,0.03433,0.2079
visa_pcb3_v2_k2,pcb3-bad-011,1,2.434,-0.863,3.297,0.0357,0.2068
visa_pcb3_v2_k2,pcb3-bad-012,1,2.396,-0.9297,3.326,0.0347,0.2153
visa_pcb3_v2_k2,pcb3-bad-013,1,2.438,-0.84,3.277,0.03635,0.2205
visa_pcb3_v2_k2,pcb3-bad-014,1,2.521,-0.9688,3.49,0.02959,0.1989
visa_pcb3_v2_k2,pcb3-bad-015,1,2.432,-0.92,3.352,0.03384,0.1941
visa_pcb3_v2_k2,pcb3-bad-016,1,2.518,-0.9062,3.424,0.03156,0.205
visa_pcb3_v2_k2,pcb3-bad-017,1,2.473,-0.7983,3.271,0.0366,0.2047
visa_pcb3_v2_k2,pcb3-bad-018,1,2.475,-0.881,3.355,0.03372,0.2007
visa_pcb3_v2_k2,pcb3-bad-019,1,2.46,-0.9663,3.428,0.03146,0.2146
visa_pcb3_v2_k2,pcb3-bad-020,1,2.475,-0.9224,3.396,0.03238,0.1929
visa_pcb3_v2_k2,pcb3-bad-021,1,2.502,-0.8804,3.383,0.03287,0.1995
visa_pcb3_v2_k2,pcb3-bad-022,1,2.506,-0.9263,3.432,0.0313,0.1959
visa_pcb3_v2_k2,pcb3-bad-023,1,2.49,-0.835,3.324,0.03473,0.1952
visa_pcb3_v2_k2,pcb3-bad-024,1,2.55,-0.966,3.516,0.02884,0.1912
visa_pcb3_v2_k2,pcb3-bad-025,1,2.56,-0.8257,3.387,0.0327,0.2025
visa_pcb3_v2_k2,pcb3-bad-026,1,2.57,-0.9307,3.5,0.02928,0.2032
visa_pcb3_v2_k2,pcb3-bad-027,1,2.502,-0.857,3.36,0.0336,0.1993
visa_pcb3_v2_k2,pcb3-bad-028,1,2.51,-0.8345,3.344,0.0341,0.2025
visa_pcb3_v2_k2,pcb3-bad-029,1,2.56,-0.8047,3.365,0.0334,0.215
visa_pcb3_v2_k2,pcb3-bad-030,1,2.525,-0.876,3.402,0.03226,0.2058
visa_pcb3_v2_k2,pcb3-bad-031,1,2.484,-0.8877,3.371,0.03317,0.2068
visa_pcb3_v2_k2,pcb3-bad-032,1,2.537,-0.892,3.43,0.0314,0.2072
visa_pcb3_v2_k2,pcb3-bad-033,1,2.518,-0.9297,3.447,0.03085,0.1959
visa_pcb3_v2_k2,pcb3-bad-034,1,2.482,-0.9487,3.432,0.03134,0.1995
visa_pcb3_v2_k2,pcb3-bad-035,1,2.549,-0.9004,3.45,0.03079,0.188
visa_pcb3_v2_k2,pcb3-bad-036,1,2.555,-0.8506,3.406,0.03214,0.2014
visa_pcb3_v2_k2,pcb3-bad-037,1,2.57,-0.893,3.463,0.03036,0.1989
visa_pcb3_v2_k2,pcb3-bad-038,1,2.559,-0.9214,3.48,0.02989,0.1838
visa_pcb3_v2_k2,pcb3-bad-039,1,2.559,-0.922,3.48,0.02988,0.186
visa_pcb3_v2_k2,pcb3-bad-040,1,2.438,-0.954,3.39,0.03256,0.2007
visa_pcb3_v2_k2,pcb3-bad-041,1,2.523,-0.9795,3.504,0.02924,0.1987
visa_pcb3_v2_k2,pcb3-bad-042,1,2.533,-0.97,3.504,0.02922,0.2057
visa_pcb3_v2_k2,pcb3-bad-043,1,2.53,-0.872,3.402,0.03226,0.2261
visa_pcb3_v2_k2,pcb3-bad-044,1,2.43,-0.858,3.287,0.036,0.1996
visa_pcb3_v2_k2,pcb3-bad-045,1,2.488,-0.929,3.418,0.03177,0.1917
visa_pcb3_v2_k2,pcb3-bad-046,1,2.496,-0.9097,3.406,0.0321,0.1951
visa_pcb3_v2_k2,pcb3-bad-047,1,2.41,-0.9116,3.322,0.03482,0.1987
visa_pcb3_v2_k2,pcb3-bad-048,1,2.557,-0.8955,3.453,0.0307,0.2103
visa_pcb3_v2_k2,pcb3-bad-049,1,2.459,-0.9053,3.363,0.03342,0.2029
visa_pcb3_v2_k2,pcb3-bad-050,1,2.521,-0.914,3.436,0.0312,0.2006
visa_pcb3_v2_k2,pcb3-bad-051,1,2.432,-0.8438,3.275,0.03644,0.2026
visa_pcb3_v2_k2,pcb3-bad-052,1,2.416,-0.875,3.291,0.0359,0.205
visa_pcb3_v2_k2,pcb3-bad-053,1,2.47,-0.8164,3.287,0.036,0.2247
visa_pcb3_v2_k2,pcb3-bad-054,1,2.455,-0.878,3.332,0.03445,0.2109
visa_pcb3_v2_k2,pcb3-bad-055,1,2.47,-0.9614,3.432,0.0313,0.1964
visa_pcb3_v2_k2,pcb3-bad-056,1,2.514,-0.9287,3.441,0.03099,0.2087
visa_pcb3_v2_k2,pcb3-bad-057,1,2.504,-0.8916,3.395,0.03244,0.2007
visa_pcb3_v2_k2,pcb3-bad-058,1,2.469,-0.941,3.41,0.03198,0.2042
visa_pcb3_v2_k2,pcb3-bad-059,1,2.498,-0.9424,3.441,0.03105,0.1989
visa_pcb3_v2_k2,pcb3-bad-060,1,2.562,-0.861,3.424,0.0316,0.1901
visa_pcb3_v2_k2,pcb3-bad-061,1,2.566,-0.92,3.486,0.02971,0.1893
visa_pcb3_v2_k2,pcb3-bad-062,1,2.49,-0.9756,3.465,0.0303,0.1931
visa_pcb3_v2_k2,pcb3-bad-063,1,2.525,-0.934,3.459,0.03049,0.197
visa_pcb3_v2_k2,pcb3-bad-064,1,2.486,-0.9556,3.441,0.031,0.1991
visa_pcb3_v2_k2,pcb3-bad-065,1,2.508,-0.911,3.418,0.0317,0.204
visa_pcb3_v2_k2,pcb3-bad-066,1,2.479,-0.9146,3.393,0.0325,0.1951
visa_pcb3_v2_k2,pcb3-bad-067,1,2.506,-0.907,3.414,0.0319,0.1998
visa_pcb3_v2_k2,pcb3-bad-068,1,2.525,-0.898,3.424,0.0316,0.1833
visa_pcb3_v2_k2,pcb3-bad-069,1,2.51,-0.9707,3.48,0.02988,0.1901
visa_pcb3_v2_k2,pcb3-bad-070,1,2.496,-0.951,3.447,0.03085,0.1876
visa_pcb3_v2_k2,pcb3-bad-071,1,2.45,-0.9414,3.39,0.0326,0.195
visa_pcb3_v2_k2,pcb3-bad-072,1,2.469,-0.9863,3.455,0.03062,0.1968
visa_pcb3_v2_k2,pcb3-bad-073,1,2.54,-0.914,3.453,0.03067,0.2015
visa_pcb3_v2_k2,pcb3-bad-074,1,2.445,-0.956,3.402,0.03226,0.1858
visa_pcb3_v2_k2,pcb3-bad-075,1,2.479,-1.079,3.559,0.02771,0.1923
visa_pcb3_v2_k2,pcb3-bad-076,1,2.514,-0.962,3.477,0.03001,0.1927
visa_pcb3_v2_k2,pcb3-bad-077,1,2.469,-0.931,3.4,0.0323,0.1958
visa_pcb3_v2_k2,pcb3-bad-078,1,2.51,-0.8384,3.348,0.03397,0.1984
visa_pcb3_v2_k2,pcb3-bad-079,1,2.475,-0.9517,3.426,0.0315,0.201
visa_pcb3_v2_k2,pcb3-bad-080,1,2.432,-0.8296,3.262,0.03693,0.2151
visa_pcb3_v2_k2,pcb3-bad-081,1,2.53,-0.9673,3.496,0.0294,0.1975
visa_pcb3_v2_k2,pcb3-bad-082,1,2.48,-0.8975,3.379,0.033,0.1992
visa_pcb3_v2_k2,pcb3-bad-083,1,2.479,-0.8965,3.375,0.03308,0.2003
visa_pcb3_v2_k2,pcb3-bad-084,1,2.535,-0.933,3.469,0.03023,0.1871
visa_pcb3_v2_k2,pcb3-bad-085,1,2.537,-0.9746,3.512,0.02898,0.1917
visa_pcb3_v2_k2,pcb3-bad-086,1,2.52,-0.86,3.379,0.03296,0.2074
visa_pcb3_v2_k2,pcb3-bad-087,1,2.46,-0.9404,3.402,0.03226,0.1975
visa_pcb3_v2_k2,pcb3-bad-088,1,2.54,-0.905,3.443,0.03096,0.1903
visa_pcb3_v2_k2,pcb3-bad-089,1,2.537,-0.872,3.41,0.032,0.1929
visa_pcb3_v2_k2,pcb3-bad-090,1,2.527,-0.962,3.488,0.02962,0.1893
visa_pcb3_v2_k2,pcb3-bad-091,1,2.486,-0.8364,3.322,0.0348,0.2079
visa_pcb3_v2_k2,pcb3-bad-092,1,2.49,-0.8843,3.375,0.0331,0.1964
visa_pcb3_v2_k2,pcb3-bad-093,1,2.514,-0.85,3.363,0.03345,0.2019
visa_pcb3_v2_k2,pcb3-bad-094,1,2.457,-0.8447,3.3,0.03552,0.2153
visa_pcb3_v2_k2,pcb3-bad-095,1,2.576,-0.937,3.514,0.02895,0.1891
visa_pcb3_v2_k2,pcb3-bad-096,1,2.504,-0.94,3.443,0.03096,0.2034
visa_pcb3_v2_k2,pcb3-bad-097,1,2.512,-0.981,3.492,0.02953,0.1877
visa_pcb3_v2_k2,pcb3-bad-098,1,2.57,-0.923,3.492,0.02951,0.1945
visa_pcb3_v2_k2,pcb3-bad-099,1,2.508,-0.8384,3.346,0.03403,0.2137
visa_pcb3_v2_k2,pcb3-good-0217,0,2.473,-0.8774,3.35,0.0339,0.1953
visa_pcb3_v2_k2,pcb3-good-0411,0,2.492,-0.991,3.484,0.02979,0.2018
visa_pcb3_v2_k2,pcb3-good-0911,0,2.463,-0.82,3.283,0.03616,0.2006
visa_pcb3_v2_k2,pcb3-good-0939,0,2.482,-0.894,3.377,0.03305,0.1952
visa_pcb3_v2_k2,pcb3-good-0340,0,2.492,-0.96,3.453,0.0307,0.1941
visa_pcb3_v2_k2,pcb3-good-0875,0,2.502,-0.9272,3.43,0.0314,0.1986
visa_pcb3_v2_k2,pcb3-good-0211,0,2.494,-0.929,3.424,0.0316,0.187
visa_pcb3_v2_k2,pcb3-good-0348,0,2.518,-1.01,3.527,0.02855,0.189
