class,name,label,max_normal,max_abnormal,margin,semantic_score,fusion_score
visa_pipe_fryum_v1_k2,pipe_fryum-bad-000,1,2.166,-0.481,2.646,0.06616,0.18
visa_pipe_fryum_v1_k2,pipe_fryum-bad-001,1,2.264,-0.493,2.756,0.05972,0.1841
visa_pipe_fryum_v1_k2,pipe_fryum-bad-002,1,2.152,-0.5054,2.658,0.0655,0.1825
visa_pipe_fryum_v1_k2,pipe_fryum-bad-003,1,2.244,-0.382,2.627,0.06744,0.1854
visa_pipe_fryum_v1_k2,pipe_fryum-bad-004,1,2.11,-0.549,2.658,0.0655,0.1774
visa_pipe_fryum_v1_k2,pipe_fryum-bad-005,1,2.004,-0.4705,2.475,0.0777,0.1948
visa_pipe_fryum_v1_k2,pipe_fryum-bad-006,1,2.156,-0.4043,2.56,0.0717,0.185
visa_pipe_fryum_v1_k2,pipe_fryum-bad-007,1,2.229,-0.557,2.785,0.0581,0.1853
visa_pipe_fryum_v1_k2,pipe_fryum-bad-008,1,2.12,-0.5347,2.654,0.06573,0.179
visa_pipe_fryum_v1_k2,pipe_fryum-bad-009,1,2.277,-0.4788,2.756,0.05975,0.1854
visa_pipe_fryum_v1_k2,pipe_fryum-bad-010,1,2.055,-0.3936,2.45,0.0796,0.1853
visa_pipe_fryum_v1_k2,pipe_fryum-bad-011,1,2.299,-0.2666,2.566,0.0714,0.1927
visa_pipe_fryum_v1_k2,pipe_fryum-bad-012,1,2.06,-0.586,2.646,0.0662,0.1819
visa_pipe_fryum_v1_k2,pipe_fryum-bad-013,1,2.293,-0.5234,2.816,0.05646,0.1768
visa_pipe_fryum_v1_k2,pipe_fryum-bad-014,1,2.176,-0.4434,2.62,0.06793,0.1868
visa_pipe_fryum_v1_k2,pipe_fryum-bad-015,1,2.285,-0.45,2.734,0.06094,0.1787
visa_pipe_fryum_v1_k2,pipe_fryum-bad-016,1,2.191,-0.52,2.71,0.06232,0.1808
