class,baseline_acc,prompt2_acc,delta_acc,dataset_x,class_name,performance_group,dataset_y,A_hit_mean,A_hit_p95,A_hit_rate_30,B_normal_margin,B_abnormal_margin,B_separation,B_overlap,C_collapse_score,C_similarity_mean,D_max_proto_count,D_high_score_max,E_normal_semantic,E_abnormal_semantic,baseline_strength
mvtec-capsule,79.94,64.46,-15.480000000000004,mvtec,capsule,Severe Degrade,mvtec,0.252197265625,0.2667724609375,0.0,-0.09033203125,-0.09429931640625,0.00396728515625,0.49267578125,0.8984375,0.76708984375,23,4,0.5224609375,0.5234375,Weak
mvtec-pill,95.61,82.73,-12.879999999999995,mvtec,pill,Severe Degrade,mvtec,0.3447265625,0.36083984375,1.0,-0.1444091796875,-0.1466064453125,0.002197265625,0.47705078125,0.9111328125,0.7802734375,26,5,0.5361328125,0.53662109375,Strong
mvtec-hazelnut,99.93,87.39,-12.540000000000006,mvtec,hazelnut,Severe Degrade,mvtec,0.2486572265625,0.288330078125,0.0,-0.05291748046875,-0.0616455078125,0.00872802734375,0.432373046875,0.94091796875,0.849609375,35,8,0.51318359375,0.515625,Strong
visa-pcb3,79.78,67.68,-12.099999999999994,visa,pcb3,Severe Degrade,visa,0.2091064453125,0.2239990234375,0.0,-0.0230560302734375,-0.0230865478515625,3.0517578125e-05,0.8896484375,0.95263671875,0.88330078125,922,184,0.505859375,0.505859375,Weak
mvtec-toothbrush,98.89,86.94,-11.950000000000005,mvtec,toothbrush,Severe Degrade,mvtec,0.33154296875,0.35509033203125,0.9166666666666666,-0.02789306640625,-0.036651611328125,0.008758544921875,0.281005859375,0.96484375,0.89697265625,5,2,0.5068359375,0.5087890625,Strong
visa-pcb2,77.09,66.71,-10.38000000000001,visa,pcb2,Severe Degrade,visa,0.2493896484375,0.265869140625,0.0,-0.01161956787109375,-0.0115203857421875,-9.918212890625e-05,0.9296875,0.96484375,0.9189453125,544,140,0.5029296875,0.5029296875,Weak
visa-pipe_fryum,98.8,90.87,-7.929999999999993,visa,pipe_fryum,Severe Degrade,visa,0.1453857421875,0.188970947265625,0.0,-0.02923583984375,-0.032501220703125,0.003265380859375,0.92041015625,0.9453125,0.84619140625,377,84,0.50732421875,0.50830078125,Strong
visa-fryum,89.96,82.36,-7.599999999999994,visa,fryum,Severe Degrade,visa,0.136962890625,0.14699096679687498,0.0,-0.025390625,-0.0304718017578125,0.0050811767578125,0.8017578125,0.94091796875,0.826171875,341,62,0.50634765625,0.50732421875,Medium
visa-macaroni2,74.74,67.33,-7.409999999999997,visa,macaroni2,Severe Degrade,visa,0.166015625,0.1849365234375,0.0,-0.06427001953125,-0.0655517578125,0.00128173828125,0.7314453125,0.91943359375,0.8212890625,932,192,0.51611328125,0.5166015625,Weak
mvtec-cable,96.38,89.47,-6.909999999999997,mvtec,cable,Severe Degrade,mvtec,0.04229736328125,0.05806884765625,0.0,-0.06182861328125,-0.0616455078125,-0.00018310546875,0.7275390625,0.94140625,0.8544921875,31,6,0.515625,0.515625,Strong
visa-macaroni1,85.75,79.54,-6.209999999999994,visa,macaroni1,Severe Degrade,visa,0.170166015625,0.1820068359375,0.0,-0.048858642578125,-0.0499267578125,0.001068115234375,0.76025390625,0.94677734375,0.87255859375,1000,197,0.51220703125,0.5126953125,Medium
mvtec-metal_nut,100.0,95.45,-4.549999999999997,mvtec,metal_nut,Mild Degrade,mvtec,0.290283203125,0.30474853515625,0.13636363636363635,-0.051666259765625,-0.06146240234375,0.009796142578125,0.509765625,0.93212890625,0.84130859375,15,4,0.51318359375,0.51513671875,Strong
visa-chewinggum,97.19,92.71,-4.480000000000004,visa,chewinggum,Mild Degrade,visa,0.2064208984375,0.2256591796875,0.0,-0.024261474609375,-0.031524658203125,0.00726318359375,0.55419921875,0.9501953125,0.8876953125,213,40,0.505859375,0.5078125,Strong
visa-candle,94.86,91.11,-3.75,visa,candle,Mild Degrade,visa,0.18994140625,0.201904296875,0.0,-0.07928466796875,-0.0889892578125,0.00970458984375,0.61767578125,0.94287109375,0.8095703125,570,108,0.52001953125,0.5224609375,Medium
visa-capsules,72.8,69.12,-3.6799999999999926,visa,capsules,Mild Degrade,visa,0.276611328125,0.290283203125,0.0016611295681063123,-0.03778076171875,-0.0386962890625,0.00091552734375,0.783203125,0.9404296875,0.873046875,598,119,0.50927734375,0.509765625,Weak
visa-cashew,90.4,87.0,-3.4000000000000057,visa,cashew,Mild Degrade,visa,0.26806640625,0.28272705078125,0.0,-0.045989990234375,-0.049835205078125,0.00384521484375,0.865234375,0.92724609375,0.814453125,460,95,0.51171875,0.5126953125,Medium
mvtec-transistor,89.79,87.42,-2.3700000000000045,mvtec,transistor,Mild Degrade,mvtec,0.3525390625,0.3777099609375,1.0,-0.0421142578125,-0.046722412109375,0.004608154296875,0.57421875,0.95361328125,0.79345703125,48,12,0.5107421875,0.51171875,Medium
visa-pcb1,94.15,92.06,-2.0900000000000034,visa,pcb1,Mild Degrade,visa,0.1981201171875,0.21435546875,0.0,-0.0380859375,-0.03106689453125,-0.00701904296875,0.62060546875,0.95703125,0.89208984375,1004,201,0.50927734375,0.5078125,Medium
mvtec-zipper,96.4,94.83,-1.5700000000000074,mvtec,zipper,Stable,mvtec,0.291748046875,0.30301513671875,0.125,-0.041534423828125,-0.0450439453125,0.003509521484375,0.476806640625,0.9677734375,0.87744140625,19,4,0.51025390625,0.51123046875,Strong
mvtec-bottle,100.0,99.21,-0.7900000000000063,mvtec,bottle,Stable,mvtec,0.2056884765625,0.218280029296875,0.0,-0.04095458984375,-0.05218505859375,0.01123046875,0.1990966796875,0.91845703125,0.80615234375,20,4,0.51025390625,0.51318359375,Strong
mvtec-tile,100.0,99.86,-0.1400000000000005,mvtec,tile,Stable,mvtec,0.267822265625,0.284765625,0.0,-0.108642578125,-0.1199951171875,0.0113525390625,0.3369140625,0.89599609375,0.79443359375,33,7,0.52734375,0.52978515625,Strong
