class,baseline_i_roc,baseline_semantic_i_roc,reduced_i_roc,reduced_semantic_i_roc,delta_i_roc,delta_semantic_i_roc
mvtec-carpet,100.00,99.96,0.00,0.00,-100.00,-99.96
mvtec-grid,97.49,98.45,0.00,0.00,-97.49,-98.45
mvtec-leather,100.00,100.00,0.00,0.00,-100.00,-100.00
mvtec-tile,99.93,99.91,0.00,0.00,-99.93,-99.91
mvtec-wood,99.39,98.55,0.00,0.00,-99.39,-98.55
mvtec-bottle,99.52,97.06,0.00,0.00,-99.52,-97.06
mvtec-cable,94.19,83.21,94.25,83.57,0.06,0.36
mvtec-capsule,85.20,82.37,85.04,78.22,-0.16,-4.15
mvtec-hazelnut,99.93,91.88,0.00,0.00,-99.93,-91.88
mvtec-metal_nut,99.76,88.59,99.56,92.35,-0.20,3.76
mvtec-pill,94.08,88.15,94.24,88.48,0.16,0.33
mvtec-screw,61.55,63.28,61.55,63.28,0.00,0.00
mvtec-toothbrush,94.44,72.50,0.00,0.00,-94.44,-72.50
mvtec-transistor,94.54,89.52,94.38,89.65,-0.16,0.13
mvtec-zipper,97.69,97.90,0.00,0.00,-97.69,-97.90
AVERAGE,94.51,90.09,35.27,33.04,-59.25,-57.05
