class,baseline_i_roc,baseline_semantic_i_roc,reduced_i_roc,reduced_semantic_i_roc,delta_i_roc,delta_semantic_i_roc
visa-candle,97.00,96.33,97.04,96.41,0.04,0.08
visa-capsules,74.35,61.06,74.00,57.77,-0.35,-3.29
visa-cashew,93.94,93.70,90.36,88.87,-3.58,-4.83
visa-chewinggum,94.71,92.77,94.71,92.75,0.00,-0.02
visa-fryum,88.04,87.85,87.46,84.33,-0.58,-3.52
visa-macaroni1,77.00,74.61,77.94,73.02,0.94,-1.59
visa-macaroni2,68.89,64.01,69.17,64.78,0.28,0.77
visa-pcb1,94.72,90.87,94.20,89.46,-0.52,-1.41
visa-pcb2,79.79,63.98,80.15,66.51,0.36,2.53
visa-pcb3,74.21,71.77,74.20,72.46,-0.01,0.69
visa-pcb4,89.12,88.58,90.65,87.47,1.53,-1.11
visa-pipe_fryum,99.21,76.62,99.21,75.43,0.00,-1.19
AVERAGE,85.92,80.18,85.76,79.11,-0.16,-1.07
