prompt_id,class,display_name,index_in_class,type,template,full_text,enabled,manual_score,relevance,specificity,mean_similarity,max_similarity,contribution_rank,notes,action
1,bottle,bottle,0,generic,damaged {},damaged bottle,True,,,,,,,,
2,bottle,bottle,1,generic,flawed {},flawed bottle,True,,,,,,,,
3,bottle,bottle,2,generic,abnormal {},abnormal bottle,True,,,,,,,,
4,bottle,bottle,3,generic,imperfect {},imperfect bottle,False,,,,,,,,remove
5,bottle,bottle,4,generic,blemished {},blemished bottle,False,,,,,,,,remove
6,bottle,bottle,5,generic,{} with flaw,bottle with flaw,True,,,,,,,,
7,bottle,bottle,6,generic,{} with defect,bottle with defect,True,,,,,,,,
8,bottle,bottle,7,generic,{} with damage,bottle with damage,True,,,,,,,,
9,bottle,bottle,8,specific,{} with large breakage,bottle with large breakage,True,9.0,high,,,,,Very relevant for bottle defects,keep
10,bottle,bottle,9,specific,{} with small breakage,bottle with small breakage,True,9.0,high,,,,,,keep
11,bottle,bottle,10,specific,{} with contamination,bottle with contamination,True,8.0,high,,,,,,keep
12,cable,cable,0,generic,damaged {},damaged cable,True,,,,,,,,
13,cable,cable,1,generic,flawed {},flawed cable,True,,,,,,,,
14,cable,cable,2,generic,abnormal {},abnormal cable,True,,,,,,,,
15,cable,cable,3,generic,imperfect {},imperfect cable,True,,,,,,,,
16,cable,cable,4,generic,blemished {},blemished cable,True,,,,,,,,
17,cable,cable,5,generic,{} with flaw,cable with flaw,True,,,,,,,,
18,cable,cable,6,generic,{} with defect,cable with defect,True,,,,,,,,
19,cable,cable,7,generic,{} with damage,cable with damage,True,,,,,,,,
20,cable,cable,8,specific,{} with bent wire,cable with bent wire,True,,,,,,,,
21,cable,cable,9,specific,{} with missing part,cable with missing part,True,,,,,,,,
22,cable,cable,10,specific,{} with missing wire,cable with missing wire,True,,,,,,,,
23,cable,cable,11,specific,{} with cut,cable with cut,True,,,,,,,,
24,cable,cable,12,specific,{} with poke,cable with poke,True,,,,,,,,
25,candle,candle,0,generic,damaged {},damaged candle,True,,,,,,,,
26,candle,candle,1,generic,flawed {},flawed candle,True,,,,,,,,
27,candle,candle,2,generic,abnormal {},abnormal candle,True,,,,,,,,
28,candle,candle,3,generic,imperfect {},imperfect candle,True,,,,,,,,
29,candle,candle,4,generic,blemished {},blemished candle,True,,,,,,,,
30,candle,candle,5,generic,{} with flaw,candle with flaw,True,,,,,,,,
31,candle,candle,6,generic,{} with defect,candle with defect,True,,,,,,,,
32,candle,candle,7,generic,{} with damage,candle with damage,True,,,,,,,,
33,candle,candle,8,specific,{} with melded wax,candle with melded wax,True,,,,,,,,
34,candle,candle,9,specific,{} with foreign particals,candle with foreign particals,True,,,,,,,,
35,candle,candle,10,specific,{} with extra wax,candle with extra wax,True,,,,,,,,
36,candle,candle,11,specific,{} with chunk of wax missing,candle with chunk of wax missing,True,,,,,,,,
37,candle,candle,12,specific,{} with weird candle wick,candle with weird candle wick,True,,,,,,,,
38,candle,candle,13,specific,{} with damaged corner of packaging,candle with damaged corner of packaging,True,,,,,,,,
39,candle,candle,14,specific,{} with different colour spot,candle with different colour spot,True,,,,,,,,
40,capsule,capsule,0,generic,damaged {},damaged capsule,True,,,,,,,,
41,capsule,capsule,1,generic,flawed {},flawed capsule,True,,,,,,,,
42,capsule,capsule,2,generic,abnormal {},abnormal capsule,True,,,,,,,,
43,capsule,capsule,3,generic,imperfect {},imperfect capsule,True,,,,,,,,
44,capsule,capsule,4,generic,blemished {},blemished capsule,True,,,,,,,,
45,capsule,capsule,5,generic,{} with flaw,capsule with flaw,True,,,,,,,,
46,capsule,capsule,6,generic,{} with defect,capsule with defect,True,,,,,,,,
47,capsule,capsule,7,generic,{} with damage,capsule with damage,True,,,,,,,,
48,capsule,capsule,8,specific,{} with crack,capsule with crack,True,,,,,,,,
49,capsule,capsule,9,specific,{} with faulty imprint,capsule with faulty imprint,True,,,,,,,,
50,capsule,capsule,10,specific,{} with poke,capsule with poke,True,,,,,,,,
51,capsule,capsule,11,specific,{} with scratch,capsule with scratch,True,,,,,,,,
52,capsule,capsule,12,specific,{} squeezed with compression,capsule squeezed with compression,True,,,,,,,,
53,capsules,capsules,0,generic,damaged {},damaged capsules,True,,,,,,,,
54,capsules,capsules,1,generic,flawed {},flawed capsules,True,,,,,,,,
55,capsules,capsules,2,generic,abnormal {},abnormal capsules,True,,,,,,,,
56,capsules,capsules,3,generic,imperfect {},imperfect capsules,True,,,,,,,,
57,capsules,capsules,4,generic,blemished {},blemished capsules,True,,,,,,,,
58,capsules,capsules,5,generic,{} with flaw,capsules with flaw,True,,,,,,,,
59,capsules,capsules,6,generic,{} with defect,capsules with defect,True,,,,,,,,
60,capsules,capsules,7,generic,{} with damage,capsules with damage,True,,,,,,,,
61,capsules,capsules,8,specific,{} with scratch,capsules with scratch,True,,,,,,,,
62,capsules,capsules,9,specific,{} with discolor,capsules with discolor,True,,,,,,,,
63,capsules,capsules,10,specific,{} with misshape,capsules with misshape,True,,,,,,,,
64,capsules,capsules,11,specific,{} with leak,capsules with leak,True,,,,,,,,
65,capsules,capsules,12,specific,{} with bubble,capsules with bubble,True,,,,,,,,
66,carpet,carpet,0,generic,damaged {},damaged carpet,True,,,,,,,,
67,carpet,carpet,1,generic,flawed {},flawed carpet,True,,,,,,,,
68,carpet,carpet,2,generic,abnormal {},abnormal carpet,True,,,,,,,,
69,carpet,carpet,3,generic,imperfect {},imperfect carpet,True,,,,,,,,
70,carpet,carpet,4,generic,blemished {},blemished carpet,True,,,,,,,,
71,carpet,carpet,5,generic,{} with flaw,carpet with flaw,True,,,,,,,,
72,carpet,carpet,6,generic,{} with defect,carpet with defect,True,,,,,,,,
73,carpet,carpet,7,generic,{} with damage,carpet with damage,True,,,,,,,,
74,carpet,carpet,8,specific,{} with hole,carpet with hole,True,,,,,,,,
75,carpet,carpet,9,specific,{} with color stain,carpet with color stain,True,,,,,,,,
76,carpet,carpet,10,specific,{} with metal contamination,carpet with metal contamination,True,,,,,,,,
77,carpet,carpet,11,specific,{} with thread residue,carpet with thread residue,True,,,,,,,,
78,carpet,carpet,12,specific,{} with thread,carpet with thread,True,,,,,,,,
79,carpet,carpet,13,specific,{} with cut,carpet with cut,True,,,,,,,,
80,cashew,cashew,0,generic,damaged {},damaged cashew,True,,,,,,,,
81,cashew,cashew,1,generic,flawed {},flawed cashew,True,,,,,,,,
82,cashew,cashew,2,generic,abnormal {},abnormal cashew,True,,,,,,,,
83,cashew,cashew,3,generic,imperfect {},imperfect cashew,True,,,,,,,,
84,cashew,cashew,4,generic,blemished {},blemished cashew,True,,,,,,,,
85,cashew,cashew,5,generic,{} with flaw,cashew with flaw,True,,,,,,,,
86,cashew,cashew,6,generic,{} with defect,cashew with defect,True,,,,,,,,
87,cashew,cashew,7,generic,{} with damage,cashew with damage,True,,,,,,,,
88,cashew,cashew,8,specific,{} with breakage,cashew with breakage,True,,,,,,,,
89,cashew,cashew,9,specific,{} with small scratches,cashew with small scratches,True,,,,,,,,
90,cashew,cashew,10,specific,{} with burnt,cashew with burnt,True,,,,,,,,
91,cashew,cashew,11,specific,{} with stuck together,cashew with stuck together,True,,,,,,,,
92,cashew,cashew,12,specific,{} with spot,cashew with spot,True,,,,,,,,
93,chewinggum,chewing gum,0,generic,damaged {},damaged chewing gum,True,,,,,,,,
94,chewinggum,chewing gum,1,generic,flawed {},flawed chewing gum,True,,,,,,,,
95,chewinggum,chewing gum,2,generic,abnormal {},abnormal chewing gum,True,,,,,,,,
96,chewinggum,chewing gum,3,generic,imperfect {},imperfect chewing gum,True,,,,,,,,
97,chewinggum,chewing gum,4,generic,blemished {},blemished chewing gum,True,,,,,,,,
98,chewinggum,chewing gum,5,generic,{} with flaw,chewing gum with flaw,True,,,,,,,,
99,chewinggum,chewing gum,6,generic,{} with defect,chewing gum with defect,True,,,,,,,,
100,chewinggum,chewing gum,7,generic,{} with damage,chewing gum with damage,True,,,,,,,,
101,chewinggum,chewing gum,8,specific,{} with corner missing,chewing gum with corner missing,True,,,,,,,,
102,chewinggum,chewing gum,9,specific,{} with scratches,chewing gum with scratches,True,,,,,,,,
103,chewinggum,chewing gum,10,specific,{} with chunk of gum missing,chewing gum with chunk of gum missing,True,,,,,,,,
104,chewinggum,chewing gum,11,specific,{} with colour spot,chewing gum with colour spot,True,,,,,,,,
105,chewinggum,chewing gum,12,specific,{} with cracks,chewing gum with cracks,True,,,,,,,,
106,fryum,fryum,0,generic,damaged {},damaged fryum,True,,,,,,,,
107,fryum,fryum,1,generic,flawed {},flawed fryum,True,,,,,,,,
108,fryum,fryum,2,generic,abnormal {},abnormal fryum,True,,,,,,,,
109,fryum,fryum,3,generic,imperfect {},imperfect fryum,True,,,,,,,,
110,fryum,fryum,4,generic,blemished {},blemished fryum,True,,,,,,,,
