MVTec Dataset - Classification (i_roc)
,k=1,k=2,k=4
carpet,100.0,100.0,100.0
grid,99.0,99.08,99.16
leather,100.0,100.0,100.0
tile,99.93,100.0,100.0
wood,100.0,99.82,99.74
bottle,100.0,100.0,100.0
cable,96.63,96.38,97.23
capsule,68.33,79.94,83.81
hazelnut,97.5,99.93,100.0
metal_nut,99.85,100.0,99.66
pill,95.2,95.61,95.06
screw,60.48,58.66,70.01
toothbrush,95.56,98.89,98.06
transistor,90.33,89.79,94.42
zipper,96.69,96.4,97.22
Average,93.3,94.30,95.62

MVTec Dataset - Segmentation (p_roc)
,k=1,k=2,k=4
carpet,99.51,0.0,0.0
grid,98.15,0.0,0.0
leather,99.47,0.0,0.0
tile,96.77,0.0,0.0
wood,95.13,0.0,0.0
bottle,98.53,0.0,0.0
cable,97.05,0.0,0.0
capsule,93.22,0.0,0.0
hazelnut,98.76,0.0,0.0
metal_nut,90.98,0.0,0.0
pill,94.42,0.0,0.0
screw,93.71,0.0,0.0
toothbrush,98.48,0.0,0.0
transistor,90.09,0.0,0.0
zipper,95.73,0.0,0.0
Average,96.0,0.0,0.0

VisA Dataset - Classification (i_roc)
,k=1,k=2,k=4
candle,93.89,94.86,95.65
capsules,74.76,72.8,74.25
cashew,87.81,90.4,88.34
chewinggum,96.11,97.19,96.48
fryum,88.99,89.96,92.31
macaroni1,85.65,85.75,88.1
macaroni2,73.19,74.74,75.99
pcb1,94.48,94.15,93.11
pcb2,77.09,77.09,82.83
pcb3,76.14,79.78,80.59
pcb4,87.85,83.45,92.66
pipe_fryum,97.99,98.8,98.88
Average,86.16,86.58,88.27

VisA Dataset - Segmentation (p_roc)
,k=1,k=2,k=4
candle,0.0,0.0,0.0
capsules,0.0,0.0,0.0
cashew,0.0,0.0,0.0
chewinggum,0.0,0.0,0.0
fryum,0.0,0.0,0.0
macaroni1,0.0,0.0,0.0
macaroni2,0.0,0.0,0.0
pcb1,0.0,0.0,0.0
pcb2,0.0,0.0,0.0
pcb3,0.0,0.0,0.0
pcb4,0.0,0.0,0.0
pipe_fryum,0.0,0.0,0.0
Average,0.0,0.0,0.0
