class,semantic,fusion,delta,sep,anchor_cos,R_MAP_0,R_LAP_0,failure_type,failure_reason
mvtec-bottle,95.71,99.6,3.890000000000001,0.0559,0.9521484375,1.0,1.0,B,anchor_collapse(cos=0.952)
mvtec-cable,83.42,94.45,11.03,0.06226,0.95361328125,0.0,1.0,B+C,anchor_collapse(cos=0.954); semantic_weak_fusion_saves(Δ=11.0)
mvtec-capsule,85.16,85.16,0.0,0.1636,0.9609375,1.0,0.0,B,anchor_collapse(cos=0.961)
mvtec-carpet,99.96,100.0,0.0400000000000062,0.10205,0.90380859375,1.0,0.0,D,semantic_strong_no_memory_help(sem=100.0)
mvtec-grid,98.25,97.91,-0.3400000000000034,0.11206,0.94189453125,1.0,0.0,B+D,anchor_collapse(cos=0.942); semantic_strong_no_memory_help(sem=98.2)
mvtec-hazelnut,91.21,99.93,8.720000000000013,0.1663,0.93896484375,1.0,0.0,B,anchor_collapse(cos=0.939)
mvtec-leather,100.0,100.0,0.0,0.0569,0.93310546875,1.0,0.0,B+D,anchor_collapse(cos=0.933); semantic_strong_no_memory_help(sem=100.0)
mvtec-metal_nut,88.51,99.66,11.149999999999991,0.1499,0.9482421875,1.0,0.0,B,anchor_collapse(cos=0.948)
mvtec-pill,84.72,93.4,8.680000000000007,0.1611,0.92333984375,1.0,0.0,B+C,anchor_collapse(cos=0.923); semantic_weak_fusion_saves(Δ=8.7)
mvtec-screw,61.63,62.92,1.2899999999999991,0.06104,0.95068359375,1.0,0.0,B,anchor_collapse(cos=0.951)
mvtec-tile,99.89,99.93,0.0400000000000062,0.2202,0.94677734375,1.0,0.0,B+D,anchor_collapse(cos=0.947); semantic_strong_no_memory_help(sem=99.9)
mvtec-toothbrush,65.0,93.89,28.89,0.0969,0.95947265625,1.0,0.5,B+C,anchor_collapse(cos=0.959); semantic_weak_fusion_saves(Δ=28.9)
mvtec-transistor,87.29,93.0,5.709999999999994,0.2507,0.9453125,1.0,0.0,B,anchor_collapse(cos=0.945)
mvtec-wood,99.12,99.56,0.4399999999999977,0.1426,0.94287109375,1.0,0.0,B+D,anchor_collapse(cos=0.943); semantic_strong_no_memory_help(sem=99.1)
mvtec-zipper,97.26,97.06,-0.2000000000000028,0.1399,0.94873046875,1.0,0.0,B+D,anchor_collapse(cos=0.949); semantic_strong_no_memory_help(sem=97.3)
visa-candle,94.46,94.33,-0.1299999999999954,0.09326,0.93212890625,1.0,0.0,B,anchor_collapse(cos=0.932)
visa-capsules,66.54,76.55,10.009999999999993,0.0647,0.95166015625,1.0,0.0,B+C,anchor_collapse(cos=0.952); semantic_weak_fusion_saves(Δ=10.0)
visa-cashew,91.74,92.43,0.6900000000000119,0.1716,0.95849609375,1.0,0.0,B,anchor_collapse(cos=0.958)
visa-chewinggum,92.54,96.11,3.569999999999993,0.02661,0.96142578125,1.0,0.0,A+B,margin_collapse(sep=0.027); anchor_collapse(cos=0.961)
visa-fryum,86.77,87.1,0.3299999999999983,0.01746,0.966796875,1.0,0.0,A+B,margin_collapse(sep=0.017); anchor_collapse(cos=0.967)
visa-macaroni1,85.2,88.11,2.9099999999999966,0.12476,0.96142578125,1.0,0.0,B,anchor_collapse(cos=0.961)
visa-macaroni2,68.5,78.37,9.870000000000005,0.2083,0.95947265625,1.0,0.0,B+C,anchor_collapse(cos=0.959); semantic_weak_fusion_saves(Δ=9.9)
visa-pcb1,90.83,94.63,3.799999999999997,0.01318,0.97216796875,1.0,1.0,A+B,margin_collapse(sep=0.013); anchor_collapse(cos=0.972)
visa-pcb2,64.16,76.89,12.730000000000004,0.007324,0.974609375,1.0,0.0,A+B+C,margin_collapse(sep=0.007); anchor_collapse(cos=0.975); semantic_weak_fusion_saves(Δ=12.7)
visa-pcb3,70.62,75.25,4.629999999999996,0.01709,0.9453125,0.0,0.0,A+B,margin_collapse(sep=0.017); anchor_collapse(cos=0.945)
visa-pcb4,81.02,83.96,2.9399999999999977,0.03125,0.96630859375,1.0,0.0,A+B,margin_collapse(sep=0.031); anchor_collapse(cos=0.966)
visa-pipe_fryum,83.32,98.7,15.38000000000001,0.1061,0.96826171875,1.0,0.0,B+C,anchor_collapse(cos=0.968); semantic_weak_fusion_saves(Δ=15.4)
