dataset,class,k_shot,seed,R_MAP_0,R_LAP_0,R_MAP_eps,R_LAP_eps,margin_MAP_q10,margin_MAP_median,margin_MAP_q90,margin_MAP_mean,margin_MAP_std,margin_LAP_q10,margin_LAP_median,margin_LAP_q90,margin_LAP_mean,margin_LAP_std,margin_discrepancy_mean,margin_discrepancy_median,margin_discrepancy_std,margin_discrepancy_max,disagreement_rate,margin_correlation,cos_normal_MAP,cos_normal_LAP,cos_MAP_LAP,cos_normal_combined,dist_normal_MAP,dist_normal_LAP,dist_MAP_LAP,dist_normal_combined,fusion_auroc,fusion_p_auroc,semantic_auroc,memory_auroc,delta_fusion,delta_memory,margin_separation,anchor_cosine_sim
mvtec,mvtec-bottle,2,111,1.0,1.0,1.0,1.0,-0.066650390625,-0.0559,-0.045166015625,-0.0559,0.01343,-0.057421875,-0.05273,-0.048046875,-0.05273,0.00586,0.00757,0.00757,0.003174,0.01074,0.0,1.0,0.97705078125,0.9560546875,0.9521484375,0.98046875,0.215087890625,0.2958984375,0.310302734375,0.19677734375,99.6,98.61,95.71,99.52,3.8900000000000006,3.8100000000000023,0.0559,0.9521484375
mvtec,mvtec-cable,2,111,0.0,1.0,0.0,1.0,0.061865234375,0.06226,0.062646484375,0.06226,0.0004883,-0.019775390625,-0.01294,-0.006103515625,-0.01294,0.008545,0.0752,0.0752,0.00806,0.08325,1.0,1.0,0.97705078125,0.9697265625,0.95361328125,0.9833984375,0.21630859375,0.246826171875,0.3046875,0.182861328125,94.45,96.0,83.42,92.82,11.030000000000001,9.399999999999991,0.06226,0.95361328125
mvtec,mvtec-capsule,2,111,1.0,0.0,1.0,0.0,-0.17333984375,-0.1636,-0.15380859375,-0.1636,0.01221,0.0796875,0.0801,0.08046875,0.0801,0.0004883,0.2437,0.2437,0.01172,0.2554,1.0,1.0,0.97216796875,0.978515625,0.9609375,0.98046875,0.236328125,0.20849609375,0.27978515625,0.19775390625,85.16,95.44,85.16,84.72,0.0,-0.4399999999999977,0.1636,0.9609375
mvtec,mvtec-carpet,2,111,1.0,0.0,1.0,0.0,-0.10439453125,-0.10205,-0.09970703125,-0.10205,0.00293,0.22392578125,0.2251,0.22626953125,0.2251,0.001465,0.3271,0.3271,0.004395,0.3315,1.0,-1.0,0.97314453125,0.9423828125,0.90380859375,0.982421875,0.2327880859375,0.341064453125,0.438720703125,0.18701171875,100.0,99.42,99.96,99.8,0.04000000000000625,-0.1599999999999966,0.10205,0.90380859375
mvtec,mvtec-grid,2,111,1.0,0.0,1.0,0.0,-0.120458984375,-0.11206,-0.103662109375,-0.11206,0.0105,0.141357421875,0.1423,0.143310546875,0.1423,0.001221,0.2544,0.2544,0.01172,0.266,1.0,-1.0,0.9619140625,0.97119140625,0.94189453125,0.97412109375,0.27490234375,0.23779296875,0.3408203125,0.2261962890625,97.91,98.1,98.25,97.24,-0.3400000000000034,-1.0100000000000051,0.11206,0.94189453125
mvtec,mvtec-hazelnut,2,111,1.0,0.0,1.0,0.5,-0.168798828125,-0.1663,-0.163720703125,-0.1663,0.003174,0.03798828125,0.0454,0.05283203125,0.0454,0.00928,0.2117,0.2117,0.006104,0.2178,1.0,1.0,0.9755859375,0.953125,0.93896484375,0.98095703125,0.222900390625,0.3046875,0.34912109375,0.1943359375,99.93,98.89,91.21,99.86,8.720000000000013,8.650000000000006,0.1663,0.93896484375
mvtec,mvtec-leather,2,111,1.0,0.0,1.0,0.0,-0.068017578125,-0.0569,-0.045751953125,-0.0569,0.013916,0.08759765625,0.0923,0.09697265625,0.0923,0.00586,0.1492,0.1492,0.00806,0.1572,1.0,1.0,0.97705078125,0.95849609375,0.93310546875,0.984375,0.214599609375,0.28955078125,0.365966796875,0.176025390625,100.0,99.39,100.0,99.86,0.0,-0.14000000000000057,0.0569,0.93310546875
mvtec,mvtec-metal_nut,2,111,1.0,0.0,1.0,0.0,-0.16123046875,-0.1499,-0.13857421875,-0.1499,0.01416,0.078662109375,0.07886,0.079052734375,0.07886,0.0002441,0.2288,0.2288,0.013916,0.2427,1.0,1.0,0.970703125,0.97998046875,0.9482421875,0.98291015625,0.2425537109375,0.202880859375,0.322509765625,0.1866455078125,99.66,94.36,88.51,99.41,11.149999999999991,10.899999999999991,0.1499,0.9482421875
mvtec,mvtec-pill,2,111,1.0,0.0,1.0,0.0,-0.1697265625,-0.1611,-0.1525390625,-0.1611,0.01074,0.116162109375,0.1257,0.135302734375,0.1257,0.01196,0.2869,0.2869,0.001221,0.288,1.0,1.0,0.966796875,0.94189453125,0.92333984375,0.97412109375,0.25927734375,0.342529296875,0.392578125,0.2281494140625,93.4,96.0,84.72,92.8,8.680000000000007,8.079999999999998,0.1611,0.92333984375
mvtec,mvtec-screw,2,111,1.0,0.0,1.0,0.0,-0.06142578125,-0.06104,-0.06064453125,-0.06104,0.0004883,0.220263671875,0.2205,0.220654296875,0.2205,0.0002441,0.2815,0.2815,0.0007324,0.2822,1.0,-1.0,0.962890625,0.9736328125,0.95068359375,0.9755859375,0.270751953125,0.2276611328125,0.311767578125,0.2200927734375,62.92,92.1,61.63,55.87,1.2899999999999991,-5.760000000000005,0.06104,0.95068359375
