class,semantic,memory,fusion,delta_memory,delta_fusion,complementarity,reason
mvtec-bottle,95.71,99.52,99.6,3.8100000000000023,3.8900000000000006,Similar,双分支表现接近
mvtec-cable,83.42,92.82,94.45,9.399999999999991,11.030000000000001,Memory-Dominant,Memory救场 (+9.4%)
mvtec-capsule,85.16,84.72,85.16,-0.4399999999999977,0.0,Similar,双分支表现接近
mvtec-carpet,99.96,99.8,100.0,-0.1599999999999966,0.04000000000000625,Similar,双分支表现接近
mvtec-grid,98.25,97.24,97.91,-1.0100000000000051,-0.3400000000000034,Similar,双分支表现接近
mvtec-hazelnut,91.21,99.86,99.93,8.650000000000006,8.720000000000013,Memory-Dominant,Memory救场 (+8.7%)
mvtec-leather,100.0,99.86,100.0,-0.14000000000000057,0.0,Similar,双分支表现接近
mvtec-metal_nut,88.51,99.41,99.66,10.899999999999991,11.149999999999991,Memory-Dominant,Memory救场 (+10.9%)
mvtec-pill,84.72,92.8,93.4,8.079999999999998,8.680000000000007,Memory-Dominant,Memory救场 (+8.1%)
mvtec-screw,61.63,55.87,62.92,-5.760000000000005,1.2899999999999991,Semantic-Dominant,Semantic领先 (+5.8%)
mvtec-tile,99.89,98.59,99.93,-1.2999999999999972,0.04000000000000625,Similar,双分支表现接近
mvtec-toothbrush,65.0,94.17,93.89,29.17,28.89,Memory-Dominant,Memory救场 (+29.2%)
mvtec-transistor,87.29,86.87,93.0,-0.4200000000000017,5.709999999999994,Synergistic,互补融合 (+5.7%)
mvtec-wood,99.12,98.86,99.56,-0.2600000000000051,0.4399999999999977,Similar,双分支表现接近
mvtec-zipper,97.26,73.06,97.06,-24.200000000000003,-0.20000000000000284,Semantic-Dominant,Semantic领先 (+24.2%)
visa-candle,94.46,84.33,94.33,-10.129999999999995,-0.12999999999999545,Semantic-Dominant,Semantic领先 (+10.1%)
visa-capsules,66.54,76.41,76.55,9.86999999999999,10.009999999999991,Memory-Dominant,Memory救场 (+9.9%)
visa-cashew,91.74,84.33,92.43,-7.409999999999997,0.6900000000000119,Semantic-Dominant,Semantic领先 (+7.4%)
visa-chewinggum,92.54,95.13,96.11,2.589999999999989,3.569999999999993,Similar,双分支表现接近
visa-fryum,86.77,86.1,87.1,-0.6700000000000017,0.3299999999999983,Similar,双分支表现接近
visa-macaroni1,85.2,81.28,88.11,-3.9200000000000017,2.9099999999999966,Similar,双分支表现接近
visa-macaroni2,68.5,77.49,78.37,8.989999999999995,9.870000000000005,Memory-Dominant,Memory救场 (+9.0%)
visa-pcb1,90.83,93.13,94.63,2.299999999999997,3.799999999999997,Similar,双分支表现接近
visa-pcb2,64.16,74.89,76.89,10.730000000000004,12.730000000000004,Memory-Dominant,Memory救场 (+10.7%)
visa-pcb3,70.62,71.92,75.25,1.2999999999999972,4.6299999999999955,Synergistic,互补融合 (+3.3%)
visa-pcb4,81.02,77.07,83.96,-3.950000000000003,2.9399999999999977,Similar,双分支表现接近
visa-pipe_fryum,83.32,98.71,98.7,15.39,15.38000000000001,Memory-Dominant,Memory救场 (+15.4%)
