,i_roc,p_roc,semantic_i_roc,memory_i_roc
visa-candle,97.00,94.44,96.33,88.68
visa-capsules,74.35,93.38,61.06,74.16
visa-cashew,93.94,97.47,93.70,84.73
visa-chewinggum,94.71,99.04,92.77,92.43
visa-fryum,88.04,94.39,87.85,84.05
visa-macaroni1,77.00,95.58,74.61,76.70
visa-macaroni2,68.89,95.14,64.01,66.98
visa-pcb1,94.72,98.77,90.87,92.25
visa-pcb2,79.79,95.27,63.98,78.02
visa-pcb3,74.21,96.08,71.77,70.98
visa-pcb4,89.12,96.99,88.58,81.65
visa-pipe_fryum,99.21,99.37,76.62,99.22
avg,85.85,96.03,79.30,84.49
