,i_roc,p_roc,semantic_i_roc,memory_i_roc,fusion_i_roc
visa-candle,94.33,95.18,94.46,84.33,91.14
visa-capsules,76.55,94.41,66.54,76.41,79.38
visa-cashew,92.43,96.22,91.74,84.33,95.03
visa-chewinggum,96.11,99.21,92.54,95.13,96.70
visa-fryum,87.10,95.36,86.77,86.10,91.20
visa-macaroni1,88.11,96.57,85.20,81.28,89.34
visa-macaroni2,78.37,95.71,68.50,77.49,82.80
visa-pcb1,94.63,98.50,90.83,93.13,94.16
visa-pcb2,76.89,95.45,64.16,74.89,76.36
visa-pcb3,75.25,95.41,70.62,71.92,74.83
visa-pcb4,83.96,96.86,81.02,77.07,87.92
visa-pipe_fryum,98.70,99.54,83.32,98.71,98.58

