dataset,class,k_shot,task,semantic_auroc
visa,cashew,1,seg,96.599570614171
visa,pcb4,1,cls,86.64875621890548
visa,chewinggum,1,seg,98.48669057467416
visa,pcb3,1,cls,72.70129224652088
visa,macaroni2,1,seg,94.60776260589134
visa,fryum,1,seg,93.0307467764163
visa,macaroni2,1,cls,68.027
visa,capsules,1,cls,59.91029900332225
visa,candle,1,cls,95.5905
visa,pcb4,1,seg,93.40326442212276
visa,pipe_fryum,1,seg,99.10766181742576
visa,capsules,1,seg,66.95057746324208
visa,pcb1,1,cls,90.68974103585656
visa,macaroni1,1,cls,67.07600000000001
visa,pcb2,1,seg,90.19580852658456
visa,fryum,1,cls,80.723
visa,cashew,1,cls,93.183
visa,candle,1,seg,89.24521818760688
visa,pcb2,1,cls,63.74825174825175
visa,pcb1,1,seg,85.70404554037644
visa,macaroni1,1,seg,94.64033893717682
visa,pipe_fryum,1,cls,88.06599999999999
visa,pcb3,1,seg,86.50720201205367
visa,chewinggum,1,cls,95.58051689860837
visa,cashew,2,seg,95.56591149712948
visa,pcb4,2,cls,85.7636815920398
visa,chewinggum,2,seg,98.64634215490896
visa,pcb3,2,cls,73.76888667992048
visa,macaroni2,2,seg,94.4114793917452
visa,fryum,2,seg,91.11339589055866
visa,macaroni2,2,cls,66.76149999999998
visa,capsules,2,cls,55.94269102990032
visa,candle,2,cls,95.118
visa,pcb4,2,seg,92.62819085447312
visa,pipe_fryum,2,seg,99.0065604566512
visa,capsules,2,seg,67.58924263300752
visa,pcb1,2,cls,90.84661354581674
visa,macaroni1,2,cls,83.55550000000001
visa,pcb2,2,seg,90.45336831602984
visa,fryum,2,cls,77.483
visa,cashew,2,cls,92.38
visa,candle,2,seg,87.72577813481035
visa,pcb2,2,cls,64.08291708291709
visa,pcb1,2,seg,89.43959378826098
visa,macaroni1,2,seg,96.12410982721268
visa,pipe_fryum,2,cls,83.097
visa,pcb3,2,seg,86.40482996885515
visa,chewinggum,2,cls,95.96123260437376
visa,cashew,4,seg,95.29732625458232
visa,pcb4,4,cls,80.1582089552239
visa,chewinggum,4,seg,98.60818401428617
visa,pcb3,4,cls,72.05318091451292
