dataset,class,k_shot,task,semantic_auroc
mvtec,bottle,1,cls,96.58730158730158
mvtec,cable,1,cls,83.11469265367316
mvtec,capsule,1,cls,74.05265257279618
mvtec,carpet,1,cls,100.0
mvtec,grid,1,cls,99.41520467836258
mvtec,hazelnut,1,cls,83.58928571428571
mvtec,leather,1,cls,100.0
mvtec,metal_nut,1,cls,87.90322580645162
mvtec,pill,1,cls,85.44735406437533
mvtec,screw,1,cls,58.91576142652183
mvtec,tile,1,cls,99.96392496392497
mvtec,toothbrush,1,cls,72.77777777777777
mvtec,transistor,1,cls,90.25
mvtec,wood,1,cls,99.3859649122807
mvtec,zipper,1,cls,92.55514705882354
mvtec,bottle,1,seg,90.3240712525834
mvtec,cable,1,seg,93.71988734113552
mvtec,capsule,1,seg,91.5175982805806
mvtec,carpet,1,seg,99.09404450677452
mvtec,grid,1,seg,97.97881304649589
mvtec,hazelnut,1,seg,95.6793716886231
mvtec,leather,1,seg,99.04604547927632
mvtec,metal_nut,1,seg,61.31707169273376
mvtec,pill,1,seg,92.24472644846854
mvtec,screw,1,seg,84.04143950241043
mvtec,tile,1,seg,94.20508893846396
mvtec,toothbrush,1,seg,95.21096530654512
mvtec,transistor,1,seg,72.44289969697357
mvtec,wood,1,seg,90.66344304324444
mvtec,zipper,1,seg,90.60254290977684
mvtec,bottle,2,cls,95.515873015873
mvtec,cable,2,cls,83.60194902548726
mvtec,capsule,2,cls,73.69365775827683
mvtec,carpet,2,cls,100.0
mvtec,grid,2,cls,98.87218045112782
mvtec,hazelnut,2,cls,80.10714285714286
mvtec,leather,2,cls,100.0
mvtec,metal_nut,2,cls,85.55718475073313
mvtec,pill,2,cls,85.50190943807965
mvtec,screw,2,cls,66.41729862676777
mvtec,tile,2,cls,99.96392496392497
mvtec,toothbrush,2,cls,69.58333333333333
mvtec,transistor,2,cls,89.60416666666667
mvtec,wood,2,cls,98.81578947368422
mvtec,zipper,2,cls,94.22268907563026
mvtec,bottle,2,seg,90.49706605056384
mvtec,cable,2,seg,92.82379590946576
mvtec,capsule,2,seg,91.43290689308084
mvtec,carpet,2,seg,99.16371696815452
mvtec,grid,2,seg,98.10121221779852
mvtec,hazelnut,2,seg,97.67301859398874
mvtec,leather,2,seg,99.15760193713896
mvtec,metal_nut,2,seg,80.07679253153918
mvtec,pill,2,seg,90.11101964039958
mvtec,screw,2,seg,74.6630596043857
mvtec,tile,2,seg,93.2313549241711
mvtec,toothbrush,2,seg,94.73410882813369
mvtec,transistor,2,seg,72.85269119057415
mvtec,wood,2,seg,96.10529731821808
mvtec,zipper,2,seg,92.5823163689558
mvtec,bottle,4,cls,97.5
mvtec,cable,4,cls,87.56559220389803
mvtec,capsule,4,cls,90.30714000797768
mvtec,carpet,4,cls,100.0
mvtec,grid,4,cls,99.83291562238932
mvtec,hazelnut,4,cls,80.14285714285715
mvtec,leather,4,cls,100.0
mvtec,metal_nut,4,cls,87.2434017595308
mvtec,pill,4,cls,85.66557555919258
mvtec,screw,4,cls,58.00368928059029
mvtec,tile,4,cls,100.0
mvtec,toothbrush,4,cls,84.44444444444444
mvtec,transistor,4,cls,91.20833333333334
mvtec,wood,4,cls,97.80701754385966
mvtec,zipper,4,cls,94.47216386554622
mvtec,bottle,4,seg,90.33996393728684
mvtec,cable,4,seg,92.19115889567271
mvtec,capsule,4,seg,93.9235945373293
mvtec,carpet,4,seg,99.12237201725196
mvtec,grid,4,seg,98.18775299962768
mvtec,hazelnut,4,seg,96.83341386401894
mvtec,leather,4,seg,99.09625279477402
mvtec,metal_nut,4,seg,84.007696336274
mvtec,pill,4,seg,90.2656812790439
mvtec,screw,4,seg,89.92518126227725
mvtec,tile,4,seg,95.3540455671291
mvtec,toothbrush,4,seg,96.01983573172602
mvtec,transistor,4,seg,73.60249155162536
mvtec,wood,4,seg,96.47823185658564
mvtec,zipper,4,seg,89.71411091213193
visa,candle,1,cls,95.5905
visa,capsules,1,cls,59.91029900332225
visa,cashew,1,cls,93.183
visa,chewinggum,1,cls,95.58051689860837
visa,fryum,1,cls,80.723
visa,macaroni1,1,cls,67.07600000000001
visa,macaroni2,1,cls,68.027
visa,pcb1,1,cls,90.68974103585656
visa,pcb2,1,cls,63.74825174825175
visa,pcb3,1,cls,72.70129224652088
visa,pcb4,1,cls,86.64875621890548
visa,pipe_fryum,1,cls,88.06599999999999
visa,candle,1,seg,89.24521818760688
visa,capsules,1,seg,66.95057746324208
visa,cashew,1,seg,96.599570614171
visa,chewinggum,1,seg,98.48669057467416
visa,fryum,1,seg,93.0307467764163
visa,macaroni1,1,seg,94.64033893717682
visa,macaroni2,1,seg,94.60776260589134
visa,pcb1,1,seg,85.70404554037644
visa,pcb2,1,seg,90.19580852658456
visa,pcb3,1,seg,86.50720201205367
visa,pcb4,1,seg,93.40326442212276
visa,pipe_fryum,1,seg,99.10766181742576
visa,candle,2,cls,95.118
visa,capsules,2,cls,55.94269102990032
visa,cashew,2,cls,92.38
visa,chewinggum,2,cls,95.96123260437376
visa,fryum,2,cls,77.483
visa,macaroni1,2,cls,83.55550000000001
visa,macaroni2,2,cls,66.76149999999998
visa,pcb1,2,cls,90.84661354581674
visa,pcb2,2,cls,64.08291708291709
visa,pcb3,2,cls,73.76888667992048
visa,pcb4,2,cls,85.7636815920398
visa,pipe_fryum,2,cls,83.097
visa,candle,2,seg,87.72577813481035
visa,capsules,2,seg,67.58924263300752
visa,cashew,2,seg,95.56591149712948
visa,chewinggum,2,seg,98.64634215490896
visa,fryum,2,seg,91.11339589055866
visa,macaroni1,2,seg,96.12410982721268
visa,macaroni2,2,seg,94.4114793917452
visa,pcb1,2,seg,89.43959378826098
visa,pcb2,2,seg,90.45336831602984
visa,pcb3,2,seg,86.40482996885515
visa,pcb4,2,seg,92.62819085447312
visa,pipe_fryum,2,seg,99.0065604566512
visa,candle,4,cls,95.113
visa,capsules,4,cls,57.80813953488373
visa,cashew,4,cls,92.318
visa,chewinggum,4,cls,95.84393638170974
visa,fryum,4,cls,76.88600000000001
visa,macaroni1,4,cls,83.7295
visa,macaroni2,4,cls,63.1125
visa,pcb1,4,cls,91.1269920318725
visa,pcb2,4,cls,64.83616383616383
visa,pcb3,4,cls,72.05318091451292
visa,pcb4,4,cls,80.1582089552239
visa,pipe_fryum,4,cls,73.178
visa,candle,4,seg,88.0904170930068
visa,capsules,4,seg,61.5407139706039
visa,cashew,4,seg,95.29732625458232
visa,chewinggum,4,seg,98.60818401428617
visa,fryum,4,seg,93.4951243688127
visa,macaroni1,4,seg,95.61130818561108
visa,macaroni2,4,seg,93.76848564221612
visa,pcb1,4,seg,89.56871706695603
visa,pcb2,4,seg,89.55996482331987
visa,pcb3,4,seg,85.47621347481613
visa,pcb4,4,seg,93.37090834519978
visa,pipe_fryum,4,seg,98.92619965244002
