dataset,class,k_shot,task,auroc_baseline_harmonic,auroc_gate_max,diff,better
mvtec,carpet,1,cls,100.0,100.0,0.0,False
mvtec,carpet,1,seg,99.51,99.36115552604991,-0.14884447395009204,False
mvtec,grid,1,cls,99.0,99.41520467836258,0.4152046783625849,True
mvtec,grid,1,seg,98.15,97.97881304649589,-0.17118695350411883,False
mvtec,leather,1,cls,100.0,100.0,0.0,False
mvtec,leather,1,seg,99.47,99.44950715647688,-0.02049284352311531,False
mvtec,tile,1,cls,99.93,99.96392496392497,0.03392496392496014,True
mvtec,tile,1,seg,96.77,96.65676489839596,-0.11323510160403316,False
mvtec,wood,1,cls,100.0,98.859649122807,-1.1403508771930007,False
mvtec,wood,1,seg,95.13,95.32879509404994,0.19879509404994167,True
mvtec,bottle,1,cls,100.0,99.76190476190476,-0.2380952380952408,False
mvtec,bottle,1,seg,98.53,98.58613954390844,0.05613954390844356,True
mvtec,cable,1,cls,96.63,89.03673163418291,-7.593268365817082,False
mvtec,cable,1,seg,97.05,96.6032243772633,-0.4467756227366948,False
mvtec,capsule,1,cls,68.33,74.05265257279618,5.722652572796179,True
mvtec,capsule,1,seg,93.22,93.20647938725692,-0.013520612743079141,False
mvtec,hazelnut,1,cls,97.5,99.75,2.25,True
mvtec,hazelnut,1,seg,98.76,98.78448912616336,0.024489126163359742,True
mvtec,metal_nut,1,cls,99.85,98.8514173998045,-0.9985826001954905,False
mvtec,metal_nut,1,seg,90.98,88.78171071046867,-2.1982892895313313,False
mvtec,pill,1,cls,95.2,93.22149481723947,-1.9785051827605287,False
mvtec,pill,1,seg,94.42,95.3083793711092,0.8883793711091954,True
mvtec,screw,1,cls,60.48,58.91576142652183,-1.564238573478164,False
mvtec,screw,1,seg,93.71,91.94840666527536,-1.7615933347246369,False
mvtec,toothbrush,1,cls,95.56,93.6111111111111,-1.9488888888889022,False
mvtec,toothbrush,1,seg,98.48,98.32143698753195,-0.1585630124680506,False
mvtec,transistor,1,cls,90.33,90.25,-0.0799999999999983,False
mvtec,transistor,1,seg,90.09,89.95683704672817,-0.13316295327183525,False
mvtec,zipper,1,cls,96.69,93.36922268907564,-3.320777310924356,False
mvtec,zipper,1,seg,95.73,90.60254290977684,-5.12745709022316,False
mvtec,carpet,2,cls,100.0,100.0,0.0,False
mvtec,carpet,2,seg,99.48,99.41977165095544,-0.06022834904456431,False
mvtec,grid,2,cls,99.08,98.87218045112782,-0.20781954887218035,False
mvtec,grid,2,seg,97.81,98.10121221779852,0.2912122177985168,True
mvtec,leather,2,cls,100.0,100.0,0.0,False
mvtec,leather,2,seg,99.42,99.39165609616236,-0.028343903837637185,False
mvtec,tile,2,cls,100.0,99.96392496392497,-0.03607503607503304,False
mvtec,tile,2,seg,96.53,97.03595078562476,0.505950785624762,True
mvtec,wood,2,cls,99.82,99.3859649122807,-0.43403508771929467,False
mvtec,wood,2,seg,95.65,96.5646097440432,0.9146097440431902,True
mvtec,bottle,2,cls,100.0,99.44444444444444,-0.5555555555555571,False
mvtec,bottle,2,seg,98.73,98.61323145495248,-0.11676854504752043,False
