dataset,class,k_shot,task,mode,semantic_auroc,memory_auroc,branch_gap,weak_branch,auroc
mvtec,carpet,1,seg,oracle,12.748856636974311,99.36115552604993,86.61229888907562,semantic,99.36115552604993
mvtec,carpet,1,seg,max,12.748856636974311,99.36115552604993,86.61229888907562,semantic,99.36115552604993
mvtec,carpet,1,seg,harmonic,12.736074649169044,99.26153615512,86.52546150595096,semantic,99.26153615512
mvtec,leather,4,seg,max,15.136688790157466,99.42591564274711,84.28922685258965,semantic,99.42591564274711
mvtec,leather,4,seg,oracle,15.136688790157466,99.42591564274711,84.28922685258965,semantic,99.42591564274711
mvtec,leather,4,seg,harmonic,15.11286949034196,99.26945766657035,84.15658817622838,semantic,99.26945766657035
mvtec,carpet,4,seg,oracle,19.269888086456127,99.4053101646449,80.13542207818878,semantic,99.4053101646449
mvtec,carpet,4,seg,max,19.269888086456127,99.4053101646449,80.13542207818878,semantic,99.4053101646449
mvtec,carpet,4,seg,harmonic,19.250524506460653,99.30542153702486,80.0548970305642,semantic,99.30542153702486
mvtec,leather,1,seg,oracle,19.624377624127348,99.44950715647688,79.82512953234954,semantic,99.44950715647688
mvtec,leather,1,seg,max,19.624377624127348,99.44950715647688,79.82512953234954,semantic,99.44950715647688
visa,pipe_fryum,1,seg,harmonic,19.691989570448,99.47073131619462,79.77874174574661,semantic,99.47073131619462
visa,pipe_fryum,1,seg,max,19.67236475463406,99.37159990166818,79.69923514703412,semantic,99.37159990166818
visa,pipe_fryum,1,seg,oracle,19.67236475463406,99.37159990166818,79.69923514703412,semantic,99.37159990166818
mvtec,leather,1,seg,harmonic,19.57655225167773,99.20714483494054,79.63059258326281,semantic,99.20714483494054
visa,pipe_fryum,2,seg,max,20.167733490757804,99.53953816028184,79.37180466952404,semantic,99.53953816028184
visa,pipe_fryum,2,seg,oracle,20.167733490757804,99.53953816028184,79.37180466952404,semantic,99.53953816028184
visa,pipe_fryum,2,seg,harmonic,20.161380216989865,99.50818104536576,79.34680082837589,semantic,99.50818104536576
visa,capsules,1,seg,max,16.342669216656223,93.3870533413448,77.04438412468858,semantic,93.3870533413448
visa,capsules,1,seg,oracle,16.342669216656223,93.3870533413448,77.04438412468858,semantic,93.3870533413448
visa,capsules,4,seg,oracle,19.42550424127717,95.631540283649,76.20603604237184,semantic,95.631540283649
visa,capsules,4,seg,max,19.42550424127717,95.631540283649,76.20603604237184,semantic,95.631540283649
visa,pipe_fryum,4,seg,harmonic,27.704122311444124,99.56919497537604,71.86507266393191,semantic,99.56919497537604
visa,pipe_fryum,4,seg,oracle,27.696622132372553,99.54223917493839,71.84561704256583,semantic,99.54223917493839
visa,pipe_fryum,4,seg,max,27.696622132372553,99.54223917493839,71.84561704256583,semantic,99.54223917493839
mvtec,hazelnut,2,seg,max,27.748883969865616,98.89465477855805,71.14577080869243,semantic,98.89465477855805
mvtec,hazelnut,2,seg,oracle,27.748883969865616,98.89465477855805,71.14577080869243,semantic,98.89465477855805
mvtec,hazelnut,2,seg,harmonic,27.531727950784926,98.12072925552107,70.58900130473614,semantic,98.12072925552107
visa,capsules,2,seg,oracle,24.047705749184832,94.41353723781054,70.36583148862572,semantic,94.41353723781054
visa,capsules,2,seg,max,24.047705749184832,94.41353723781054,70.36583148862572,semantic,94.41353723781054
mvtec,tile,1,seg,max,27.733202401126455,96.65676489839595,68.9235624972695,semantic,96.65676489839595
