dataset,class,k_shot,task,mode,auroc,semantic_auroc,memory_auroc,gap,oracle_semantic_ratio,oracle_memory_ratio
visa,cashew,1,seg,semantic,96.59957061417101,,,,,
visa,cashew,1,seg,memory,90.81531574230246,,,,,
visa,cashew,1,seg,max,97.47362994222797,54.274758565081875,97.47362994222797,43.1988713771461,,
visa,cashew,1,seg,harmonic,99.36933837335832,55.3303170527505,99.36933837335832,44.039021320607816,,
visa,cashew,1,seg,oracle,97.47362994222797,54.274758565081875,97.47362994222797,43.1988713771461,,
visa,pcb4,1,cls,semantic,86.64875621890548,,,,,
visa,pcb4,1,cls,memory,81.68756218905473,,,,,
visa,pcb4,1,cls,max,86.64875621890548,86.64875621890548,81.68756218905473,0.0,,
visa,pcb4,1,cls,harmonic,83.20547263681593,86.64875621890548,81.68756218905473,-3.4432835820895513,,
visa,pcb4,1,cls,oracle,100.0,86.64875621890548,81.68756218905473,13.351243781094524,9.049773755656108,90.9502262443439
visa,chewinggum,1,seg,semantic,98.48669057467416,,,,,
visa,chewinggum,1,seg,memory,97.51884612040152,,,,,
visa,chewinggum,1,seg,max,99.03873471946389,72.77213897194461,99.03873471946389,26.266595747519276,,
visa,chewinggum,1,seg,harmonic,99.54255825781965,73.14234075869419,99.54255825781965,26.40021749912546,,
visa,chewinggum,1,seg,oracle,99.03873471946389,72.77213897194461,99.03873471946389,26.266595747519276,,
visa,pcb3,1,cls,semantic,72.70129224652088,,,,,
visa,pcb3,1,cls,memory,70.97415506958251,,,,,
visa,pcb3,1,cls,max,75.58946322067594,72.70129224652088,70.97415506958251,2.8881709741550576,,
visa,pcb3,1,cls,harmonic,72.70178926441352,72.70129224652088,70.97415506958251,0.0004970178926422264,,
visa,pcb3,1,cls,oracle,95.17097415506957,72.70129224652088,70.97415506958251,22.4696819085487,26.763110307414106,73.23688969258589
visa,macaroni2,1,seg,semantic,94.60776260589134,,,,,
visa,macaroni2,1,seg,memory,90.04114554322004,,,,,
visa,macaroni2,1,seg,max,95.13437967808234,93.21295395053687,95.13437967808234,1.9214257275454685,,
visa,macaroni2,1,seg,harmonic,95.13993358389087,93.2183956843047,95.13993358389087,1.9215378995861698,,
visa,macaroni2,1,seg,oracle,95.13437967808234,93.21295395053687,95.13437967808234,1.9214257275454685,,
visa,fryum,1,seg,semantic,93.0307467764163,,,,,
visa,fryum,1,seg,memory,93.1698404201018,,,,,
visa,fryum,1,seg,max,94.38613996619983,94.38613996619983,91.54132165162538,2.8448183145744537,,
