class,display_name,index,type,template,text,dataset
bottle,bottle,0,generic,damaged {},damaged bottle,MVTec
bottle,bottle,1,generic,flawed {},flawed bottle,MVTec
bottle,bottle,2,generic,abnormal {},abnormal bottle,MVTec
bottle,bottle,3,generic,imperfect {},imperfect bottle,MVTec
bottle,bottle,4,generic,blemished {},blemished bottle,MVTec
bottle,bottle,5,generic,{} with flaw,bottle with flaw,MVTec
bottle,bottle,6,generic,{} with defect,bottle with defect,MVTec
bottle,bottle,7,generic,{} with damage,bottle with damage,MVTec
bottle,bottle,8,specific,{} with large breakage,bottle with large breakage,MVTec
bottle,bottle,9,specific,{} with small breakage,bottle with small breakage,MVTec
bottle,bottle,10,specific,{} with contamination,bottle with contamination,MVTec
cable,cable,0,generic,damaged {},damaged cable,MVTec
cable,cable,1,generic,flawed {},flawed cable,MVTec
cable,cable,2,generic,abnormal {},abnormal cable,MVTec
cable,cable,3,generic,imperfect {},imperfect cable,MVTec
cable,cable,4,generic,blemished {},blemished cable,MVTec
cable,cable,5,generic,{} with flaw,cable with flaw,MVTec
cable,cable,6,generic,{} with defect,cable with defect,MVTec
cable,cable,7,generic,{} with damage,cable with damage,MVTec
cable,cable,8,specific,{} with bent wire,cable with bent wire,MVTec
cable,cable,9,specific,{} with missing part,cable with missing part,MVTec
cable,cable,10,specific,{} with missing wire,cable with missing wire,MVTec
cable,cable,11,specific,{} with cut,cable with cut,MVTec
cable,cable,12,specific,{} with poke,cable with poke,MVTec
candle,candle,0,generic,damaged {},damaged candle,VisA
candle,candle,1,generic,flawed {},flawed candle,VisA
candle,candle,2,generic,abnormal {},abnormal candle,VisA
candle,candle,3,generic,imperfect {},imperfect candle,VisA
candle,candle,4,generic,blemished {},blemished candle,VisA
candle,candle,5,generic,{} with flaw,candle with flaw,VisA
candle,candle,6,generic,{} with defect,candle with defect,VisA
candle,candle,7,generic,{} with damage,candle with damage,VisA
candle,candle,8,specific,{} with melded wax,candle with melded wax,VisA
candle,candle,9,specific,{} with foreign particals,candle with foreign particals,VisA
candle,candle,10,specific,{} with extra wax,candle with extra wax,VisA
candle,candle,11,specific,{} with chunk of wax missing,candle with chunk of wax missing,VisA
candle,candle,12,specific,{} with weird candle wick,candle with weird candle wick,VisA
candle,candle,13,specific,{} with damaged corner of packaging,candle with damaged corner of packaging,VisA
