MVTec Dataset - Classification (i_roc)
,k=1,k=2,k=4
carpet,100.0,100.0,100.0
grid,99.46,99.0,99.83
leather,100.0,100.0,100.0
tile,99.96,99.96,100.0
wood,98.95,99.39,99.3
bottle,99.76,99.52,99.68
cable,89.25,94.72,95.43
capsule,73.31,84.98,91.32
hazelnut,99.82,99.86,100.0
metal_nut,98.83,99.41,100.0
pill,93.37,92.8,94.79
screw,58.68,65.96,66.2
toothbrush,94.44,94.17,97.22
transistor,90.29,91.19,91.62
zipper,93.37,92.52,94.46
Average,92.63266666666668,94.232,95.32333333333332

MVTec Dataset - Segmentation (p_roc)
,k=1,k=2,k=4
carpet,99.36,99.42,99.41
grid,97.97,98.1,98.19
leather,99.45,99.39,99.43
tile,96.66,97.04,96.87
wood,95.33,96.57,96.48
bottle,98.59,98.61,98.76
cable,96.6,96.0,97.02
capsule,93.21,95.44,96.37
hazelnut,98.78,98.89,98.76
metal_nut,88.78,94.36,95.49
pill,95.31,96.0,95.97
screw,91.95,92.1,94.44
toothbrush,98.32,98.38,99.08
transistor,89.96,87.8,91.99
zipper,90.59,92.58,92.82
Average,95.39066666666666,96.0453333333333,96.73866666666666

VisA Dataset - Classification (i_roc)
,k=1,k=2,k=4
candle,95.59,95.4,95.2
capsules,74.16,76.41,70.26
cashew,93.12,92.28,92.42
chewinggum,95.59,95.95,95.84
fryum,84.05,86.12,90.15
macaroni1,76.7,85.76,83.5
macaroni2,68.06,77.49,73.26
pcb1,92.25,93.13,93.68
pcb2,78.15,74.89,75.67
pcb3,76.02,73.38,81.9
pcb4,86.74,85.79,86.36
pipe_fryum,99.22,98.81,98.6
Average,84.97083333333333,86.28416666666665,86.40333333333332

VisA Dataset - Segmentation (p_roc)
,k=1,k=2,k=4
candle,94.44,95.18,94.11
capsules,93.38,94.41,95.63
cashew,97.47,96.22,95.3
chewinggum,99.04,99.21,99.14
fryum,94.39,95.36,96.02
macaroni1,95.58,96.57,96.59
macaroni2,95.14,95.71,94.84
pcb1,98.77,98.5,98.33
pcb2,95.27,95.45,94.85
pcb3,96.08,95.41,96.4
pcb4,96.99,96.86,97.94
pipe_fryum,99.37,99.54,99.54
Average,96.32666666666667,96.53499999999998,96.5575
