Class,Semantic_AUROC_Baseline,Memory_AUROC_Baseline,Fusion_AUROC_Baseline,Semantic_AUROC_Cleaned,Memory_AUROC_Cleaned,Fusion_AUROC_Cleaned,Semantic_Delta,Memory_Delta,Fusion_Delta
mvtec-metal_nut,88.5100,99.4100,99.6600,92.4487,99.4135,99.6579,3.9387,0.0035,-0.0021
mvtec-hazelnut,91.2100,99.8600,99.9300,93.3571,99.8571,99.8571,2.1471,-0.0029,-0.0729
mvtec-cable,83.4200,92.8200,94.4500,85.3073,92.7005,93.7406,1.8873,-0.1195,-0.7094
mvtec-toothbrush,65.0000,94.1700,93.8900,66.6667,94.0278,94.4444,1.6667,-0.1422,0.5544
mvtec-grid,98.2500,97.2400,97.9100,99.5823,97.3266,98.6633,1.3323,0.0866,0.7533
mvtec-bottle,95.7100,99.5200,99.6000,96.7460,99.4444,99.4444,1.0360,-0.0756,-0.1556
mvtec-transistor,87.2900,86.8700,93.0000,87.5833,86.6458,94.0000,0.2933,-0.2242,1.0000
mvtec-carpet,99.9600,99.8000,100.0000,100.0000,99.7994,99.9197,0.0400,-0.0006,-0.0803
mvtec-pill,84.7200,92.8000,93.4000,84.7518,92.5668,93.4261,0.0318,-0.2332,0.0261
mvtec-wood,99.1200,98.8600,99.5600,99.1228,98.8596,99.5614,0.0028,-0.0004,0.0014
mvtec-tile,99.8900,98.5900,99.9300,99.8918,98.4488,99.7114,0.0018,-0.1412,-0.2186
mvtec-leather,100.0000,99.8600,100.0000,100.0000,99.7962,99.9660,0.0000,-0.0638,-0.0340
mvtec-zipper,97.2600,73.0600,97.0600,97.2164,72.6234,96.1660,-0.0436,-0.4366,-0.8940
mvtec-capsule,85.1600,84.7200,85.1600,84.5632,85.1416,85.8396,-0.5968,0.4216,0.6796
mvtec-screw,61.6300,55.8700,62.9200,60.8936,56.2615,63.1072,-0.7364,0.3915,0.1872
