class,i_roc,p_roc,semantic_i_roc,memory_i_roc
mvtec-bottle,99.44444444444444,0.0,96.74603174603176,99.44444444444444
mvtec-cable,93.74062968515742,0.0,85.30734632683658,92.70052473763118
mvtec-capsule,85.83964898284803,0.0,84.56322297566814,85.14160351017152
mvtec-carpet,99.91974317817017,0.0,100.0,99.79935794542536
mvtec-grid,98.66332497911444,0.0,99.58228905597326,97.3266499582289
mvtec-hazelnut,99.85714285714286,0.0,93.35714285714285,99.85714285714286
mvtec-leather,99.96603260869566,0.0,100.0,99.7961956521739
mvtec-metal_nut,99.65786901270772,0.0,92.44868035190616,99.41348973607036
mvtec-pill,93.42607746863064,0.0,84.7517730496454,92.5668303327878
mvtec-screw,63.10719409715105,0.0,60.89362574298012,56.26152900184464
mvtec-tile,99.71139971139972,0.0,99.89177489177489,98.44877344877344
mvtec-toothbrush,94.44444444444446,0.0,66.66666666666666,94.0277777777778
mvtec-transistor,94.0,0.0,87.58333333333333,86.64583333333333
mvtec-wood,99.56140350877192,0.0,99.12280701754386,98.859649122807
mvtec-zipper,96.16596638655463,0.0,97.21638655462186,72.62342436974791
