Class,Semantic_AUROC_Baseline,Memory_AUROC_Baseline,Fusion_AUROC_Baseline,Semantic_AUROC_Cleaned,Memory_AUROC_Cleaned,Fusion_AUROC_Cleaned,Semantic_Delta,Memory_Delta,Fusion_Delta
visa-pipe_fryum,83.3200,98.7100,98.7000,89.9860,98.7190,98.7700,6.6660,0.0090,0.0700
visa-pcb2,64.1600,74.8900,76.8900,66.3736,75.1394,76.8202,2.2136,0.2494,-0.0698
visa-capsules,66.5400,76.4100,76.5500,68.3007,76.1944,76.7301,1.7607,-0.2156,0.1801
visa-chewinggum,92.5400,95.1300,96.1100,93.1799,95.2515,95.8410,0.6399,0.1215,-0.2690
visa-macaroni1,85.2000,81.2800,88.1100,85.6760,81.3685,88.2500,0.4760,0.0885,0.1400
visa-pcb4,81.0200,77.0700,83.9600,81.1373,76.7866,80.8199,0.1173,-0.2834,-3.1401
visa-fryum,86.7700,86.1000,87.1000,86.8460,86.2500,87.3900,0.0760,0.1500,0.2900
visa-candle,94.4600,84.3300,94.3300,94.4985,84.4405,92.6470,0.0385,0.1105,-1.6830
visa-pcb1,90.8300,93.1300,94.6300,90.6439,93.1175,93.9612,-0.1861,-0.0125,-0.6688
visa-pcb3,70.6200,71.9200,75.2500,70.1844,72.1228,75.3698,-0.4356,0.2028,0.1198
visa-cashew,91.7400,84.3300,92.4300,91.1670,84.8030,90.4940,-0.5730,0.4730,-1.9360
visa-macaroni2,68.5000,77.4900,78.3700,64.3935,77.5425,77.8015,-4.1065,0.0525,-0.5685
avg,80.8500,85.7200,67.4900,,,,,,
