class,i_roc,p_roc,semantic_i_roc,memory_i_roc
visa-candle,92.647,0.0,94.4985,84.4405
visa-capsules,76.73006644518271,0.0,68.30066445182725,76.19435215946845
visa-cashew,90.494,0.0,91.167,84.80300000000001
visa-chewinggum,95.84095427435388,0.0,93.17992047713716,95.25149105367794
visa-fryum,87.38999999999999,0.0,86.84599999999999,86.25
visa-macaroni1,88.25,0.0,85.676,81.3685
visa-macaroni2,77.8015,0.0,64.39349999999999,77.5425
visa-pcb1,93.96115537848604,0.0,90.64392430278886,93.11752988047807
visa-pcb2,76.82017982017982,0.0,66.37362637362637,75.13936063936065
visa-pcb3,75.36978131212723,0.0,70.18439363817099,72.12276341948309
visa-pcb4,80.81990049751244,0.0,81.13731343283584,76.7865671641791
visa-pipe_fryum,98.77,0.0,89.986,98.719
