MVTec Dataset - Classification (i_roc)
,k=1,k=2,k=4
carpet,100.0,100.0,100.0
grid,99.16,98.33,98.58
leather,100.0,100.0,100.0
tile,99.82,99.93,100.0
wood,99.47,99.74,99.21
bottle,100.0,99.84,99.84
cable,91.15,94.38,98.59
capsule,65.1,86.1,91.4
hazelnut,99.82,99.96,100.0
metal_nut,99.22,99.66,100.0
pill,94.35,94.37,95.53
screw,56.89,68.75,68.06
toothbrush,94.17,95.56,97.5
transistor,84.06,88.88,92.19
zipper,95.19,92.32,96.6
Average,91.89333333333335,94.52133333333333,95.83333333333333

MVTec Dataset - Segmentation (p_roc)
,k=1,k=2,k=4
carpet,99.45,99.49,99.45
grid,97.57,98.0,98.09
leather,99.47,99.41,99.46
tile,96.32,96.54,96.63
wood,95.9,97.15,96.73
bottle,98.7,98.75,98.86
cable,96.75,96.15,96.95
capsule,95.52,96.31,96.86
hazelnut,98.84,98.93,98.78
metal_nut,91.96,93.98,95.19
pill,93.81,95.1,94.88
screw,92.59,93.23,94.33
toothbrush,98.51,98.73,99.13
transistor,90.03,87.9,92.76
zipper,93.88,92.71,96.12
Average,95.95333333333332,96.15866666666668,96.94800000000002

VisA Dataset - Classification (i_roc)
,k=1,k=2,k=4
candle,93.23,93.86,89.88
capsules,75.29,76.54,74.55
cashew,89.61,89.44,85.38
chewinggum,92.81,96.1,94.97
fryum,92.09,87.5,90.91
macaroni1,84.33,86.63,88.9
macaroni2,70.12,77.47,74.24
pcb1,94.04,93.33,94.84
pcb2,82.07,77.65,77.71
pcb3,73.15,74.99,80.54
pcb4,93.49,86.12,90.27
pipe_fryum,99.28,98.74,98.67
Average,86.62583333333335,86.53083333333332,86.73833333333333

VisA Dataset - Segmentation (p_roc)
,k=1,k=2,k=4
candle,94.76,95.21,95.31
capsules,93.78,94.17,95.16
cashew,99.22,99.1,99.38
chewinggum,99.6,99.59,99.65
fryum,96.56,96.79,97.54
macaroni1,96.86,97.76,97.48
macaroni2,94.64,95.57,96.47
pcb1,98.87,98.25,98.36
pcb2,95.95,94.89,96.0
pcb3,95.74,94.78,96.6
pcb4,97.04,96.79,98.07
pipe_fryum,99.55,99.75,99.67
Average,96.88083333333333,96.8875,97.47416666666668
