class,i_roc_k1,p_roc_k1,i_roc_k2,p_roc_k2,i_roc_k4,p_roc_k4
bottle,98.57,0.00,98.25,0.00,97.78,0.00
cable,80.66,0.00,86.00,0.00,93.78,0.00
capsule,77.26,0.00,80.65,0.00,85.24,0.00
carpet,100.00,0.00,100.00,0.00,100.00,0.00
grid,99.67,0.00,99.00,0.00,99.92,0.00
hazelnut,96.21,0.00,91.14,0.00,92.64,0.00
leather,100.00,0.00,100.00,0.00,100.00,0.00
metal_nut,94.77,0.00,88.71,0.00,91.20,0.00
pill,84.02,0.00,86.12,0.00,87.21,0.00
screw,61.59,0.00,79.57,0.00,72.02,0.00
tile,100.00,0.00,99.93,0.00,99.96,0.00
toothbrush,83.33,0.00,89.44,0.00,90.28,0.00
transistor,85.79,0.00,78.08,0.00,90.08,0.00
wood,99.65,0.00,99.65,0.00,100.00,0.00
zipper,94.30,0.00,95.46,0.00,96.45,0.00
AVERAGE,90.39,0.00,91.47,0.00,93.10,0.00
