dataset,class,k,task,status,duration,output
mvtec,bottle,2,CLS,success,0.8033624370892842,"Building memory bank from training data...
Memory bank built: 450 samples

================================================================================
Object:bottle =========================== Image-AUROC:98.17
进程起始时间: 2025-12-25 11:17:07
进程终止时间: 2025-12-25 11:17:52
进程用时: 0小时 0分钟 45秒
================================================================================

"
mvtec,cable,2,CLS,success,1.8741520722707112,"Building memory bank from training data...
Memory bank built: 450 samples

================================================================================
Object:cable =========================== Image-AUROC:85.93
进程起始时间: 2025-12-25 11:17:07
进程终止时间: 2025-12-25 11:18:56
进程用时: 0小时 1分钟 49秒
================================================================================

"
mvtec,capsule,2,CLS,success,1.6343940456708272,"Building memory bank from training data...
Memory bank built: 450 samples

================================================================================
Object:capsule =========================== Image-AUROC:80.89
进程起始时间: 2025-12-25 11:17:55
进程终止时间: 2025-12-25 11:19:30
进程用时: 0小时 1分钟 35秒
================================================================================

"
mvtec,carpet,2,CLS,success,1.5748738646507263,"Building memory bank from training data...
Memory bank built: 450 samples

================================================================================
Object:carpet =========================== Image-AUROC:100.0
进程起始时间: 2025-12-25 11:18:59
进程终止时间: 2025-12-25 11:20:31
进程用时: 0小时 1分钟 31秒
================================================================================

"
mvtec,grid,2,CLS,success,0.6838777939478556,"Building memory bank from training data...
Memory bank built: 450 samples

================================================================================
Object:grid =========================== Image-AUROC:99.0
进程起始时间: 2025-12-25 11:19:33
进程终止时间: 2025-12-25 11:20:11
进程用时: 0小时 0分钟 38秒
================================================================================

"
mvtec,hazelnut,2,CLS,success,1.3879412094751993,"Building memory bank from training data...
Memory bank built: 450 samples

================================================================================
Object:hazelnut =========================== Image-AUROC:90.71
进程起始时间: 2025-12-25 11:20:14
进程终止时间: 2025-12-25 11:21:35
进程用时: 0小时 1分钟 20秒
================================================================================

"
mvtec,leather,2,CLS,success,1.4997504989306132,"Building memory bank from training data...
Memory bank built: 450 samples

================================================================================
Object:leather =========================== Image-AUROC:100.0
进程起始时间: 2025-12-25 11:20:34
进程终止时间: 2025-12-25 11:22:01
进程用时: 0小时 1分钟 27秒
================================================================================

"
mvtec,metal_nut,2,CLS,success,0.8724807540575663,"Building memory bank from training data...
Memory bank built: 450 samples

================================================================================
Object:metal_nut =========================== Image-AUROC:88.86
进程起始时间: 2025-12-25 11:21:37
进程终止时间: 2025-12-25 11:22:27
进程用时: 0小时 0分钟 49秒
================================================================================

"
mvtec,pill,2,CLS,success,1.4368322491645813,"Building memory bank from training data...
Memory bank built: 450 samples

================================================================================
Object:pill =========================== Image-AUROC:86.35
进程起始时间: 2025-12-25 11:22:04
进程终止时间: 2025-12-25 11:23:27
进程用时: 0小时 1分钟 23秒
================================================================================

"
mvtec,screw,2,CLS,success,1.0612951517105103,"Building memory bank from training data...
Memory bank built: 450 samples

================================================================================
Object:screw =========================== Image-AUROC:80.02
进程起始时间: 2025-12-25 11:22:30
进程终止时间: 2025-12-25 11:23:31
进程用时: 0小时 1分钟 0秒
================================================================================

"
