dataset,class,total_prompts,generic_prompts,specific_prompts,high_risk_count,high_risk_pct,mean_R_j_eps,median_R_j_eps,max_R_j_eps,mean_R_j_0,max_R_j_0,mean_median_margin,min_median_margin,num_negative_margin,pct_negative_margin,image_auroc,pixel_auroc,semantic_auroc,memory_auroc
mvtec,bottle,11,8,3,8,72.72727272727273,0.7851239669421488,1.0,1.0,0.7809917355371901,1.0,-1.4321732954545454,-3.67578125,9,81.81818181818183,99.6,98.61,95.71,99.52
mvtec,cable,13,8,5,3,23.076923076923077,0.1487179487179487,0.0333333333333333,1.0,0.14102564102564102,1.0,1.1081730769230769,-2.171875,1,7.6923076923076925,94.45,96.0,83.42,92.82
mvtec,capsule,13,8,5,3,23.076923076923077,0.21230769230769234,0.04,0.76,0.2030769230769231,0.76,1.1947115384615385,-1.515625,3,23.076923076923077,85.16,95.44,85.16,84.72
mvtec,carpet,14,8,6,7,50.0,0.5452380952380952,0.7,1.0,0.5333333333333333,1.0,-1.1378348214285714,-4.703125,7,50.0,100.0,99.42,99.96,99.8
mvtec,grid,14,8,6,13,92.85714285714286,0.9782608695652174,1.0,1.0,0.9782608695652174,1.0,-5.113839285714286,-10.3046875,14,100.0,97.91,98.1,98.25,97.24
mvtec,hazelnut,12,8,4,11,91.66666666666666,0.9900793650793651,1.0,1.0,0.9880952380952381,1.0,-3.482421875,-5.296875,12,100.0,99.93,98.89,91.21,99.86
mvtec,leather,13,8,5,3,23.076923076923077,0.34615384615384615,0.0,1.0,0.3393665158371041,1.0,0.4963942307692308,-2.296875,5,38.46153846153847,100.0,99.39,100.0,99.86
mvtec,metal_nut,12,8,4,3,25.0,0.19444444444444445,0.10416666666666666,0.9583333333333334,0.1840277777777778,0.9583333333333334,1.4192708333333333,-1.8046875,1,8.333333333333332,99.66,94.36,88.51,99.41
mvtec,pill,14,8,6,4,28.57142857142857,0.48469387755102034,0.4464285714285714,1.0,0.4642857142857143,1.0,0.17633928571428573,-3.9609375,6,42.857142857142854,93.4,96.0,84.72,92.8
mvtec,screw,11,8,3,6,54.54545454545454,0.6638477801268499,1.0,1.0,0.6596194503171248,1.0,-1.0071022727272727,-3.21875,7,63.63636363636363,62.92,92.1,61.63,55.87
mvtec,tile,13,8,5,3,23.076923076923077,0.15384615384615385,0.0,1.0,0.15384615384615385,1.0,2.2884615384615383,-1.9375,2,15.384615384615385,99.93,97.04,99.89,98.59
mvtec,toothbrush,10,8,2,2,20.0,0.2928571428571428,0.21428571428571425,0.8571428571428571,0.2857142857142857,0.7857142857142857,1.05234375,-1.234375,4,40.0,93.89,98.38,65.0,94.17
mvtec,transistor,12,8,4,5,41.66666666666667,0.7217741935483871,0.9838709677419356,1.0,0.7163978494623656,1.0,-1.6624348958333333,-5.52734375,9,75.0,93.0,87.8,87.29,86.87
mvtec,wood,12,8,4,3,25.0,0.5833333333333333,0.6666666666666666,1.0,0.5714285714285714,1.0,0.08203125,-0.921875,8,66.66666666666666,99.56,96.57,99.12,98.86
mvtec,zipper,14,8,6,4,28.57142857142857,0.38655462184873945,0.0294117647058823,1.0,0.3718487394957983,1.0,0.4419642857142857,-2.0390625,5,35.714285714285715,97.06,92.58,97.26,73.06
