prompt_index,prompt_id,class,display_name,type,template,full_text,R_j_0,R_j_eps,median_margin,q10_margin,mean_margin,std_margin,num_samples,risk_level,dataset,semantic_auroc,memory_auroc,image_auroc
0,1,bottle,bottle,generic,damaged {},damaged bottle,1.0,1.0,-3.078125,-3.6,-2.9946732954545454,0.4534150372434894,22,high,mvtec,95.71,99.52,99.6
1,2,bottle,bottle,generic,flawed {},flawed bottle,1.0,1.0,-1.38671875,-1.90546875,-1.2975852272727273,0.540496020329469,22,high,mvtec,95.71,99.52,99.6
3,4,bottle,bottle,generic,imperfect {},imperfect bottle,1.0,1.0,-3.67578125,-4.26171875,-3.5174005681818183,0.6719242673953173,22,high,mvtec,95.71,99.52,99.6
4,5,bottle,bottle,generic,blemished {},blemished bottle,1.0,1.0,-2.00390625,-2.43203125,-1.915838068181818,0.5205724881636714,22,high,mvtec,95.71,99.52,99.6
7,8,bottle,bottle,generic,{} with damage,bottle with damage,1.0,1.0,-0.93359375,-1.34140625,-0.9044744318181818,0.4020207898018655,22,high,mvtec,95.71,99.52,99.6
8,9,bottle,bottle,specific,{} with large breakage,bottle with large breakage,1.0,1.0,-1.9921875,-2.53984375,-1.845525568181818,0.5876062025197947,22,high,mvtec,95.71,99.52,99.6
9,10,bottle,bottle,specific,{} with small breakage,bottle with small breakage,1.0,1.0,-2.46484375,-3.08984375,-2.356178977272727,0.5337854098242885,22,high,mvtec,95.71,99.52,99.6
10,11,bottle,bottle,specific,{} with contamination,bottle with contamination,1.0,1.0,-2.53125,-3.03671875,-2.3924005681818183,0.5761826815154811,22,high,mvtec,95.71,99.52,99.6
6,7,bottle,bottle,generic,{} with defect,bottle with defect,0.5909090909090909,0.6363636363636364,-0.28515625,-0.97578125,-0.2286931818181818,0.5292103529070146,22,low,mvtec,95.71,99.52,99.6
2,3,bottle,bottle,generic,abnormal {},abnormal bottle,0.0,0.0,1.68359375,1.26796875,1.7894176136363635,0.4835809409143541,22,low,mvtec,95.71,99.52,99.6
5,6,bottle,bottle,generic,{} with flaw,bottle with flaw,0.0,0.0,0.9140625,0.4921875,0.9982244318181818,0.3931447976384637,22,low,mvtec,95.71,99.52,99.6
3,15,cable,cable,generic,imperfect {},imperfect cable,1.0,1.0,-2.171875,-3.06875,-2.265755208333333,0.7029578673855408,60,high,mvtec,83.42,92.82,94.45
0,12,cable,cable,generic,damaged {},damaged cable,0.3,0.35,0.3359375,-0.46953125,0.4938802083333333,0.8478393519438951,60,high,mvtec,83.42,92.82,94.45
1,13,cable,cable,generic,flawed {},flawed cable,0.25,0.2833333333333333,0.58203125,-0.64609375,0.4470052083333333,0.7575911023059771,60,high,mvtec,83.42,92.82,94.45
