dataset,class,total_prompts,generic_prompts,specific_prompts,high_risk_count,high_risk_pct,mean_R_j_eps,median_R_j_eps,max_R_j_eps,mean_R_j_0,max_R_j_0,mean_median_margin,min_median_margin,num_negative_margin,pct_negative_margin,image_auroc,pixel_auroc,semantic_auroc,memory_auroc
visa,candle,15,8,7,3,20.0,0.3444444444444445,0.1387225548902195,1.0,0.3264138389886893,1.0,0.3625,-5.671875,4,26.666666666666668,94.33,95.18,94.46,84.33
visa,capsules,13,8,5,3,23.076923076923077,0.6730769230769231,0.8377483443708609,1.0,0.6590677534386145,1.0,-0.3311298076923077,-3.390625,9,69.23076923076923,76.55,94.41,66.54,76.41
visa,cashew,13,8,5,5,38.46153846153847,0.507048728164266,0.4721115537848606,1.0,0.5001532332209623,1.0,-0.27103365384615385,-5.0,6,46.15384615384615,92.43,96.22,91.74,84.33
visa,chewinggum,13,8,5,5,38.46153846153847,0.8152322924600152,0.986138613861386,1.0,0.8045696877380044,1.0,-1.6484375,-6.2734375,10,76.92307692307693,96.11,99.21,92.54,95.13
visa,fryum,14,8,6,3,21.428571428571427,0.6338929994308481,0.9143426294820716,1.0,0.6237905520774047,1.0,-0.30454799107142855,-2.23046875,9,64.28571428571429,87.1,95.36,86.77,86.1
visa,macaroni1,13,8,5,6,46.15384615384615,0.934285275602641,0.996007984031936,1.0,0.9279134039613083,1.0,-2.0841346153846154,-5.109375,12,92.3076923076923,88.11,96.57,85.2,81.28
visa,macaroni2,13,8,5,4,30.76923076923077,0.8037002917242438,0.999001996007984,1.0,0.7944879471825581,1.0,-1.8103966346153846,-5.6484375,10,76.92307692307693,78.37,95.71,68.5,77.49
visa,pcb1,12,8,4,3,25.0,0.2229125248508946,0.11431411530815105,0.9970178926441352,0.20916169648774016,0.9960238568588468,1.1139322916666667,-1.828125,1,8.333333333333332,94.63,98.5,90.83,93.13
visa,pcb2,12,8,4,3,25.0,0.18336656696576933,0.050348953140578245,0.7826520438683948,0.1654204054503157,0.7387836490528414,1.5690104166666667,-0.34375,1,8.333333333333332,76.89,95.45,64.16,74.89
visa,pcb3,12,8,4,3,25.0,0.0017361111111110668,0.0009920634920634,0.0069444444444444,0.0011574074074073668,0.0059523809523809,2.591796875,1.65625,0,0.0,75.25,95.41,70.62,71.92
visa,pcb4,15,8,7,3,20.0,0.21317444554783183,0.0397219463753723,0.8341608738828202,0.19920556107249254,0.8123138033763655,1.8833333333333333,-0.625,3,20.0,83.96,96.86,81.02,77.07
visa,pipe_fryum,14,8,6,6,42.857142857142854,0.8181559476380194,0.9880478087649402,1.0,0.8059191804211725,1.0,-1.2354910714285714,-3.015625,11,78.57142857142857,98.7,99.54,83.32,98.71
