prompt_index,prompt_id,class,display_name,type,template,full_text,R_j_0,R_j_eps,median_margin,q10_margin,mean_margin,std_margin,num_samples,risk_level,dataset,semantic_auroc,memory_auroc,image_auroc
14,39,candle,candle,specific,{} with different colour spot,candle with different colour spot,1.0,1.0,-5.671875,-7.4375,-5.838541666666667,1.259819175713221,1002,high,visa,94.46,84.33,94.33
0,25,candle,candle,generic,damaged {},damaged candle,0.8552894211576846,0.8822355289421158,-0.515625,-1.140625,-0.5270084830339321,0.5022446525029745,1002,high,visa,94.46,84.33,94.33
7,32,candle,candle,generic,{} with damage,candle with damage,0.6786427145708582,0.7285429141716567,-0.265625,-0.921875,-0.2753243512974052,0.531986500797264,1002,high,visa,94.46,84.33,94.33
13,38,candle,candle,specific,{} with damaged corner of packaging,candle with damaged corner of packaging,0.5668662674650699,0.5948103792415169,-0.171875,-1.265625,-0.1373347055888223,0.8900785110352974,1002,medium,visa,94.46,84.33,94.33
11,36,candle,candle,specific,{} with chunk of wax missing,candle with chunk of wax missing,0.469061876247505,0.5139720558882236,0.03125,-0.7328124999999999,-0.0144944486027944,0.5956454195757874,1002,medium,visa,94.46,84.33,94.33
6,31,candle,candle,generic,{} with defect,candle with defect,0.4620758483033932,0.4890219560878243,0.0859375,-1.1390625,-0.0227045908183632,0.8045158430824426,1002,medium,visa,94.46,84.33,94.33
8,33,candle,candle,specific,{} with melded wax,candle with melded wax,0.4510978043912175,0.4790419161676646,0.078125,-0.8421874999999999,0.0099956337325349,0.6667494620720464,1002,medium,visa,94.46,84.33,94.33
3,28,candle,candle,generic,imperfect {},imperfect candle,0.1197604790419161,0.1387225548902195,1.09375,-0.109375,0.9803050149700598,0.7859977702493823,1002,medium,visa,94.46,84.33,94.33
5,30,candle,candle,generic,{} with flaw,candle with flaw,0.0838323353293413,0.091816367265469,0.875,0.109375,0.8403427519960079,0.5931120761881158,1002,low,visa,94.46,84.33,94.33
1,26,candle,candle,generic,flawed {},flawed candle,0.0738522954091816,0.0858283433133732,1.234375,0.1875,1.148102233033932,0.7343547258849437,1002,low,visa,94.46,84.33,94.33
2,27,candle,candle,generic,abnormal {},abnormal candle,0.0668662674650698,0.0768463073852295,1.1484375,0.171875,1.098880364271457,0.7152923105734282,1002,low,visa,94.46,84.33,94.33
10,35,candle,candle,specific,{} with extra wax,candle with extra wax,0.0339321357285429,0.0429141716566866,1.296875,0.45390625,1.2747941616766467,0.6554946476897112,1002,low,visa,94.46,84.33,94.33
9,34,candle,candle,specific,{} with foreign particals,candle with foreign particals,0.0269461077844311,0.0319361277445109,2.328125,1.0,2.1662534306387227,0.8794237324099227,1002,low,visa,94.46,84.33,94.33
4,29,candle,candle,generic,blemished {},blemished candle,0.0059880239520958,0.0089820359281437,2.125,1.328125,2.0706321731536925,0.6146017675706845,1002,low,visa,94.46,84.33,94.33
12,37,candle,candle,specific,{} with weird candle wick,candle with weird candle wick,0.0019960079840319,0.0019960079840319,1.765625,1.0867187500000002,1.734086514471058,0.5016352630369264,1002,low,visa,94.46,84.33,94.33
6,59,capsules,capsules,generic,{} with defect,capsules with defect,1.0,1.0,-2.5,-3.3234375,-2.531043046357616,0.6415228191038502,604,high,visa,66.54,76.41,76.55
7,60,capsules,capsules,generic,{} with damage,capsules with damage,0.9966887417218544,1.0,-1.6171875,-2.4484375,-1.6459799254966887,0.6116961736458844,604,high,visa,66.54,76.41,76.55
9,62,capsules,capsules,specific,{} with discolor,capsules with discolor,1.0,1.0,-3.390625,-4.1984375,-3.404827193708609,0.6312459504708722,604,high,visa,66.54,76.41,76.55
4,57,capsules,capsules,generic,blemished {},blemished capsules,0.9966887417218544,0.9966887417218544,-1.671875,-2.46875,-1.6790407698675496,0.6275081494011421,604,medium,visa,66.54,76.41,76.55
3,56,capsules,capsules,generic,imperfect {},imperfect capsules,0.9751655629139072,0.9801324503311258,-1.21875,-2.09375,-1.254009726821192,0.6734659445741918,604,medium,visa,66.54,76.41,76.55
10,63,capsules,capsules,specific,{} with misshape,capsules with misshape,0.8278145695364238,0.8526490066225165,-0.59375,-1.34375,-0.5969577814569537,0.5959999465926618,604,medium,visa,66.54,76.41,76.55
11,64,capsules,capsules,specific,{} with leak,capsules with leak,0.8062913907284768,0.8377483443708609,-0.53125,-1.34375,-0.5675962334437086,0.6310348476658288,604,medium,visa,66.54,76.41,76.55
12,65,capsules,capsules,specific,{} with bubble,capsules with bubble,0.7864238410596026,0.8195364238410596,-0.53125,-1.4328124999999998,-0.5534457781456954,0.679112837438289,604,low,visa,66.54,76.41,76.55
