prompt_index,prompt_id,class,display_name,type,template,full_text,R_j_0,R_j_eps,median_margin,q10_margin,mean_margin,std_margin,num_samples,risk_level
3,15,cable,cable,generic,imperfect {},imperfect cable,1.0,1.0,-2.171875,-3.06875,-2.265755208333333,0.7029578673855408,60,high
0,12,cable,cable,generic,damaged {},damaged cable,0.3,0.35,0.3359375,-0.46953125,0.49388020833333335,0.8478393519438951,60,high
1,13,cable,cable,generic,flawed {},flawed cable,0.25,0.2833333333333333,0.58203125,-0.64609375,0.44700520833333335,0.7575911023059771,60,high
2,14,cable,cable,generic,abnormal {},abnormal cable,0.15,0.15,0.8515625,-0.02656249999999999,0.7805989583333334,0.5780991190481329,60,medium
9,21,cable,cable,specific,{} with missing part,cable with missing part,0.06666666666666667,0.06666666666666667,1.046875,0.22343750000000004,1.047265625,0.6240527082173938,60,medium
4,16,cable,cable,generic,blemished {},blemished cable,0.016666666666666666,0.03333333333333333,1.41015625,0.66953125,1.4239583333333334,0.6370483660286103,60,medium
11,23,cable,cable,specific,{} with cut,cable with cut,0.03333333333333333,0.03333333333333333,1.19921875,0.32578125,1.140625,0.5997639509632102,60,medium
12,24,cable,cable,specific,{} with poke,cable with poke,0.016666666666666666,0.016666666666666666,1.22265625,0.54375,1.2421875,0.5920497173705446,60,low
5,17,cable,cable,generic,{} with flaw,cable with flaw,0.0,0.0,1.984375,1.465234375,2.0112630208333333,0.5641942671950828,60,low
6,18,cable,cable,generic,{} with defect,cable with defect,0.0,0.0,1.765625,1.13203125,1.7414713541666667,0.5383116240006656,60,low
7,19,cable,cable,generic,{} with damage,cable with damage,0.0,0.0,1.90234375,0.96484375,1.8645182291666667,0.6615917930230332,60,low
8,20,cable,cable,specific,{} with bent wire,cable with bent wire,0.0,0.0,1.703125,0.96015625,1.7112630208333333,0.6208268440470678,60,low
10,22,cable,cable,specific,{} with missing wire,cable with missing wire,0.0,0.0,2.57421875,1.60078125,2.5177734375,0.6276714655037177,60,low
